,statsmodels/statsmodels,scikit-learn/scikit-learn,mlpack/mlpack
2018-03-05,40,3,2
2018-03-06,2,2,13
2018-03-07,0,6,6
2018-03-08,0,4,4
2018-03-09,0,1,28
2018-03-10,0,1,5
2018-03-11,0,0,14
2018-03-12,1,1,5
2018-03-13,1,2,5
2018-03-14,0,2,12
2018-03-15,0,2,18
2018-03-16,0,2,30
2018-03-17,0,1,4
2018-03-18,0,2,2
2018-03-19,6,0,6
2018-03-20,8,0,5
2018-03-21,7,0,6
2018-03-22,20,5,8
2018-03-23,5,0,6
2018-03-24,17,2,7
2018-03-25,2,1,2
2018-03-26,1,1,12
2018-03-27,0,2,3
2018-03-28,0,1,7
2018-03-29,2,1,8
2018-03-30,3,1,24
2018-03-31,0,1,14
2018-04-01,0,1,3
2018-04-02,0,2,6
2018-04-03,0,4,22
2018-04-04,0,2,8
2018-04-05,4,1,8
2018-04-06,10,2,8
2018-04-07,1,0,6
2018-04-08,0,0,1
2018-04-09,0,2,5
2018-04-10,2,1,8
2018-04-11,1,2,4
2018-04-12,3,2,1
2018-04-13,12,3,8
2018-04-14,5,2,1
2018-04-15,1,0,5
2018-04-16,2,5,13
2018-04-17,12,2,12
2018-04-18,12,1,2
2018-04-19,23,1,4
2018-04-20,4,1,5
2018-04-21,2,3,5
2018-04-22,11,2,1
2018-04-23,3,5,7
2018-04-24,7,0,4
2018-04-25,7,7,6
2018-04-26,8,4,5
2018-04-27,9,0,4
2018-04-28,2,0,1
2018-04-29,5,0,0
2018-04-30,4,0,8
2018-05-01,3,0,2
2018-05-02,3,3,3
2018-05-03,2,3,4
2018-05-04,0,5,8
2018-05-05,4,0,5
2018-05-06,0,3,0
2018-05-07,4,2,1
2018-05-08,4,1,2
2018-05-09,2,2,2
2018-05-10,0,0,4
2018-05-11,2,1,9
2018-05-12,1,1,3
2018-05-13,7,0,1
2018-05-14,9,0,5
2018-05-15,2,2,5
2018-05-16,4,1,7
2018-05-17,2,0,14
2018-05-18,32,3,7
2018-05-19,40,0,8
2018-05-20,2,1,7
2018-05-21,2,0,7
2018-05-22,0,2,2
2018-05-23,1,4,14
2018-05-24,2,4,1
2018-05-25,3,3,1
2018-05-26,9,1,2
2018-05-27,4,0,5
2018-05-28,1,0,2
2018-05-29,10,3,0
2018-05-30,1,9,2
2018-05-31,4,3,8
2018-06-01,8,3,7
2018-06-02,5,1,3
2018-06-03,4,0,3
2018-06-04,5,8,12
2018-06-05,3,0,3
2018-06-06,2,7,6
2018-06-07,7,1,2
2018-06-08,3,2,13
2018-06-09,0,0,22
2018-06-10,7,3,8
2018-06-11,8,3,6
2018-06-12,6,3,8
2018-06-13,34,2,9
2018-06-14,1,9,6
2018-06-15,3,5,0
2018-06-16,0,1,7
2018-06-17,2,4,28
2018-06-18,1,5,3
2018-06-19,1,1,6
2018-06-20,8,7,2
2018-06-21,12,9,11
2018-06-22,1,4,11
2018-06-23,4,4,8
2018-06-24,0,3,5
2018-06-25,0,1,5
2018-06-26,2,5,0
2018-06-27,5,2,8
2018-06-28,5,8,4
2018-06-29,13,3,4
2018-06-30,2,1,2
2018-07-01,0,1,8
2018-07-02,1,6,9
2018-07-03,0,4,7
2018-07-04,3,5,6
2018-07-05,2,3,5
2018-07-06,8,0,4
2018-07-07,2,0,7
2018-07-08,0,1,9
2018-07-09,3,5,3
2018-07-10,0,5,2
2018-07-11,0,1,4
2018-07-12,0,5,3
2018-07-13,0,1,1
2018-07-14,0,6,3
2018-07-15,0,6,2
2018-07-16,0,19,2
2018-07-17,0,41,9
2018-07-18,2,9,5
2018-07-19,2,9,4
2018-07-20,5,8,7
2018-07-21,1,4,6
2018-07-22,0,6,7
2018-07-23,2,3,7
2018-07-24,0,3,2
2018-07-25,0,3,9
2018-07-26,1,1,5
2018-07-27,2,6,8
2018-07-28,2,1,9
2018-07-29,0,7,2
2018-07-30,1,1,1
2018-07-31,1,8,8
2018-08-01,5,2,2
2018-08-02,2,3,12
2018-08-03,3,2,7
2018-08-04,2,0,10
2018-08-05,0,1,2
2018-08-06,8,4,3
2018-08-07,4,8,7
2018-08-08,5,0,2
2018-08-09,15,4,2
2018-08-10,4,2,0
2018-08-11,5,1,4
2018-08-12,5,2,0
2018-08-13,14,2,0
2018-08-14,1,4,1
2018-08-15,7,4,1
2018-08-16,1,6,1
2018-08-17,15,2,0
2018-08-18,0,10,1
2018-08-19,1,4,0
2018-08-20,26,3,0
2018-08-21,6,5,2
2018-08-22,5,8,1
2018-08-23,27,2,2
2018-08-24,26,0,3
2018-08-25,9,3,3
2018-08-26,21,1,0
2018-08-27,8,2,0
2018-08-28,3,0,0
2018-08-29,2,4,1
2018-08-30,14,7,0
2018-08-31,2,1,1
2018-09-01,10,4,2
2018-09-02,6,3,0
2018-09-03,8,5,3
2018-09-04,2,1,3
2018-09-05,16,8,0
2018-09-06,3,5,2
2018-09-07,11,1,2
2018-09-08,22,3,0
2018-09-09,15,3,0
2018-09-10,13,0,0
2018-09-11,5,1,0
