,apache/groovy,jetbrains/kotlin,scala/scala
2019-09-22,0,1,2
2019-09-23,2,30,14
2019-09-24,0,53,1
2019-09-25,0,44,21
2019-09-26,9,17,5
2019-09-27,7,66,0
2019-09-28,5,5,0
2019-09-29,4,27,0
2019-09-30,1,44,7
2019-10-01,5,33,7
2019-10-02,0,46,2
2019-10-03,1,35,4
2019-10-04,1,37,2
2019-10-05,2,6,0
2019-10-06,0,0,1
2019-10-07,4,12,0
2019-10-08,1,69,1
2019-10-09,0,25,6
2019-10-10,6,42,3
2019-10-11,22,49,3
2019-10-12,2,6,0
2019-10-13,1,3,0
2019-10-14,0,41,2
2019-10-15,1,10,6
2019-10-16,0,22,7
2019-10-17,1,50,7
2019-10-18,4,40,0
2019-10-19,0,3,2
2019-10-20,2,1,0
2019-10-21,3,71,8
2019-10-22,10,10,10
2019-10-23,3,43,8
2019-10-24,0,52,3
2019-10-25,5,23,4
2019-10-26,6,3,0
2019-10-27,4,1,3
2019-10-28,6,50,4
2019-10-29,8,87,7
2019-10-30,7,32,5
2019-10-31,4,59,4
2019-11-01,6,61,5
2019-11-02,13,0,0
2019-11-03,22,0,1
2019-11-04,6,5,0
2019-11-05,4,34,1
2019-11-06,4,29,5
2019-11-07,2,40,7
2019-11-08,0,59,6
2019-11-09,10,2,1
2019-11-10,2,4,0
2019-11-11,7,47,3
2019-11-12,1,39,6
2019-11-13,0,31,0
2019-11-14,3,49,0
2019-11-15,9,12,4
2019-11-16,0,1,0
2019-11-17,5,1,1
2019-11-18,4,29,4
2019-11-19,1,70,10
2019-11-20,4,46,2
2019-11-21,5,41,3
2019-11-22,10,42,2
2019-11-23,9,4,3
2019-11-24,2,0,0
2019-11-25,5,57,4
2019-11-26,4,48,6
2019-11-27,2,59,5
2019-11-28,0,45,5
2019-11-29,8,75,0
2019-11-30,8,3,2
2019-12-01,5,2,1
2019-12-02,8,40,8
2019-12-03,8,48,4
2019-12-04,3,13,3
2019-12-05,2,26,4
2019-12-06,0,15,2
2019-12-07,7,0,0
2019-12-08,0,0,2
2019-12-09,1,23,10
2019-12-10,4,39,17
2019-12-11,8,45,4
2019-12-12,8,51,10
2019-12-13,6,29,3
2019-12-14,3,1,1
2019-12-15,2,3,1
2019-12-16,5,70,3
2019-12-17,3,67,5
2019-12-18,2,45,0
2019-12-19,6,58,3
2019-12-20,7,23,1
2019-12-21,5,3,0
2019-12-22,5,1,2
2019-12-23,4,22,0
2019-12-24,2,28,1
2019-12-25,2,76,0
2019-12-26,4,40,2
2019-12-27,8,55,0
2019-12-28,5,3,0
2019-12-29,4,1,0
2019-12-30,1,18,0
2019-12-31,5,5,1
2020-01-01,1,0,3
2020-01-02,1,3,2
2020-01-03,2,8,2
2020-01-04,8,0,0
2020-01-05,0,0,1
2020-01-06,0,2,0
2020-01-07,1,5,3
2020-01-08,1,15,5
2020-01-09,0,64,5
2020-01-10,7,45,4
2020-01-11,14,1,0
2020-01-12,5,1,3
2020-01-13,1,28,11
2020-01-14,1,58,7
2020-01-15,10,47,2
2020-01-16,7,51,2
2020-01-17,3,93,20
2020-01-18,1,4,12
2020-01-19,7,6,2
2020-01-20,4,38,6
2020-01-21,9,54,14
2020-01-22,7,51,6
2020-01-23,5,69,6
2020-01-24,9,119,9
2020-01-25,6,4,2
2020-01-26,4,11,0
2020-01-27,1,54,3
2020-01-28,3,60,14
2020-01-29,6,67,2
2020-01-30,2,44,8
2020-01-31,6,29,12
2020-02-01,7,9,2
2020-02-02,5,1,3
2020-02-03,6,24,21
2020-02-04,8,41,15
2020-02-05,3,44,10
2020-02-06,0,116,3
2020-02-07,2,56,2
2020-02-08,11,3,11
2020-02-09,1,7,0
2020-02-10,0,53,3
2020-02-11,1,107,7
2020-02-12,8,173,10
2020-02-13,5,90,16
2020-02-14,8,107,7
2020-02-15,2,12,2
2020-02-16,3,3,0
2020-02-17,3,55,13
2020-02-18,1,67,5
2020-02-19,7,56,5
2020-02-20,2,83,4
2020-02-21,3,52,6
2020-02-22,3,5,3
2020-02-23,4,4,3
2020-02-24,0,4,15
2020-02-25,4,42,18
2020-02-26,0,60,13
2020-02-27,0,37,9
2020-02-28,2,69,7
2020-02-29,4,14,7
2020-03-01,9,4,6
2020-03-02,5,35,7
2020-03-03,7,81,5
2020-03-04,4,54,5
2020-03-05,1,51,15
2020-03-06,0,60,5
2020-03-07,7,4,1
2020-03-08,1,1,2
2020-03-09,5,8,11
2020-03-10,5,48,0
2020-03-11,3,54,1
2020-03-12,0,65,2
2020-03-13,0,32,8
2020-03-14,15,1,0
2020-03-15,4,1,11
2020-03-16,1,129,6
2020-03-17,3,26,1
2020-03-18,2,49,11
2020-03-19,4,44,8
2020-03-20,5,75,8
2020-03-21,10,0,0
2020-03-22,13,3,2
2020-03-23,1,59,3
2020-03-24,0,60,5
2020-03-25,3,71,6
2020-03-26,4,92,2
2020-03-27,3,39,6
2020-03-28,15,28,4
2020-03-29,6,5,6
2020-03-30,1,115,10
2020-03-31,1,73,5
2020-04-01,0,33,3
2020-04-02,0,76,2
2020-04-03,0,73,8
2020-04-04,7,3,1
2020-04-05,0,3,2
2020-04-06,0,33,19
2020-04-07,2,67,4
2020-04-08,1,71,4
2020-04-09,2,78,4
2020-04-10,1,23,4
2020-04-11,26,15,1
2020-04-12,1,0,6
2020-04-13,0,77,4
2020-04-14,2,56,5
2020-04-15,5,80,14
2020-04-16,4,61,11
2020-04-17,2,74,5
2020-04-18,3,12,4
2020-04-19,2,4,8
2020-04-20,4,48,14
2020-04-21,2,79,11
2020-04-22,3,40,11
2020-04-23,2,78,17
2020-04-24,1,36,8
2020-04-25,7,3,2
2020-04-26,1,7,4
2020-04-27,6,27,9
2020-04-28,0,75,2
2020-04-29,8,51,6
2020-04-30,3,20,6
2020-05-01,0,7,5
2020-05-02,0,0,4
2020-05-03,0,0,1
2020-05-04,6,16,14
2020-05-05,1,0,13
2020-05-06,1,41,13
2020-05-07,2,74,4
2020-05-08,1,63,17
2020-05-09,2,7,2
2020-05-10,0,1,5
2020-05-11,4,3,9
2020-05-12,3,95,0
2020-05-13,3,47,12
2020-05-14,4,43,26
