,plotly/plotly.js,apache/echarts,highcharts/highcharts
2017-07-31,0,0.0,6
2017-08-01,8,1.0,8
2017-08-02,8,0.8,12
2017-08-03,3,1.72,13
2017-08-04,10,-0.528,11
2017-08-05,13,-0.2416000000000002,1
2017-08-06,0,-0.1551360000000001,0
2017-08-07,9,1.8868352,13
2017-08-08,8,3.51157248,13
2017-08-09,0,-1.0321720319999999,5
2017-08-10,5,3.5232894975999995,9
2017-08-11,2,2.8995552256000003,4
2017-08-12,0,2.6695892992,0
2017-08-13,0,-1.4550016000000003,0
2017-08-14,16,3.2380313599999995,9
2017-08-15,11,5.674973696,1
2017-08-16,3,-0.12074874879999964,13
2017-08-17,0,-1.4534434816000006,8
2017-08-18,0,1.1626270719999998,9
2017-08-19,0,-1.0084791295999997,0
2017-08-20,0,3.4049045504,0
2017-08-21,2,4.792342118400001,16
2017-08-22,1,5.195904512,7
2017-08-23,2,2.6924831744000004,14
2017-08-24,2,3.8606815232,7
2017-08-25,1,-1.2985361408000005,18
2017-08-26,0,-1.4189066240000006,0
2017-08-27,0,-0.9299703808000004,0
2017-08-28,2,-0.679392768,15
2017-08-29,0,4.4563492864,17
2017-08-30,2,0.5917275136000009,25
2017-08-31,1,4.9187868672,31
2017-09-01,3,0.23440025600000047,16
2017-09-02,0,-1.2332038144000002,0
2017-09-03,0,-0.6553493504000004,0
2017-09-04,0,0.5491839999999998,13
2017-09-05,7,-0.5459072000000001,15
2017-09-06,5,4.6405632,11
2017-09-07,1,-1.2815400959999996,2
2017-09-08,1,7.4212815872,4
2017-09-09,0,-1.9691275263999994,0
2017-09-10,0,-0.8533675008000006,0
2017-09-11,1,1.4713932799999996,11
2017-09-12,2,-0.7853317120000001,15
2017-09-13,25,1.5386090495999998,21
2017-09-14,3,1.2686310400000003,21
2017-09-15,6,5.175039488,14
2017-09-16,0,-1.6221736959999995,4
2017-09-17,0,-0.7838124032000002,0
2017-09-18,3,-0.44012544000000026,13
2017-09-19,15,-0.322305024,9
2017-09-20,23,-0.2528657408,15
2017-09-21,4,-0.18520166399999996,4
2017-09-22,28,0.8447255552000001,5
2017-09-23,0,-0.31126497279999954,0
2017-09-24,0,-0.15481610239999985,0
2017-09-25,9,4.952,9
2017-09-26,2,3.9664,25
2017-09-27,10,2.574464,14
2017-09-28,15,1.5395711999999997,36
2017-09-29,3,-1.3449267200000004,41
2017-09-30,5,-0.7420677120000004,16
2017-10-01,0,-0.5206933504000003,3
2017-10-02,8,-0.3897216000000002,42
2017-10-03,20,-0.31489535999999985,19
2017-10-04,23,-0.2632785919999996,24
2017-10-05,27,-0.17067775999999962,13
2017-10-06,19,-0.09304053759999967,9
2017-10-07,0,-0.03740805119999989,11
2017-10-08,0,0.0,3
2017-10-09,12,2.0,0
2017-10-10,9,1.6,3
2017-10-11,0,4.4399999999999995,1
2017-10-12,5,11.744,7
2017-10-13,1,-0.16320000000000023,11
2017-10-14,0,1.0017279999999988,3
2017-10-15,1,-1.7239296000000006,13
2017-10-16,14,2.9768089599999996,7
2017-10-17,9,0.4584591359999999,10
2017-10-18,14,-0.3013301248000002,12
2017-10-19,14,-1.0068190208,13
2017-10-20,19,2.3281464320000005,9
2017-10-21,0,-1.0733888511999994,1
2017-10-22,0,2.5130416128,3
2017-10-23,23,1.0844914688,6
2017-10-24,14,2.147366912,1
2017-10-25,7,-1.0761875455999999,0
2017-10-26,13,1.4625871871999998,1
2017-10-27,8,0.24894248959999987,0
2017-10-28,0,-0.6163215360000001,3
2017-10-29,0,-0.38165381120000014,4
2017-10-30,1,1.746497024,11
2017-10-31,15,5.3983643648,11
2017-11-01,6,11.5055045632,13
2017-11-02,25,-0.2676902912000001,9
2017-11-03,4,7.959097855999999,13
2017-11-04,0,-1.1559984128000003,4
2017-11-05,0,3.012657049599999,6
2017-11-06,1,6.77080576,7
2017-11-07,0,-1.104518144,4
2017-11-08,1,6.9248412672,7
2017-11-09,0,-0.12799651839999893,8
2017-11-10,0,7.738530508799999,11
2017-11-11,0,-2.2863066111999997,2
2017-11-12,0,2.0805662719999996,0
2017-11-13,4,1.0193006591999998,5
2017-11-14,6,-0.7901567999999997,8
2017-11-15,15,1.7244135424,15
2017-11-16,12,0.6065677312000002,5
2017-11-17,8,-0.23602728959999997,0
2017-11-18,0,-0.8941350911999996,0
2017-11-19,0,-0.5704104959999998,0
2017-11-20,6,0.6669628416000002,6
2017-11-21,2,-0.4559256575999997,4
2017-11-22,3,-0.24896952319999996,5
2017-11-23,2,0.8420852736000002,2
2017-11-24,4,0.6832898048000002,0
2017-11-25,0,-0.3448624127999999,0
