,diaspora/diaspora,mastodon/mastodon,friendica/friendica
2016-10-26,2,-0.6906358333421871,3
2016-10-27,19,2.6252618316968754,2
2016-10-28,0,4.4728281329015624,10
2016-10-29,5,-0.80885039389375,7
2016-10-30,0,4.574931060734375,0
2016-10-31,0,3.1988035946671873,5
2016-11-01,0,1.1472483608453126,4
2016-11-02,7,13.313097028860938,3
2016-11-03,3,10.176798643678124,4
2016-11-04,0,4.865592829703124,9
2016-11-05,0,3.116359814814062,7
2016-11-06,14,4.371380706070314,6
2016-11-07,0,7.383375124921876,4
2016-11-08,0,8.062738417757814,0
2016-11-09,0,3.8418823163250004,6
2016-11-10,0,4.112928720209376,6
2016-11-11,0,-1.8135326279406239,0
2016-11-12,2,2.905119272209377,8
2016-11-13,8,11.852203677170314,13
2016-11-14,3,-1.0315430320234373,8
2016-11-15,6,5.777882530143751,33
2016-11-16,0,2.4850429445203126,10
2016-11-17,4,2.715459919046876,5
2016-11-18,8,17.829868706690625,4
2016-11-19,3,6.379371687284374,31
2016-11-20,0,0.7398794341874995,29
2016-11-21,0,25.345171736903126,5
2016-11-22,8,9.202388180267187,18
2016-11-23,6,14.734919371354687,5
2016-11-24,2,9.246943507685938,3
2016-11-25,6,22.512155246543752,4
2016-11-26,5,4.243512588809375,1
2016-11-27,2,-2.6562911915734353,10
2016-11-28,5,12.62035542687969,18
2016-11-29,5,4.787081964720316,17
2016-11-30,0,6.169552217326565,3
2016-12-01,4,6.3789416565015635,13
2016-12-02,2,4.458484120150002,4
2016-12-03,0,6.760482249876564,4
2016-12-04,5,7.700594633175001,7
2016-12-05,0,2.7076272204109384,2
2016-12-06,0,4.144680519729689,12
2016-12-07,0,4.170389579085938,0
2016-12-08,3,1.2905412588218763,5
2016-12-09,0,1.6367015237859388,11
2016-12-10,0,-1.184590005182811,10
2016-12-11,0,7.237170690107814,4
2016-12-12,0,1.650098640770313,5
2016-12-13,7,-0.047702092937499385,7
2016-12-14,0,5.283197394226563,26
2016-12-15,0,-0.07637011955937445,20
2016-12-16,0,-0.7018006430124993,0
2016-12-17,0,-0.44421034665468695,0
2016-12-18,0,3.6779760848921885,7
2016-12-19,0,1.3596473946250005,16
2016-12-20,0,5.4179217194156255,116
2016-12-21,0,3.081510939376562,21
2016-12-22,0,12.113447573120313,33
2016-12-23,0,-0.816753428231251,22
2016-12-24,0,3.983744597464063,4
2016-12-25,0,-1.1655493099999998,4
2016-12-26,0,6.273987780437501,4
2016-12-27,0,0.7553774863250005,4
2016-12-28,0,0.07588221933437578,4
2016-12-29,0,4.283869818971875,10
2016-12-30,0,-0.9815247380968743,10
2016-12-31,0,1.4181358727671882,3
2017-01-01,0,1.4562294948859378,7
2017-01-02,0,5.444596588570313,8
2017-01-03,2,6.070088653890625,5
2017-01-04,3,1.7768426474671872,8
2017-01-05,0,39.0586070006625,14
2017-01-06,0,2.4267270573859347,7
2017-01-07,4,9.082656319820313,17
2017-01-08,0,15.049899156468749,5
2017-01-09,0,4.391019153896877,11
2017-01-10,5,4.067343005584377,6
2017-01-11,3,1.3890998549250018,14
2017-01-12,0,3.8682951557015652,6
2017-01-13,6,1.9215693980171897,5
2017-01-14,12,8.169455627453127,2
2017-01-15,17,11.974938393560938,7
2017-01-16,2,7.3936584777875005,10
2017-01-17,0,3.547619726478125,4
2017-01-18,5,-0.9776078713968746,3
2017-01-19,0,4.678282052685939,6
2017-01-20,0,5.484740301762502,7
2017-01-21,0,14.332485995221877,5
2017-01-22,2,6.3804265872,4
2017-01-23,5,13.632554304921875,0
2017-01-24,0,10.004670744340626,3
2017-01-25,0,10.048618575296874,4
2017-01-26,0,30.99651180676875,3
2017-01-27,0,3.814792445620311,17
2017-01-28,2,1.2596909411750006,19
2017-01-29,4,8.12554930774844,4
2017-01-30,0,4.9373554897843785,10
2017-01-31,4,2.2845611051765653,6
2017-02-01,0,2.7276405639718773,12
2017-02-02,0,11.00991181282969,5
2017-02-03,0,0.38975469575156385,7
2017-02-04,0,1.1683270778875017,4
2017-02-05,7,17.65984575334844,2
2017-02-06,0,6.228498411648438,1
2017-02-07,0,2.597782324229688,0
2017-02-08,4,0.1015552208843753,10
2017-02-09,0,2.6040223334921895,1
2017-02-10,0,14.63616979186719,5
2017-02-11,3,10.493387401735937,3
2017-02-12,12,4.360951412095313,0
2017-02-13,9,13.771468666345314,0
2017-02-14,4,3.991947478426563,1
2017-02-15,1,-1.3442471804015614,5
2017-02-16,3,2.458746876289064,6
2017-02-17,1,11.508406490365628,3
2017-02-18,7,-1.3340460571437487,5
2017-02-19,4,10.520502466471877,10
2017-02-20,0,-0.16006325157656232,1
2017-02-21,0,-1.404282362251561,5
2017-02-22,0,4.072718172065626,8
2017-02-23,0,-0.10490797826718623,6
2017-02-24,0,-0.7637781683484364,10
2017-02-25,0,0.45324517440312584,1
2017-02-26,0,12.489985724017188,9
2017-02-27,0,3.408347748776562,7
2017-02-28,0,4.684650331037499,6
2017-03-01,0,11.698409301178124,1
2017-03-02,4,3.9438354886718745,11
2017-03-03,0,2.266445161804688,7
2017-03-04,80,1.5643425387140628,9
2017-03-05,6,7.764090573234377,8
2017-03-06,6,0.25027977201093843,8
2017-03-07,0,-0.2645454880453113,4
2017-03-08,0,-0.8955487670234364,3
2017-03-09,0,-0.6303041619187484,1
2017-03-10,0,-0.4653315335609362,1
2017-03-11,0,-0.29330156852812417,1
2017-03-12,4,-0.20458439044062443,21
2017-03-13,0,1.8533392202515628,29
2017-03-14,0,0.6941800048953126,15
2017-03-15,0,5.7836339819125,14
2017-03-16,2,0.28960114746406185,9
2017-03-17,2,5.560175,8
2017-03-18,3,0.13110399999999944,57
2017-03-19,0,3.435084225,18
2017-03-20,0,0.23128759499999996,17
2017-03-21,6,1.4422058527187507,19
2017-03-22,0,11.4175467919125,7
2017-03-23,7,0.4268587481203121,25
2017-03-24,3,2.97818488176875,15
2017-03-25,6,6.981007773120313,57
2017-03-26,15,11.565318274268751,21
2017-03-27,6,-2.092815825848438,7
2017-03-28,5,1.8488212343406254,5
2017-03-29,4,-0.08725085856718673,0
2017-03-30,2,5.161000596240627,16
2017-03-31,0,12.7903885085375,17
2017-04-01,0,6.924585810365625,14
2017-04-02,3,59.97562728448125,13
2017-04-03,0,49.62484332300937,11
2017-04-04,0,45.71189631578281,5
2017-04-05,2,121.63763228970312,20
2017-04-06,2,18.988779026876554,1
2017-04-07,5,31.175920409370313,14
2017-04-08,0,105.87267021131564,48
2017-04-09,0,1.736386117356254,8
2017-04-10,0,11.22483754645782,2
2017-04-11,2,19.16258935713126,11
2017-04-12,0,19.994392559592203,10
2017-04-13,0,55.681226522460946,15
2017-04-14,0,2.7126287519125043,27
2017-04-15,0,41.143599139181255,7
2017-04-16,0,37.16915400702344,16
2017-04-17,0,38.735324618129695,9
2017-04-18,4,15.844784947568751,10
2017-04-19,0,24.671820574367192,19
