,dropwizard/dropwizard,spring-projects/spring-boot,apache/tomee
2016-12-21,0,36,0.0
2016-12-22,0,31,1.0
2016-12-23,1,5,-0.10000000000000009
2016-12-24,1,6,-0.04500000000000003
2016-12-25,0,5,-0.028500000000000022
2016-12-26,0,4,-0.020662499999999924
2016-12-27,0,34,-0.016116749999999947
2016-12-28,7,19,0.9868379875000001
2016-12-29,2,12,-0.11109369625000005
2016-12-30,0,38,0.945431686984375
2016-12-31,0,1,-0.1368988525359376
2017-01-01,0,0,-0.06566249999999996
2017-01-02,0,0,1.9553832500000001
2017-01-03,0,57,2.7661754875
2017-01-04,0,30,-0.41721044625000026
2017-01-05,0,33,-0.21473032551562507
2017-01-06,0,28,0.8536824512140626
2017-01-07,0,0,0.7962106869843752
2017-01-08,0,7,-0.22807312753593736
2017-01-09,0,3,-0.13517342999999987
2017-01-10,1,15,0.8984197852187502
2017-01-11,1,0,1.8177181058812502
2017-01-12,0,8,-0.2994753201078125
2017-01-13,14,22,-0.14275570875000002
2017-01-14,0,4,-0.09832450926562492
2017-01-15,0,4,-0.07540891555156225
2017-01-16,1,34,0.9462056349640626
2017-01-17,3,46,-0.13741772124999999
2017-01-18,0,22,-0.07675570551562494
2017-01-19,0,45,-0.05603547856718745
2017-01-20,0,33,0.9625397949281251
2017-01-21,0,0,-0.11611675000000003
2017-01-22,0,6,-0.05816201249999999
2017-01-23,6,15,-0.03959369624999999
2017-01-24,1,70,-0.0302308130156249
2017-01-25,0,27,0.9754843974640626
2017-01-26,0,40,5.8868379875
2017-01-27,5,3,0.3439063037499994
2017-01-28,0,6,-0.4080683130156253
2017-01-29,0,0,-0.24506135253593758
2017-01-30,4,20,0.8314082500000005
2017-01-31,0,3,1.7694749875000004
2017-02-01,3,13,-0.3511825212499999
2017-02-02,6,6,1.792207496984375
2017-02-03,0,2,-0.35456492687968744
2017-02-04,0,0,-0.2074031782312497
2017-02-05,0,6,-0.11079436503593737
2017-02-06,3,21,-0.07874272124999973
2017-02-07,3,23,-0.06398920551562481
2017-02-08,1,34,1.9461404964328126
2017-02-09,2,15,0.761014902428125
2017-02-10,2,2,1.7908633739687498
2017-02-11,2,0,-0.3187977050718752
2017-02-12,0,6,-0.15982499999999994
2017-02-13,4,10,0.8901040000000001
2017-02-14,3,16,0.8162342250000002
2017-02-15,0,11,-0.2125829049999999
2017-02-16,0,4,-0.1300543472812499
2017-02-17,0,4,-0.09771591058749982
2017-02-18,1,0,-0.06431472856718731
2017-02-19,0,3,-0.04607646757187486
2017-02-20,1,9,0.9757442912500001
2017-02-21,1,8,0.879337990734375
2017-02-22,0,44,-0.16296716555156257
2017-02-23,0,0,-0.08189885253593754
2017-02-24,2,15,-0.04916249999999994
2017-02-25,0,0,-0.036779249999999875
2017-02-26,0,2,-0.02927876249999991
2017-02-27,3,8,-0.024255708749999928
2017-02-28,0,20,-0.02066200926562494
2017-03-01,0,43,0.9820328344484376
2017-03-02,0,53,0.8916011474640624
2017-03-03,0,27,1.855
2017-03-04,0,0,-0.27350000000000024
2017-03-05,0,0,-0.13916250000000002
2017-03-06,2,16,-0.09377924999999993
2017-03-07,3,11,0.9293962375000002
2017-03-08,8,6,0.8435107912500001
2017-03-09,0,12,4.808013965734375
2017-03-10,0,21,-0.6136545580515629
2017-03-11,0,2,0.6983020214328124
2017-03-12,1,3,-0.29607695507187504
2017-03-13,1,12,0.8224087375000004
2017-03-14,3,12,0.7666605412500003
2017-03-15,4,21,-0.2521345717656248
2017-03-16,0,10,-0.16305239680156228
2017-03-17,0,11,3.8814350698859377
2017-03-18,0,3,0.5101327910703124
2017-03-19,0,0,-0.3188470755156251
2017-03-20,2,0,-0.19165456128593752
2017-03-21,5,0,-0.13181200926562467
2017-03-22,1,4,-0.10309666555156216
2017-03-23,2,8,-0.07716365253593727
2017-03-24,2,43,-0.05753679749999983
2017-03-25,0,13,-0.04936694831249987
2017-03-26,0,6,-0.04316372315937489
2017-03-27,13,1,-0.008398852535937478
2017-03-28,1,18,0.0
2017-03-29,1,4,2.0
2017-03-30,0,0,3.8
2017-03-31,0,7,-0.49000000000000044
2017-04-01,0,2,-0.23700000000000018
2017-04-02,0,3,-0.15532499999999994
2017-04-03,1,5,-0.11488349999999958
2017-04-04,0,59,-0.0907910249999997
2017-04-05,0,8,-0.07483544249999978
2017-04-06,0,15,-0.06351141103124983
2017-04-07,2,31,0.9449290428656252
2017-04-08,0,3,-0.13359541014375
2017-04-09,0,0,-0.04500000000000003
2017-04-10,0,35,0.9715
2017-04-11,2,22,-0.1206625
2017-04-12,2,31,-0.061116749999999984
2017-04-13,0,6,-0.041662012499999984
2017-04-14,2,13,-0.03175619624999989
2017-04-15,0,0,-0.025685063015624923
2017-04-16,0,0,-0.02156086503593744
2017-04-17,0,7,-0.011093696249999967
2017-04-18,2,17,0.990431686984375
2017-04-19,0,32,0.8916011474640624
2017-04-20,0,31,-0.14500000000000013
2017-04-21,1,7,-0.07350000000000005
2017-04-22,12,0,-0.04916249999999994
2017-04-23,0,0,-0.036779249999999875
2017-04-24,1,13,0.9707212375000001
2017-04-25,2,11,-0.12425570875000001
2017-04-26,2,7,-0.06566200926562497
2017-04-27,6,47,-0.04646716555156248
2017-04-28,8,34,-0.029061352535937404
2017-04-29,0,2,-0.016116749999999947
