,NativeScript/NativeScript,flutter/flutter,facebook/react-native
2015-03-30,14,0.0,28
2015-03-31,10,0.0,50
2015-04-01,4,1.0,51
2015-04-02,3,-0.3999999999999999,30
2015-04-03,11,-0.12,33
2015-04-04,0,-0.064,12
2015-04-05,0,-0.04160000000000005,2
2015-04-06,6,0.970048,9
2015-04-07,2,1.5770368000000001,19
2015-04-08,12,-0.9383705599999999,35
2015-04-09,7,1.680844288,19
2015-04-10,0,0.017601843200000133,20
2015-04-11,1,-0.753152,11
2015-04-12,0,-0.33086720000000003,3
2015-04-13,1,-0.21149696000000012,7
2015-04-14,6,2.846599168,11
2015-04-15,2,-0.3189879807999998,12
2015-04-16,7,-0.8453006335999999,12
2015-04-17,5,-0.36068198399999996,16
2015-04-18,0,-0.22955202560000013,8
2015-04-19,0,-0.1442541568000001,6
2015-04-20,36,0.9011583999999999,14
2015-04-21,2,2.52192512,30
2015-04-22,18,-1.3838376959999996,24
2015-04-23,5,-0.47755018239999997,23
2015-04-24,17,-0.24639815680000005,17
2015-04-25,0,-0.15475200000000014,5
2015-04-26,0,-0.11281920000000005,5
2015-04-27,3,1.91273984,9
2015-04-28,7,3.1297326080000003,17
2015-04-29,7,-1.8982652927999997,12
2015-04-30,3,-0.6463944704,18
2015-05-01,0,-0.3392000000000001,5
2015-05-02,0,-0.22630400000000023,12
2015-05-03,0,-0.1657344000000001,5
2015-05-04,5,0.87140608,8
2015-05-05,7,-0.5037936639999999,19
2015-05-06,0,-0.20621916159999998,15
2015-05-07,2,-0.11519262719999998,25
2015-05-08,6,-0.04160000000000005,13
2015-05-09,0,-0.029952000000000017,0
2015-05-10,0,-0.022963200000000007,3
2015-05-11,11,-0.018370559999999994,4
2015-05-12,4,0.984844288,0
2015-05-13,8,2.5872018432,50
2015-05-14,8,2.68,36
2015-05-15,11,-1.0239999999999996,21
2015-05-16,0,-1.1136,5
2015-05-17,0,-0.5307520000000001,2
2015-05-18,11,2.6567808,13
2015-05-19,13,7.55133184,2
2015-05-20,6,-3.1520721919999994,9
2015-05-21,8,3.1732892672,6
2015-05-22,6,-2.9381878784,13
2015-05-23,0,-0.19460433920000053,7
2015-05-24,0,-1.1128557568000002,1
2015-05-25,14,-0.6197324800000004,4
2015-05-26,5,4.552474624,14
2015-05-27,11,6.6504175616,9
2015-05-28,4,7.5478560768000005,25
2015-05-29,9,-4.311539916799999,20
2015-05-30,0,-3.106361344,8
2015-05-31,1,-1.5473157120000005,10
2015-06-01,7,1.9756178431999993,13
2015-06-02,11,8.0588544,18
2015-06-03,9,5.063424000000001,24
2015-06-04,3,10.141234688,7
2015-06-05,2,-4.698593075199998,9
2015-06-06,0,-4.8497453056,5
2015-06-07,0,-2.314005913600001,5
2015-06-08,4,7.494136319999999,9
2015-06-09,3,5.295563264,17
2015-06-10,3,6.0591236096,10
2015-06-11,11,5.758679552000001,20
2015-06-12,4,-3.0983552000000003,42
2015-06-13,0,-2.2789613568,3
2015-06-14,0,-3.6885814272000004,0
2015-06-15,10,3.024808959999999,17
2015-06-16,3,6.614958592,9
2015-06-17,19,4.3397311488,11
2015-06-18,33,5.726660608000001,11
2015-06-19,1,-3.3593445375999993,14
2015-06-20,0,-4.5430262784,7
2015-06-21,0,-2.1877939200000007,1
2015-06-22,0,8.5854007296,19
2015-06-23,2,5.985059840000001,13
2015-06-24,2,3.605380096000001,17
2015-06-25,9,6.448161792000001,22
2015-06-26,14,3.0966676480000004,6
2015-06-27,0,-7.571320729599999,4
2015-06-28,0,-3.178296627200001,1
2015-06-29,9,-0.9806208000000007,4
2015-06-30,5,0.16975871999999947,13
2015-07-01,9,-0.026393600000000017,11
2015-07-02,4,-0.8877493247999997,7
2015-07-03,4,-1.3366819839999997,9
2015-07-04,0,-0.6942408704,0
2015-07-05,0,-0.3708469248000001,1
2015-07-06,22,7.83419904,10
2015-07-07,18,-2.327775231999999,15
2015-07-08,6,2.5371860992000004,16
2015-07-09,10,-0.3062782975999996,15
2015-07-10,9,0.2824479743999999,17
2015-07-11,0,-1.5900141568,0
2015-07-12,0,-0.7480576000000002,0
2015-07-13,6,-0.5009356800000002,12
2015-07-14,11,0.625426944,19
2015-07-15,23,-0.6968536063999999,17
2015-07-16,17,7.7239114752,10
2015-07-17,4,14.6177548288,14
2015-07-18,0,-0.25750773759999745,1
2015-07-19,0,-5.927548313599999,0
2015-07-20,12,7.5322368,8
2015-07-21,6,28.481213439999998,17
2015-07-22,10,13.129202688000001,9
2015-07-23,6,13.8672837632,12
2015-07-24,14,2.8923786240000027,15
2015-07-25,0,-10.6120725504,4
2015-07-26,0,-9.8300125184,0
2015-07-27,11,13.646952345599999,22
2015-07-28,12,3.7301990400000005,11
2015-07-29,8,5.923574784000001,11
2015-07-30,10,19.054957260800002,13
2015-07-31,11,-4.573305139199995,6
2015-08-01,0,-8.0414798848,6
2015-08-02,0,-5.109274521600001,4
2015-08-03,25,12.318938419199998,7
2015-08-04,12,8.280796672,9
2015-08-05,1,1.5815646208000018,4
2015-08-06,6,7.031363584000001,8
2015-08-07,13,27.7028301824,16
2015-08-08,0,-13.443159756799997,4
2015-08-09,0,-10.3020504064,0
2015-08-10,5,21.7602828288,8
2015-08-11,8,35.7079809024,17
2015-08-12,7,-14.818891161599996,9
2015-08-13,11,16.0270806016,18
2015-08-14,4,-1.9444173823999975,19
2015-08-15,0,-14.9299393536,5
2015-08-16,0,-7.140424499200001,1
2015-08-17,0,21.6007757824,10
2015-08-18,6,6.413912576000001,8
2015-08-19,2,15.376508006400002,15
2015-08-20,1,8.587888128000003,21
2015-08-21,1,-0.14935060479999862,20
2015-08-22,0,-5.028343807999999,3
2015-08-23,1,-9.924051865600001,0
2015-08-24,4,15.944893439999998,2
2015-08-25,7,37.110655488,29
2015-08-26,3,18.230760243200006,17
2015-08-27,6,-2.257055743999995,14
2015-08-28,18,4.946236620800001,6
2015-08-29,0,-8.055126220799998,1
2015-08-30,0,-7.0286452736000005,3
2015-08-31,5,14.7675020288,14
2015-09-01,12,0.011307008000001062,21
2015-09-02,8,8.1771579392,13
2015-09-03,12,14.391149260800002,15
2015-09-04,26,6.115970969599999,19
2015-09-05,3,-12.7927519232,5
2015-09-06,0,-7.806886912000001,7
2015-09-07,7,-4.2684474368000025,8
2015-09-08,0,5.158680371199999,15
2015-09-09,8,5.744545996799999,17
2015-09-10,11,4.300486656000001,13
2015-09-11,6,12.871424819200001,10
2015-09-12,1,-10.8436810752,9
2015-09-13,1,-4.865880371200001,1
2015-09-14,7,8.3859883008,14
2015-09-15,6,-2.1658713088,26
2015-09-16,7,24.7642033152,33
2015-09-17,7,10.186322124800002,12
2015-09-18,21,9.462208614400001,22
2015-09-19,1,-5.322090393599998,7
2015-09-20,0,-9.278720204799999,6
2015-09-21,6,8.6902648832,7
2015-09-22,0,19.016624128,25
2015-09-23,5,16.635886387200003,29
2015-09-24,5,7.1201614848000006,35
2015-09-25,10,20.9502389248,18
2015-09-26,0,-12.229689651199998,5
2015-09-27,0,-10.712424243200001,0
2015-09-28,5,-3.0993587200000015,3
2015-09-29,11,17.060671795199998,14
2015-09-30,17,21.193836748800003,12
2015-10-01,22,22.129197465600004,29
2015-10-02,5,-7.606492569599997,24
2015-10-03,0,-1.4229506048000005,7
2015-10-04,0,-12.738616627199999,2
2015-10-05,11,19.0872635392,24
2015-10-06,6,21.1960375296,20
2015-10-07,7,-7.752335871999996,18
2015-10-08,6,10.3255763968,22
2015-10-09,18,6.683225088,30
2015-10-10,1,-4.282043289599997,9
2015-10-11,0,-7.7753901056,0
2015-10-12,10,17.588786176,24
2015-10-13,12,11.7096435712,35
2015-10-14,17,2.487612211200002,40
2015-10-15,20,5.527371059200002,9
2015-10-16,12,2.667997593600001,27
2015-10-17,0,-9.2144366592,5
2015-10-18,0,-3.6129403904000013,5
