,4ian/GDevelop,godotengine/godot,MonoGame/MonoGame
2018-02-08,0,2,1
2018-02-09,0,4,0
2018-02-10,2,2,0
2018-02-11,6,4,0
2018-02-12,0,11,4
2018-02-13,2,29,0
2018-02-14,0,59,4
2018-02-15,2,15,0
2018-02-16,0,17,5
2018-02-17,9,22,0
2018-02-18,4,14,0
2018-02-19,0,54,0
2018-02-20,1,26,1
2018-02-21,0,30,38
2018-02-22,0,27,0
2018-02-23,3,12,9
2018-02-24,4,25,2
2018-02-25,14,12,0
2018-02-26,0,7,2
2018-02-27,9,18,0
2018-02-28,1,10,0
2018-03-01,0,25,3
2018-03-02,0,28,0
2018-03-03,0,20,7
2018-03-04,0,12,1
2018-03-05,0,9,0
2018-03-06,0,17,5
2018-03-07,0,11,1
2018-03-08,0,4,1
2018-03-09,0,10,1
2018-03-10,6,12,1
2018-03-11,5,8,2
2018-03-12,1,2,0
2018-03-13,0,68,0
2018-03-14,0,11,1
2018-03-15,1,30,2
2018-03-16,0,11,0
2018-03-17,2,7,0
2018-03-18,0,12,4
2018-03-19,0,12,5
2018-03-20,0,12,0
2018-03-21,0,13,0
2018-03-22,0,6,4
2018-03-23,0,21,2
2018-03-24,0,8,0
2018-03-25,2,2,0
2018-03-26,0,8,0
2018-03-27,0,11,3
2018-03-28,0,14,1
2018-03-29,5,9,0
2018-03-30,9,16,2
2018-03-31,6,2,0
2018-04-01,4,3,0
2018-04-02,3,6,0
2018-04-03,6,38,0
2018-04-04,8,24,0
2018-04-05,1,9,0
2018-04-06,0,12,0
2018-04-07,0,19,1
2018-04-08,6,27,0
2018-04-09,1,23,0
2018-04-10,3,23,0
2018-04-11,0,11,0
2018-04-12,0,22,0
2018-04-13,12,10,0
2018-04-14,1,3,0
2018-04-15,3,9,2
2018-04-16,1,17,0
2018-04-17,0,7,0
2018-04-18,0,23,0
2018-04-19,0,11,0
2018-04-20,1,7,0
2018-04-21,0,6,0
2018-04-22,0,7,0
2018-04-23,10,7,0
2018-04-24,15,8,0
2018-04-25,4,5,1
2018-04-26,5,6,0
2018-04-27,4,9,0
2018-04-28,2,13,0
2018-04-29,0,14,0
2018-04-30,3,26,0
2018-05-01,0,29,0
2018-05-02,6,22,0
2018-05-03,0,21,0
2018-05-04,5,17,0
2018-05-05,2,17,0
2018-05-06,0,6,2
2018-05-07,0,57,0
2018-05-08,0,42,1
2018-05-09,2,21,1
2018-05-10,0,23,0
2018-05-11,1,25,0
2018-05-12,0,17,1
2018-05-13,0,18,2
2018-05-14,0,14,1
2018-05-15,0,20,2
2018-05-16,0,44,1
2018-05-17,0,26,0
2018-05-18,0,18,0
2018-05-19,0,6,0
2018-05-20,0,5,0
2018-05-21,2,13,0
2018-05-22,2,5,0
2018-05-23,4,17,0
2018-05-24,2,8,0
2018-05-25,9,21,0
2018-05-26,4,23,0
2018-05-27,14,12,0
2018-05-28,5,17,0
2018-05-29,5,15,0
2018-05-30,0,17,0
2018-05-31,0,10,1
2018-06-01,0,6,0
2018-06-02,0,0,0
2018-06-03,0,6,0
2018-06-04,1,1,0
2018-06-05,0,19,1
2018-06-06,0,9,6
2018-06-07,0,23,0
2018-06-08,0,16,0
2018-06-09,1,7,0
