,nwjs/nw.js,electron/electron,AvaloniaUI/Avalonia
2022-02-05,0,0.0,7
2022-02-06,0,0.0,0
2022-02-07,2,2.0,11
2022-02-08,0,4.6,14
2022-02-09,0,2.84,3
2022-02-10,0,0.7039999999999997,6
2022-02-11,1,3.9727999999999994,5
2022-02-12,0,-1.571072,7
2022-02-13,0,-0.7989376000000006,3
2022-02-14,0,1.4546585599999995,6
2022-02-15,0,2.185803776,25
2022-02-16,0,0.9068782592000002,17
2022-02-17,0,4.00810496,5
2022-02-18,0,0.4655135744000001,1
2022-02-19,0,-1.1447492608,2
2022-02-20,7,-0.6470123520000003,15
2022-02-21,3,5.5897881599999995,7
2022-02-22,2,0.4847068160000001,5
2022-02-23,0,3.8648287231999996,7
2022-02-24,0,1.3603253248,13
2022-02-25,0,0.5716692991999999,12
2022-02-26,0,-1.1915381760000001,1
2022-02-27,0,-0.6705835008000004,0
2022-02-28,1,2.53310208,16
2022-03-01,0,2.0338682880000003,9
2022-03-02,0,1.8594164736,22
2022-03-03,0,2.8274849792000003,2
2022-03-04,0,-0.4241633279999997,0
2022-03-05,2,0.09240852479999984,7
2022-03-06,2,-0.7356331008000002,10
2022-03-07,0,6.54892544,11
2022-03-08,0,6.2610263040000005,8
2022-03-09,0,2.5677974528,6
2022-03-10,1,-1.1702428672000007,55
2022-03-11,0,1.6484855807999996,19
2022-03-12,0,-0.44874383360000003,9
2022-03-13,2,-1.0301466624000004,0
2022-03-14,0,1.3203332095999996,12
2022-03-15,0,4.087392256,19
2022-03-16,0,7.4223424512000005,9
2022-03-17,0,1.4285575168000006,10
2022-03-18,0,-0.9751434240000005,6
2022-03-19,0,0.7563687935999996,12
2022-03-20,1,-1.1947333632000001,3
2022-03-21,2,12.2793092096,38
2022-03-22,3,5.870987776,17
2022-03-23,0,6.736331059199999,20
2022-03-24,0,0.32495616000000016,2
2022-03-25,0,2.3036406783999994,7
2022-03-26,1,-2.5324865536000005,2
2022-03-27,2,-1.4646431744000008,20
2022-03-28,0,6.9413947392,18
2022-03-29,14,10.586187264000001,11
2022-03-30,6,5.089746636800001,15
2022-03-31,1,-0.6499521536000001,8
2022-04-01,0,-0.4796779520000003,3
2022-04-02,0,-1.8349039616000002,4
2022-04-03,0,-1.1641451520000003,9
2022-04-04,0,16.17238784,23
2022-04-05,0,0.9371837440000004,8
2022-04-06,0,1.0885060608,11
2022-04-07,0,1.6007712768000002,7
2022-04-08,0,-0.12044072959999985,7
2022-04-09,0,-1.5802954752000002,23
2022-04-10,2,-0.9863083008000005,25
2022-04-11,0,7.27755776,18
2022-04-12,1,9.819716096,20
2022-04-13,1,4.475588403200001,15
2022-04-14,1,1.8275379199999997,44
2022-04-15,0,2.3739183103999997,32
2022-04-16,0,-2.4701408256000006,29
2022-04-17,0,-1.403601100800001,15
2022-04-18,2,6.007152639999999,8
2022-04-19,0,-1.1773327359999994,3
2022-04-20,0,2.6023548928,16
2022-04-21,1,2.3324884992000006,20
2022-04-22,0,4.340473036800001,5
2022-04-23,0,-2.0586373119999997,3
2022-04-24,0,-1.0372843520000006,0
2022-04-25,0,4.336540159999999,3
2022-04-26,0,0.4969000960000005,9
2022-04-27,4,3.7956887551999996,11
2022-04-28,2,2.3397001216,23
2022-04-29,0,1.3270114304,11
