,twbs/bootstrap,mui/material-ui,ant-design/ant-design
2023-07-07,0,5.0,12
2023-07-08,0,2.220446049250313e-16,5
2023-07-09,0,-0.6000000000000003,3
2023-07-10,1,7.68,6
2023-07-11,0,6.184,10
2023-07-12,1,10.59872,8
2023-07-13,0,0.24831999999999965,2
2023-07-14,0,1.4021375999999988,6
2023-07-15,1,-2.30595328,6
2023-07-16,0,2.606747135999999,3
2023-07-17,6,10.2303184896,8
2023-07-18,0,9.527366144,7
2023-07-19,0,3.6292369408000003,13
2023-07-20,0,1.2133828608,6
2023-07-21,0,6.9432967168,9
2023-07-22,0,-3.7163754496,3
2023-07-23,2,0.9965021183999987,3
2023-07-24,6,8.021466111999999,10
2023-07-25,2,7.690312294400001,18
2023-07-26,1,2.0264097792000006,8
2023-07-27,2,3.7730751488,14
2023-07-28,0,2.8384314367999997,12
2023-07-29,1,4.059529728,2
2023-07-30,0,-1.0782576640000006,2
2023-07-31,0,6.926436863999999,6
2023-08-01,1,5.8335961088,3
2023-08-02,2,3.468063744,8
2023-08-03,0,4.7374990336,15
2023-08-04,0,3.6344359936,10
2023-08-05,3,-0.24118036479999994,0
2023-08-06,1,-2.4022667264000006,0
2023-08-07,0,10.524187443199999,19
2023-08-08,0,3.566741811200001,14
2023-08-09,0,4.8368169984,7
2023-08-10,0,0.6960385024,6
2023-08-11,0,8.4386394112,5
2023-08-12,0,-3.6968809471999995,0
2023-08-13,0,-1.895146188800001,0
2023-08-14,0,17.7497817088,11
2023-08-15,1,3.273686016000001,9
2023-08-16,0,9.131628851199999,4
2023-08-17,0,1.3531891711999995,9
2023-08-18,0,0.3941004287999994,9
2023-08-19,0,-0.8661262336000002,0
2023-08-20,0,3.8256019455999994,3
2023-08-21,3,7.429393919999999,12
2023-08-22,4,9.462029312,11
2023-08-23,0,7.4480164864,4
2023-08-24,0,3.3572574208,10
2023-08-25,0,-1.0302083072000006,4
2023-08-26,0,-0.7969531904000009,2
2023-08-27,0,-2.1436691456000005,3
2023-08-28,0,-0.4253385728000003,16
2023-08-29,0,8.7150258176,19
2023-08-30,0,6.097907200000002,7
2023-08-31,0,6.7694737408000005,7
2023-09-01,0,4.4100283392,7
2023-09-02,0,-0.3703073792000007,9
2023-09-03,0,0.6356277247999991,2
2023-09-04,0,13.964022579199998,11
2023-09-05,0,7.524325888,11
2023-09-06,0,3.3579370495999994,2
2023-09-07,0,0.9077114879999995,12
2023-09-08,0,7.7169905664,8
2023-09-09,0,2.8523622400000006,0
2023-09-10,0,6.3842091008,4
2023-09-11,0,5.9431676927999995,16
2023-09-12,1,0.7325575168,7
2023-09-13,9,2.5941840895999997,12
2023-09-14,5,4.8311636992,5
2023-09-15,0,2.5877511168,10
2023-09-16,0,0.9052533760000001,5
2023-09-17,0,-0.6047120383999998,4
2023-09-18,1,9.0674102272,8
2023-09-19,0,1.5663349760000012,6
2023-09-20,0,3.274761216,12
2023-09-21,0,0.29599641599999993,4
2023-09-22,0,2.8861346815999998,9
2023-09-23,0,-1.2715415551999998,0
2023-09-24,0,2.5357828095999997,0
2023-09-25,0,6.2589932544,13
2023-09-26,0,11.3969820672,10
2023-09-27,0,4.8347718656000005,3
2023-09-28,0,2.2344668159999994,2
2023-09-29,1,-1.185985638400001,2
2023-09-30,0,-0.19467653120000072,3
2023-10-01,0,-0.8157757440000004,0
2023-10-02,1,8.6211388416,2
2023-10-03,0,3.0177716224000006,5
2023-10-04,0,9.2576319488,3
2023-10-05,1,1.1088497664000005,1
2023-10-06,0,2.1172025343999996,2
2023-10-07,0,-0.5908337664000003,13
2023-10-08,0,0.12865515519999948,8
2023-10-09,0,10.394401587199999,6
2023-10-10,0,5.545267609600001,5
2023-10-11,0,2.432835584,12
2023-10-12,1,3.9514817536,6
2023-10-13,2,2.8866660352,8
2023-10-14,0,-1.8658283520000003,3
2023-10-15,0,-1.8175452160000007,13
2023-10-16,0,8.802890035199999,10
2023-10-17,0,2.099143475200001,7
2023-10-18,0,3.4895004672,3
2023-10-19,0,9.4548537344,3
2023-10-20,0,1.2464807936000004,18
2023-10-21,0,-1.8618984448000004,5
2023-10-22,0,1.2012281855999993,0
2023-10-23,3,2.2397034495999995,9
2023-10-24,0,5.08648448,10
2023-10-25,0,3.4313820160000006,4
2023-10-26,0,2.467726336,7
2023-10-27,0,0.6204609536000003,1
2023-10-28,0,-0.9251278848,2
2023-10-29,0,-1.2695818240000003,4
2023-10-30,1,13.1884430336,6
2023-10-31,1,2.5875012608000008,2
2023-11-01,0,3.2154962943999994,4
2023-11-02,1,8.3029322752,8
2023-11-03,0,1.3436363776000002,15
2023-11-04,0,-1.8495406080000008,0
2023-11-05,0,-0.8206149632000008,3
2023-11-06,0,3.585167769599999,3
2023-11-07,0,5.997542912000001,3
2023-11-08,0,9.2035457024,11
2023-11-09,0,-1.7886162943999997,13
2023-11-10,1,2.7243206655999996,11
2023-11-11,0,-2.3789369343999995,1
2023-11-12,0,0.7007068159999994,2
2023-11-13,0,1.7114469375999997,34
2023-11-14,2,2.5559607296,16
2023-11-15,2,-0.6851066879999996,10
2023-11-16,0,0.8603952128000005,11
