,rust-lang/rust,apple/swift,JetBrains/kotlin
2022-10-17,77,48,49
2022-10-18,65,29,36
2022-10-19,93,40,39
2022-10-20,104,77,39
2022-10-21,78,67,25
2022-10-22,64,45,0
2022-10-23,101,11,0
2022-10-24,106,42,26
2022-10-25,92,41,14
2022-10-26,95,33,31
2022-10-27,99,60,90
2022-10-28,74,49,1
2022-10-29,109,9,0
2022-10-30,39,26,0
2022-10-31,70,51,22
2022-11-01,71,60,25
2022-11-02,72,68,30
2022-11-03,52,56,17
2022-11-04,105,89,37
2022-11-05,102,25,1
2022-11-06,69,5,0
2022-11-07,158,56,27
2022-11-08,78,59,16
2022-11-09,122,83,15
2022-11-10,95,76,54
2022-11-11,86,64,78
2022-11-12,85,45,32
2022-11-13,71,7,2
2022-11-14,72,57,11
2022-11-15,102,52,29
2022-11-16,70,95,15
2022-11-17,70,64,65
2022-11-18,97,45,24
2022-11-19,105,23,1
2022-11-20,106,0,0
2022-11-21,130,6,26
2022-11-22,80,6,76
2022-11-23,90,7,25
2022-11-24,86,2,40
2022-11-25,170,0,22
2022-11-26,80,3,4
2022-11-27,88,2,1
2022-11-28,100,50,27
2022-11-29,100,116,194
2022-11-30,65,87,47
2022-12-01,90,90,38
2022-12-02,87,68,50
2022-12-03,75,24,0
2022-12-04,54,10,4
2022-12-05,53,32,22
2022-12-06,106,68,53
2022-12-07,60,58,32
2022-12-08,59,55,44
2022-12-09,83,58,50
2022-12-10,60,27,0
2022-12-11,68,7,6
2022-12-12,68,71,50
2022-12-13,110,90,40
2022-12-14,112,84,22
2022-12-15,88,109,27
2022-12-16,70,60,31
2022-12-17,79,19,1
2022-12-18,53,14,5
2022-12-19,53,55,9
2022-12-20,91,70,57
2022-12-21,59,68,29
2022-12-22,74,39,18
2022-12-23,60,1,4
2022-12-24,42,1,0
2022-12-25,44,1,0
2022-12-26,22,1,11
2022-12-27,67,1,30
2022-12-28,110,12,15
2022-12-29,67,7,18
2022-12-30,52,5,1
2022-12-31,54,2,0
2023-01-01,39,3,0
2023-01-02,87,8,52
2023-01-03,66,78,11
2023-01-04,80,60,46
2023-01-05,56,60,10
2023-01-06,62,49,29
2023-01-07,53,57,2
2023-01-08,37,29,1
2023-01-09,172,63,37
2023-01-10,52,30,84
2023-01-11,133,54,57
2023-01-12,131,57,52
2023-01-13,106,58,76
2023-01-14,131,18,3
2023-01-15,49,18,8
2023-01-16,65,54,51
2023-01-17,100,42,124
2023-01-18,72,51,45
2023-01-19,76,64,38
2023-01-20,84,60,83
2023-01-21,83,22,7
2023-01-22,54,9,1
2023-01-23,100,28,29
2023-01-24,50,56,66
2023-01-25,64,68,39
2023-01-26,81,115,65
2023-01-27,151,56,34
2023-01-28,77,39,1
2023-01-29,57,32,1
2023-01-30,91,37,55
2023-01-31,95,54,47
2023-02-01,72,81,41
2023-02-02,73,151,27
2023-02-03,80,61,150
2023-02-04,30,25,0
2023-02-05,61,11,1
2023-02-06,65,64,29
2023-02-07,72,87,25
2023-02-08,52,100,40
2023-02-09,84,92,32
2023-02-10,89,55,25
2023-02-11,53,72,1
2023-02-12,56,23,0
2023-02-13,90,58,27
2023-02-14,139,74,44
2023-02-15,86,78,67
2023-02-16,95,77,24
2023-02-17,75,64,29
2023-02-18,98,28,7
2023-02-19,73,9,0
2023-02-20,93,50,34
2023-02-21,91,63,26
2023-02-22,83,82,47
2023-02-23,66,90,19
2023-02-24,42,60,25
2023-02-25,79,38,0
2023-02-26,82,15,0
2023-02-27,64,48,26
2023-02-28,79,108,33
2023-03-01,126,93,68
2023-03-02,66,114,17
2023-03-03,93,118,29
2023-03-04,80,101,4
2023-03-05,84,50,6
2023-03-06,75,79,14
2023-03-07,60,91,45
2023-03-08,98,92,21
2023-03-09,97,73,39
2023-03-10,104,79,33
2023-03-11,75,40,6
2023-03-12,78,7,0
2023-03-13,76,51,37
2023-03-14,87,86,94
2023-03-15,87,69,25
2023-03-16,86,73,31
2023-03-17,88,61,39
2023-03-18,47,41,0
2023-03-19,59,18,1
2023-03-20,70,57,30
2023-03-21,92,85,38
2023-03-22,91,68,36
2023-03-23,79,73,30
2023-03-24,75,47,29
2023-03-25,63,28,0
2023-03-26,61,9,2
2023-03-27,84,41,39
2023-03-28,81,59,19
2023-03-29,99,100,39
2023-03-30,105,71,29
2023-03-31,50,52,23
2023-04-01,33,33,9
2023-04-02,34,7,0
2023-04-03,105,42,76
2023-04-04,115,80,54
2023-04-05,91,55,42
2023-04-06,112,69,70
2023-04-07,70,37,12
2023-04-08,48,17,17
2023-04-09,85,10,8
2023-04-10,64,18,7
2023-04-11,101,48,34
2023-04-12,108,66,38
2023-04-13,99,76,17
2023-04-14,104,41,9
2023-04-15,47,19,0
2023-04-16,111,9,0
2023-04-17,90,26,58
2023-04-18,60,43,67
2023-04-19,83,57,98
2023-04-20,104,47,32
2023-04-21,94,46,50
2023-04-22,101,16,2
2023-04-23,70,5,1
2023-04-24,90,37,35
2023-04-25,93,47,105
2023-04-26,101,38,41
2023-04-27,109,49,43
2023-04-28,92,48,26
2023-04-29,95,18,4
2023-04-30,56,4,7
2023-05-01,64,38,21
2023-05-02,150,103,44
2023-05-03,68,68,30
2023-05-04,67,75,48
2023-05-05,120,57,24
2023-05-06,118,35,5
2023-05-07,64,6,0
2023-05-08,83,63,32
2023-05-09,70,59,53
2023-05-10,67,30,67
2023-05-11,72,49,49
2023-05-12,74,46,51
2023-05-13,63,18,0
2023-05-14,57,10,0
2023-05-15,79,39,29
2023-05-16,72,56,32
2023-05-17,54,37,36
2023-05-18,102,40,17
2023-05-19,39,38,60
2023-05-20,62,12,0
2023-05-21,44,0,0
2023-05-22,64,31,17
2023-05-23,75,52,34
2023-05-24,75,38,20
2023-05-25,105,49,32
2023-05-26,119,44,32
2023-05-27,46,12,9
2023-05-28,51,8,0
2023-05-29,66,16,5
2023-05-30,72,30,23
2023-05-31,80,43,36
2023-06-01,100,49,27
2023-06-02,105,44,23
2023-06-03,61,24,0
2023-06-04,53,3,0
2023-06-05,116,55,15
2023-06-06,67,80,34
2023-06-07,73,108,31
2023-06-08,76,53,40
2023-06-09,66,46,21
2023-06-10,72,35,12
2023-06-11,62,5,0
2023-06-12,108,56,14
2023-06-13,84,56,25
2023-06-14,102,67,55
2023-06-15,78,61,22
2023-06-16,81,60,47
2023-06-17,73,19,5
2023-06-18,58,3,0
2023-06-19,125,17,30
2023-06-20,107,39,43
2023-06-21,111,67,36
2023-06-22,85,56,81
2023-06-23,77,54,36
2023-06-24,55,11,0
2023-06-25,61,0,8
2023-06-26,62,28,49
2023-06-27,113,33,24
2023-06-28,101,55,21
2023-06-29,93,62,13
2023-06-30,99,54,44
2023-07-01,61,14,9
2023-07-02,72,3,0
2023-07-03,112,24,39
2023-07-04,67,62,48
2023-07-05,100,50,64
2023-07-06,69,57,42
2023-07-07,89,70,28
2023-07-08,83,10,1
2023-07-09,41,6,0
2023-07-10,103,23,47
2023-07-11,53,49,26
2023-07-12,81,58,29
2023-07-13,84,38,32
2023-07-14,92,44,39
2023-07-15,33,4,0
2023-07-16,74,2,0
2023-07-17,76,46,56
2023-07-18,84,60,43
2023-07-19,80,99,49
2023-07-20,96,42,45
2023-07-21,103,57,65
2023-07-22,94,35,1
2023-07-23,38,8,0
2023-07-24,100,39,51
2023-07-25,94,66,37
2023-07-26,83,66,51
2023-07-27,90,67,82
2023-07-28,78,76,65
2023-07-29,73,9,3
2023-07-30,103,1,0
2023-07-31,131,29,68
2023-08-01,87,68,44
2023-08-02,109,79,41
2023-08-03,96,71,84
2023-08-04,99,52,38
2023-08-05,70,34,0
2023-08-06,73,14,0
2023-08-07,88,46,53
2023-08-08,96,119,42
2023-08-09,73,88,36
2023-08-10,53,89,36
2023-08-11,72,72,37
2023-08-12,40,10,2
2023-08-13,49,5,3
2023-08-14,89,53,20
2023-08-15,98,46,13
2023-08-16,101,53,31
2023-08-17,57,82,42
2023-08-18,83,46,26
2023-08-19,47,19,1
2023-08-20,45,8,0
2023-08-21,67,58,30
2023-08-22,105,42,43
2023-08-23,60,53,33
2023-08-24,79,55,40
2023-08-25,56,46,51
2023-08-26,51,14,1
2023-08-27,46,4,0
2023-08-28,91,44,29
2023-08-29,70,46,74
2023-08-30,86,62,70
2023-08-31,62,64,41
2023-09-01,73,62,20
2023-09-02,72,22,1
2023-09-03,76,22,3
2023-09-04,34,46,27
2023-09-05,75,44,66
2023-09-06,88,62,55
2023-09-07,71,72,17
2023-09-08,103,61,48
2023-09-09,46,20,2
2023-09-10,64,7,0
2023-09-11,91,67,17
2023-09-12,67,106,15
2023-09-13,52,61,72
2023-09-14,85,55,51
2023-09-15,66,60,42
2023-09-16,65,46,0
2023-09-17,44,9,0
2023-09-18,91,50,40
2023-09-19,77,98,118
2023-09-20,72,67,44
2023-09-21,83,74,48
2023-09-22,124,57,47
2023-09-23,63,45,7
2023-09-24,62,19,6
2023-09-25,80,59,1
2023-09-26,54,83,4
2023-09-27,35,56,1
2023-09-28,112,45,4
2023-09-29,68,67,1
2023-09-30,46,20,0
2023-10-01,52,8,0
2023-10-02,100,35,29
2023-10-03,82,52,21
2023-10-04,85,59,19
2023-10-05,105,51,41
2023-10-06,113,51,29
2023-10-07,39,37,0
2023-10-08,53,32,1
2023-10-09,111,41,21
2023-10-10,90,49,41
2023-10-11,69,65,16
2023-10-12,67,60,69
2023-10-13,55,29,47
2023-10-14,72,16,0
2023-10-15,71,8,0
2023-10-16,83,38,48
