,prometheus-operator/prometheus-operator,heptiolabs/eventrouter,kubernetes-retired/heapster
2017-06-03,0,0,0
2017-06-04,0,0,0
2017-06-05,0,0,0
2017-06-06,3,0,3
2017-06-07,2,0,0
2017-06-08,3,0,0
2017-06-09,6,0,0
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,8,0,0
2017-06-13,7,0,1
2017-06-14,1,0,0
2017-06-15,5,0,0
2017-06-16,2,0,0
2017-06-17,1,0,0
2017-06-18,0,0,0
2017-06-19,10,0,0
2017-06-20,3,0,0
2017-06-21,4,2,8
2017-06-22,5,0,2
2017-06-23,2,0,3
2017-06-24,0,0,0
2017-06-25,0,0,0
2017-06-26,1,0,0
2017-06-27,1,0,0
2017-06-28,14,0,4
2017-06-29,1,0,1
2017-06-30,5,0,0
2017-07-01,0,0,0
2017-07-02,0,0,0
2017-07-03,1,0,2
2017-07-04,0,0,0
2017-07-05,0,0,1
2017-07-06,1,0,0
2017-07-07,0,0,2
2017-07-08,1,0,0
2017-07-09,0,0,0
2017-07-10,4,0,0
2017-07-11,3,0,0
2017-07-12,0,0,2
2017-07-13,1,0,0
2017-07-14,0,0,0
2017-07-15,8,0,2
2017-07-16,0,0,0
2017-07-17,1,0,4
2017-07-18,0,0,2
2017-07-19,0,0,0
2017-07-20,5,0,2
2017-07-21,9,0,3
2017-07-22,0,0,1
2017-07-23,0,0,1
2017-07-24,7,0,5
2017-07-25,7,0,3
2017-07-26,1,0,0
2017-07-27,5,0,0
2017-07-28,10,0,0
2017-07-29,0,0,0
2017-07-30,0,0,0
2017-07-31,4,0,0
2017-08-01,4,0,2
2017-08-02,8,0,0
2017-08-03,0,0,1
2017-08-04,2,0,3
2017-08-05,0,0,1
2017-08-06,0,0,0
2017-08-07,2,0,2
2017-08-08,5,0,1
2017-08-09,5,0,6
2017-08-10,3,0,3
2017-08-11,4,2,1
2017-08-12,1,0,0
2017-08-13,0,0,4
2017-08-14,3,0,5
2017-08-15,8,0,1
2017-08-16,1,0,1
2017-08-17,1,0,0
2017-08-18,2,0,3
2017-08-19,0,0,3
2017-08-20,0,0,1
2017-08-21,5,0,4
2017-08-22,12,0,1
2017-08-23,8,0,1
2017-08-24,8,0,7
2017-08-25,1,0,0
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,7,0,1
2017-08-29,2,0,0
2017-08-30,1,0,2
2017-08-31,1,0,2
2017-09-01,0,0,0
2017-09-02,0,0,0
2017-09-03,0,0,0
2017-09-04,3,0,1
2017-09-05,5,0,0
2017-09-06,2,0,0
2017-09-07,6,0,1
2017-09-08,17,0,0
2017-09-09,5,0,0
2017-09-10,0,0,0
2017-09-11,0,0,0
2017-09-12,0,0,1
2017-09-13,4,0,4
2017-09-14,4,0,1
2017-09-15,10,0,0
2017-09-16,0,0,0
2017-09-17,1,0,0
2017-09-18,5,0,1
2017-09-19,1,0,0
2017-09-20,2,0,0
2017-09-21,11,0,0
2017-09-22,5,0,0
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,6,0,1
2017-09-26,3,0,0
2017-09-27,1,0,1
2017-09-28,7,0,0
2017-09-29,12,0,2
2017-09-30,0,0,0
2017-10-01,0,0,0
2017-10-02,6,0,7
2017-10-03,1,0,5
2017-10-04,2,0,1
2017-10-05,5,0,0
2017-10-06,4,0,0
2017-10-07,1,0,0
2017-10-08,0,0,0
2017-10-09,1,0,0
2017-10-10,6,0,0
2017-10-11,2,0,0
2017-10-12,6,0,0
2017-10-13,1,0,2
2017-10-14,0,0,0
2017-10-15,0,0,0
2017-10-16,6,0,2
2017-10-17,4,0,2
2017-10-18,5,0,1
2017-10-19,3,0,0
2017-10-20,0,0,0
2017-10-21,0,0,0
2017-10-22,1,0,0
2017-10-23,1,0,1
2017-10-24,8,1,0
2017-10-25,2,2,3
2017-10-26,3,3,0
2017-10-27,3,0,2
2017-10-28,1,0,0
2017-10-29,0,0,1
2017-10-30,5,0,0
2017-10-31,1,0,2
2017-11-01,6,0,0
2017-11-02,0,0,1
2017-11-03,0,0,0
2017-11-04,0,0,0
2017-11-05,0,0,0
2017-11-06,2,0,3
2017-11-07,3,0,2
2017-11-08,5,0,0
2017-11-09,6,0,0
2017-11-10,2,0,0
2017-11-11,0,0,0
2017-11-12,1,0,1
2017-11-13,7,0,1
2017-11-14,13,0,0
2017-11-15,1,0,0
