,vercel/next.js,denoland/fresh,alephjs/aleph.js
2021-08-07,0.0,0,0
2021-08-08,1.0,1,0
2021-08-09,7.9,0,0
2021-08-10,6.154999999999999,0,0
2021-08-11,15.911499999999998,0,2
2021-08-12,13.736337499999998,0,0
2021-08-13,12.254083249999999,0,0
2021-08-14,9.008766487499999,0,0
2021-08-15,2.08853045375,0,0
2021-08-16,7.737463279484377,0,0
2021-08-17,5.478839057089065,0,1
2021-08-18,7.584444702353127,0,4
2021-08-19,6.4619038834828135,0,5
2021-08-20,4.514568154889064,0,0
2021-08-21,-2.1933082533093735,0,4
2021-08-22,-0.3349501504765604,0,14
2021-08-23,4.988509141990627,0,12
2021-08-24,8.707264662164064,0,1
2021-08-25,10.198752645515626,0,13
2021-08-26,0.8034861958062498,0,1
2021-08-27,0.4871490337500002,0,13
2021-08-28,-0.1360553764328114,0,1
2021-08-29,0.16652476099843916,0,9
2021-08-30,6.334860884484376,0,0
2021-08-31,7.802134906870313,0,0
2021-09-01,4.3849173621281246,1,5
2021-09-02,14.500307354703125,0,2
2021-09-03,4.5479051755218745,0,0
2021-09-04,-0.9583686423890625,0,2
2021-09-05,-0.2696195518374993,0,20
2021-09-06,12.014118348198439,0,0
2021-09-07,15.969802115104688,0,5
2021-09-08,3.0309590876078123,0,0
2021-09-09,5.780087971582812,0,0
2021-09-10,1.8379667402843758,0,2
2021-09-11,1.261941709565627,0,3
2021-09-12,-0.37263663951718606,0,0
2021-09-13,12.98989805819844,0,0
2021-09-14,2.8464704707609383,0,0
2021-09-15,9.261772505251564,0,0
2021-09-16,15.857000406259374,0,10
2021-09-17,10.046307808159375,0,3
2021-09-18,-0.9043541736000007,0,13
2021-09-19,0.13646652955937588,0,4
2021-09-20,5.534404069376564,0,15
2021-09-21,17.251680146495314,0,0
2021-09-22,5.95278486566875,0,1
2021-09-23,1.4539030991484374,0,3
2021-09-24,4.041469911573438,0,6
2021-09-25,-1.8659835823499982,9,5
2021-09-26,0.8811760610015644,2,6
2021-09-27,5.0376308076468765,0,1
2021-09-28,8.708543762568752,1,0
2021-09-29,8.183218268701562,0,0
2021-09-30,6.968635124676562,0,0
2021-10-01,6.028366397614063,0,0
2021-10-02,-0.9106548132374999,0,0
2021-10-03,0.7641549172843762,0,0
2021-10-04,4.962551071468751,3,0
2021-10-05,14.654384579334376,0,0
2021-10-06,11.547932179628125,0,0
2021-10-07,2.2667472282343746,0,0
2021-10-08,3.985776575,0,0
2021-10-09,4.159145601801564,0,2
2021-10-10,8.262438399196876,0,0
2021-10-11,18.925363143932813,0,0
2021-10-12,2.6384663518343747,0,0
2021-10-13,14.524716566534376,0,5
2021-10-14,5.72539592095625,0,0
2021-10-15,13.257960246918753,0,0
2021-10-16,1.7504868067265629,0,0
2021-10-17,4.580394781690627,0,1
2021-10-18,14.701036808378127,0,0
2021-10-19,7.791609761312501,0,0
2021-10-20,13.033482769901564,0,0
2021-10-21,13.67178884726875,1,0
2021-10-22,12.330215737248437,0,0
2021-10-23,3.301442500176563,0,0
2021-10-24,10.103982458096876,0,0
2021-10-25,17.87752207246094,0,0
2021-10-26,36.95683910223281,1,0
2021-10-27,19.53270921121719,0,0
2021-10-28,20.930404827604686,0,2
2021-10-29,7.751393560659375,0,0
2021-10-30,7.913750212389066,0,0
2021-10-31,-1.5194918954343715,0,0
2021-11-01,10.783286829295317,3,0
2021-11-02,14.262899222454692,0,0
2021-11-03,19.77776582310469,0,0
2021-11-04,9.042567683870313,0,0
2021-11-05,5.866242222643751,0,0
2021-11-06,2.5440110105609395,0,0
2021-11-07,-0.6945227684562472,0,0
2021-11-08,16.03880500548594,0,0
2021-11-09,19.83201272767344,0,0
2021-11-10,1.8075270452156253,0,0
2021-11-11,21.046223769478125,0,0
2021-11-12,2.74490361941875,0,0
2021-11-13,1.977507731840627,0,0
2021-11-14,3.6058377290468764,0,0
2021-11-15,19.81095693875313,0,0
2021-11-16,11.332906071896875,0,0
2021-11-17,8.369169227493751,0,0
2021-11-18,6.684474966079688,0,0
2021-11-19,7.057725936159376,0,0
2021-11-20,-0.8594972082218733,0,0
2021-11-21,8.112538764670315,0,0
2021-11-22,5.684078354226564,0,0
2021-11-23,2.739961904690627,0,0
2021-11-24,2.0594635689750014,0,0
2021-11-25,6.424781868273439,0,0
2021-11-26,13.2173021519125,0,0
2021-11-27,-2.5397256730156252,0,0
2021-11-28,1.6144080361093758,0,0
2021-11-29,8.775692532271876,1,0
2021-11-30,13.157476939265626,0,0
2021-12-01,5.458045479634375,1,0
2021-12-02,5.8115652277578125,0,0
2021-12-03,13.88097739198125,0,0
2021-12-04,3.0906934469781255,0,0
2021-12-05,2.7540647482109386,0,0
2021-12-06,2.142693910953126,0,0
2021-12-07,11.35188476848594,0,0
2021-12-08,8.57409810940625,0,0
2021-12-09,4.499115937835938,0,0
2021-12-10,4.8710577105875,0,0
2021-12-11,-0.014235568537499077,0,0
2021-12-12,2.548786700081252,0,0
2021-12-13,9.674862622206252,0,0
2021-12-14,7.036277546507813,0,0
2021-12-15,3.9647095244031254,0,0
2021-12-16,15.182390012610938,0,0
2021-12-17,7.218400032245312,0,0
2021-12-18,2.5001476486390626,0,0
2021-12-19,0.029388733717188087,0,0
2021-12-20,6.546477271615627,0,0
2021-12-21,8.169228055434377,0,0
2021-12-22,5.849701414964064,0,0
2021-12-23,2.946878737832813,0,0
2021-12-24,0.2676650385187509,0,0
2021-12-25,-0.3088151295171859,0,0
2021-12-26,1.0817189170625017,0,0
2021-12-27,-0.8157470837109361,0,0
2021-12-28,1.4500139783031263,1,0
2021-12-29,1.3726704170562507,0,0
2021-12-30,-0.5897692857343744,0,0
2021-12-31,0.6703847096343754,0,0
2022-01-01,4.7031263900390625,0,0
2022-01-02,2.3328880894125,0,0
2022-01-03,8.360406996432813,0,0
2022-01-04,6.736528377428124,1,0
2022-01-05,10.54874673146875,0,0
2022-01-06,4.991832406396874,0,0
2022-01-07,-0.7960142138218751,0,0
2022-01-08,-0.17187358176562406,0,0
2022-01-09,-0.9293636188640608,0,0
2022-01-10,6.312622932023439,0,0
2022-01-11,3.7800151552515633,0,0
2022-01-12,12.770826130551562,0,0
2022-01-13,5.886554787274999,0,0
2022-01-14,9.090842369709375,0,0
2022-01-15,-1.1545837270171884,0,0
2022-01-16,0.6970399969484384,0,0
2022-01-17,12.898700711214063,0,0
2022-01-18,0.8185636526406257,0,0
2022-01-19,7.447811869670313,0,0
2022-01-20,3.099075897601563,0,0
2022-01-21,10.358668389121876,0,1
2022-01-22,-1.1789819847093748,0,0
2022-01-23,1.6747759915890637,0,0
2022-01-24,10.842303486432813,0,0
2022-01-25,4.005472961459375,0,0
2022-01-26,15.2484942967,0,0
2022-01-27,25.285171744001563,0,0
2022-01-28,4.697982144598436,0,0
2022-01-29,-2.1692697526171876,0,0
2022-01-30,-0.05254278219687336,0,0
2022-01-31,7.396765028417191,0,0
2022-02-01,14.91393579620469,0,0
2022-02-02,13.956961455225,0,0
2022-02-03,6.57892220601875,0,0
