,mlpack/mlpack,scikit-learn/scikit-learn,statsmodels/statsmodels
2014-04-05,0,1,7
2014-04-06,0,7,8
2014-04-07,7,2,0
2014-04-08,0,1,4
2014-04-09,2,0,27
2014-04-10,0,3,32
2014-04-11,0,2,0
2014-04-12,0,10,0
2014-04-13,0,9,0
2014-04-14,6,10,9
2014-04-15,2,7,0
2014-04-16,14,7,0
2014-04-17,0,20,0
2014-04-18,0,3,8
2014-04-19,3,5,2
2014-04-20,0,1,11
2014-04-21,0,21,14
2014-04-22,0,0,0
2014-04-23,0,2,0
2014-04-24,0,7,2
2014-04-25,0,1,0
2014-04-26,1,1,0
2014-04-27,0,3,0
2014-04-28,0,4,3
2014-04-29,0,0,2
2014-04-30,0,3,1
2014-05-01,0,1,0
2014-05-02,0,2,0
2014-05-03,0,1,0
2014-05-04,0,2,0
2014-05-05,0,6,0
2014-05-06,0,6,4
2014-05-07,0,0,0
2014-05-08,0,13,0
2014-05-09,0,1,0
2014-05-10,0,4,0
2014-05-11,0,0,0
2014-05-12,0,4,0
2014-05-13,1,0,1
2014-05-14,0,1,0
2014-05-15,0,7,0
2014-05-16,0,5,0
2014-05-17,1,1,0
2014-05-18,0,5,1
2014-05-19,2,1,0
2014-05-20,4,8,8
2014-05-21,6,9,23
2014-05-22,3,12,10
2014-05-23,1,13,59
2014-05-24,0,15,2
2014-05-25,0,12,2
2014-05-26,3,12,0
2014-05-27,13,4,6
2014-05-28,0,47,3
2014-05-29,0,0,2
2014-05-30,3,1,0
2014-05-31,0,2,8
2014-06-01,0,7,3
2014-06-02,2,2,1
2014-06-03,3,23,5
2014-06-04,2,6,7
2014-06-05,2,41,3
2014-06-06,1,4,1
2014-06-07,0,3,0
2014-06-08,0,13,0
2014-06-09,3,11,0
2014-06-10,1,11,0
2014-06-11,4,3,0
2014-06-12,3,10,0
2014-06-13,2,1,0
2014-06-14,0,4,0
2014-06-15,0,6,0
2014-06-16,0,1,0
2014-06-17,0,4,1
2014-06-18,0,6,8
2014-06-19,2,4,0
2014-06-20,0,2,0
2014-06-21,0,1,0
2014-06-22,0,0,0
2014-06-23,6,12,0
2014-06-24,8,9,0
2014-06-25,5,9,0
2014-06-26,5,4,0
2014-06-27,4,8,0
2014-06-28,0,0,0
2014-06-29,0,0,0
2014-06-30,4,1,0
2014-07-01,2,5,0
2014-07-02,14,15,0
2014-07-03,14,0,0
2014-07-04,1,11,0
2014-07-05,0,1,0
2014-07-06,2,4,1
2014-07-07,10,0,0
2014-07-08,15,5,6
2014-07-09,13,7,24
2014-07-10,10,4,0
2014-07-11,1,7,55
2014-07-12,2,6,2
2014-07-13,0,10,0
2014-07-14,5,69,0
2014-07-15,2,19,0
2014-07-16,6,20,5
2014-07-17,2,46,0
2014-07-18,3,27,4
2014-07-19,2,33,3
2014-07-20,3,7,13
2014-07-21,4,10,0
2014-07-22,3,66,15
2014-07-23,2,15,0
2014-07-24,1,12,0
2014-07-25,15,7,0
2014-07-26,1,1,0
2014-07-27,2,2,2
2014-07-28,11,13,3
2014-07-29,6,12,4
2014-07-30,5,9,1
2014-07-31,0,28,0
2014-08-01,4,10,4
2014-08-02,1,3,0
