,apache/commons-lang,google/guava,apache/commons-io
2017-09-18,0,4.0,0
2017-09-19,0,4.2,0
2017-09-20,1,-1.32,0
2017-09-21,1,1.4079999999999995,0
2017-09-22,0,1.2255999999999998,0
2017-09-23,0,-0.8301440000000002,0
2017-09-24,0,-0.46539520000000034,0
2017-09-25,2,2.66694912,1
2017-09-26,0,3.139543552,6
2017-09-27,0,5.7462544384,24
2017-09-28,0,2.998942208,4
2017-09-29,1,3.0845711359999997,0
2017-09-30,0,-2.0007221248000002,3
2017-10-01,5,-1.0635691008000006,6
2017-10-02,0,0.28075263999999955,0
2017-10-03,0,1.250448384,0
2017-10-04,0,0.07673006080000011,0
2017-10-05,0,2.2546310144,0
2017-10-06,0,-0.0534576127999995,0
2017-10-07,3,-0.7150213119999997,0
2017-10-08,0,-0.39144755200000003,0
2017-10-09,11,2.76787968,0
2017-10-10,5,6.221122048,0
2017-10-11,6,6.2150061056000006,0
2017-10-12,4,1.5854646272,0
2017-10-13,0,-1.9493592064000005,2
2017-10-14,2,-1.0676037632000006,8
2017-10-15,3,-0.7133077504000004,2
2017-10-16,0,1.4675302399999999,0
2017-10-17,0,2.172775424,0
2017-10-18,0,-0.1152509951999996,0
2017-10-19,0,1.1939059712000004,0
2017-10-20,2,0.15149434880000046,2
2017-10-21,4,-0.6097494016,0
2017-10-22,1,-0.32706560000000023,0
2017-10-23,9,-0.23587584000000014,0
2017-10-24,0,0.815343616,0
2017-10-25,1,1.6485778432000002,0
2017-10-26,1,3.4139219968,0
2017-10-27,1,0.9338285056000002,0
2017-10-28,0,-0.8889264128000002,0
2017-10-29,0,-0.4572053504000003,0
2017-10-30,0,0.6980991999999999,0
2017-10-31,0,0.57287168,0
2017-11-01,0,1.538971648,0
2017-11-02,0,6.3221907456,0
2017-11-03,3,2.2420570112000004,0
2017-11-04,13,-0.5937888256000001,0
2017-11-05,0,-0.9941035008000004,0
2017-11-06,0,1.4043724799999997,0
2017-11-07,1,3.166675968,0
2017-11-08,6,-1.2994561024,0
2017-11-09,0,3.3170169855999996,0
2017-11-10,5,0.7270116352000005,0
2017-11-11,0,-1.0672350207999997,0
