,apache/openwhisk,serverless/serverless,aws/chalice
2016-08-31,7,66.0,0
2016-09-01,8,-0.6000000000000059,8
2016-09-02,9,13.429999999999998,0
2016-09-03,3,1.1489999999999965,0
2016-09-04,0,-2.7997249999999965,0
2016-09-05,0,27.102819500000003,0
2016-09-06,7,16.640844175,7
2016-09-07,5,6.406546722500001,0
2016-09-08,4,15.12609120096875,1
2016-09-09,5,3.5411504557843774,0
2016-09-10,0,0.8616788322687521,0
2016-09-11,1,-0.4395596706890599,0
2016-09-12,1,26.182014533570317,0
2016-09-13,4,9.869250913796876,0
2016-09-14,10,1.2548058068796886,1
2016-09-15,2,8.368504324823437,0
2016-09-16,6,7.249633554807815,0
2016-09-17,0,0.31513248769218993,0
2016-09-18,3,-1.8886348148499983,0
2016-09-19,2,6.724505043825003,0
2016-09-20,5,15.224758470490627,0
2016-09-21,6,2.1474701280250006,8
2016-09-22,7,13.03957346566875,1
2016-09-23,4,15.327531294148438,0
2016-09-24,0,-3.3190480968015623,0
2016-09-25,0,0.16721318559375087,0
2016-09-26,2,18.558778409892188,0
2016-09-27,5,12.965374347125001,0
2016-09-28,3,16.670147689696876,3
2016-09-29,1,-1.9252687269390636,0
2016-09-30,2,9.613311009585939,0
2016-10-01,0,10.162528552679689,0
2016-10-02,0,-2.0047249881468727,0
2016-10-03,1,12.157737248968752,0
2016-10-04,7,19.255413144615627,0
2016-10-05,1,12.110218491031251,0
2016-10-06,0,4.2749403066125,0
2016-10-07,3,19.05626405575,6
2016-10-08,0,-3.9852070250093745,0
2016-10-09,0,1.6762953291156277,0
2016-10-10,1,18.98620258151719,11
2016-10-11,2,42.53948224774531,2
2016-10-12,2,34.37554943815312,3
2016-10-13,4,38.43266839095937,11
2016-10-14,0,7.290631037799997,0
2016-10-15,0,-1.4577685066312487,0
2016-10-16,0,-4.625084803290621,0
2016-10-17,6,12.831044801687508,1
2016-10-18,1,24.90104697652813,0
2016-10-19,2,48.34200707677657,4
2016-10-20,5,20.258865972206248,0
2016-10-21,0,17.48509544480781,3
2016-10-22,1,-1.7959892061531253,0
2016-10-23,0,2.572523844346879,0
2016-10-24,4,24.291791234820316,5
2016-10-25,0,16.572992875500006,1
2016-10-26,3,5.441648071971878,0
2016-10-27,4,18.475755619864067,9
2016-10-28,6,21.812461166856252,4
2016-10-29,1,-5.584721117682811,0
2016-10-30,0,-0.15636110222656008,0
2016-10-31,2,20.56881802621094,0
2016-11-01,2,34.92087906281094,2
2016-11-02,2,21.6739200464,0
2016-11-03,1,8.826956949787498,0
2016-11-04,1,11.992923873995313,0
2016-11-05,0,1.1594731527515663,0
2016-11-06,0,-2.562379644720308,0
2016-11-07,1,15.58711505970313,5
2016-11-08,1,20.344527989282817,3
2016-11-09,1,2.2891487515640643,2
2016-11-10,7,3.6040093304109386,5
2016-11-11,0,6.266700772509377,5
2016-11-12,0,0.43113020069531505,0
2016-11-13,0,-1.8841397924546852,0
2016-11-14,0,8.775508989268753,1
2016-11-15,1,8.076708965682814,10
2016-11-16,1,4.792352930728126,0
2016-11-17,8,10.051985111778125,4
2016-11-18,8,12.728275537389063,0
2016-11-19,0,1.2145196263578124,0
2016-11-20,0,4.041280263129688,1
2016-11-21,0,25.16397910489219,0
2016-11-22,6,12.11390731984375,3
2016-11-23,2,3.274327070734375,2
2016-11-24,1,18.14053674103125,0
2016-11-25,1,1.0817467823109386,0
2016-11-26,0,2.222089964334377,0
2016-11-27,0,1.6878019448984398,0
2016-11-28,4,10.084642963012502,2
2016-11-29,4,13.457364955862502,1
2016-11-30,0,0.8281835870296885,2
2016-12-01,5,36.874628734565626,2
2016-12-02,2,17.77057791517031,0
2016-12-03,2,-3.025334999582813,1
2016-12-04,0,2.0208272372421874,0
2016-12-05,3,11.460211430257816,0
2016-12-06,4,10.835646893668754,1
2016-12-07,12,16.603917238818752,0
2016-12-08,6,27.9274186661125,0
2016-12-09,9,8.442902593496875,0
2016-12-10,1,-2.560533403260937,0
2016-12-11,0,19.16706860939219,0
2016-12-12,7,3.9232458073500025,0
2016-12-13,2,22.753486357601567,3
2016-12-14,9,20.251441857278124,0
2016-12-15,4,5.7669748491843755,0
2016-12-16,2,25.85833266028125,0
2016-12-17,0,1.4118696691312511,0
2016-12-18,0,-0.7851759790343724,0
2016-12-19,0,8.241531263584378,0
2016-12-20,6,18.88953307508438,0
2016-12-21,0,-3.146731502443748,0
2016-12-22,1,1.4472262249250023,0
2016-12-23,5,8.91219451842969,0
2016-12-24,0,-1.4369379296140599,0
2016-12-25,0,-1.581237993437498,0
2016-12-26,0,-0.9563585905484359,0
2016-12-27,0,1.2920741692203146,20
2016-12-28,0,4.235421239510939,12
2016-12-29,0,1.0103832586937507,14
2016-12-30,0,3.3361352241515627,2
2016-12-31,0,-0.823765549565625,0
2017-01-01,0,0.5254983090890631,1
2017-01-02,0,12.629368372464063,0
2017-01-03,1,5.452119045,0
2017-01-04,2,1.5211038677187494,0
2017-01-05,0,3.8543627873499995,7
2017-01-06,0,22.775265076289063,0
2017-01-07,2,-3.132888219634376,1
2017-01-08,0,-0.6131000188937494,1
2017-01-09,1,2.8184167982343755,0
2017-01-10,0,1.72858741701094,0
2017-01-11,0,4.829443574673439,0
2017-01-12,1,-0.32851618804843685,0
2017-01-13,1,-0.8935535826859364,0
2017-01-14,0,6.372749712445313,0
2017-01-15,1,5.833860542887501,0
2017-01-16,1,1.7742078644843748,0
2017-01-17,3,4.010457981651562,0
2017-01-18,3,5.878837960809375,0
2017-01-19,4,3.638345118048438,0
2017-01-20,3,6.71559973426875,1
2017-01-21,0,-1.5543515637859375,0
2017-01-22,0,-0.911841352359374,0
2017-01-23,0,8.331008939889063,0
2017-01-24,2,5.619016774451563,0
2017-01-25,12,14.549561941064063,0
2017-01-26,2,9.558762964960938,5
2017-01-27,5,14.499154397170312,0
2017-01-28,0,0.8957709831953116,0
2017-01-29,1,-1.1360661827874994,0
2017-01-30,3,10.537704646250003,0
2017-01-31,3,2.721973609109377,0
2017-02-01,4,0.09685409606718931,1
2017-02-02,6,-1.4208930435015612,0
2017-02-03,3,2.012990966987502,0
2017-02-04,2,2.0253021508031264,0
2017-02-05,0,1.0929996585765636,0
2017-02-06,2,4.305168359340626,0
2017-02-07,2,8.057501385026562,8
2017-02-08,2,11.536847061990624,2
2017-02-09,7,5.962207823789061,0
2017-02-10,6,5.133389168678125,0
2017-02-11,0,-0.7853563027968751,0
2017-02-12,0,-1.1985622016546862,0
2017-02-13,5,2.162422472610939,0
2017-02-14,2,8.062339801100002,1
2017-02-15,1,-1.546102981070312,3
2017-02-16,1,2.1125218504734384,7
2017-02-17,4,1.104963026657813,0
2017-02-18,0,-0.714575457646874,0
2017-02-19,0,4.571602931732813,0
2017-02-20,5,8.220874446214063,1
2017-02-21,6,-1.3432234552968754,2
2017-02-22,4,21.269469087751563,3
2017-02-23,0,5.304992713426561,1
2017-02-24,4,2.8925614184531248,7
2017-02-25,1,0.2578060038609371,0
2017-02-26,0,-1.2982992988218733,0
2017-02-27,5,6.099946668671877,0
2017-02-28,0,5.593080145179689,0
2017-03-01,2,9.438144159676563,1
2017-03-02,6,5.98820398115625,0
2017-03-03,4,4.017748733834376,0
2017-03-04,1,-0.6681745278656248,0
2017-03-05,2,-1.0913697262109363,0
2017-03-06,5,14.254828083678127,0
2017-03-07,10,2.9291747976406253,0
2017-03-08,2,2.3545400823890628,0
2017-03-09,3,6.599618194076562,0
2017-03-10,11,3.3189044279796884,0
2017-03-11,3,3.545241855368751,0
2017-03-12,0,-0.3736253657312494,0
2017-03-13,1,10.062118641214063,0
2017-03-14,4,6.228612273515625,0
2017-03-15,2,6.169108511882813,5
2017-03-16,4,4.190426602757812,0
2017-03-17,2,3.3371752919812505,0
2017-03-18,3,-1.524247129115624,0
2017-03-19,0,-0.9359456615078112,0
2017-03-20,1,1.3257016655546892,0
2017-03-21,3,3.292291034292189,1
2017-03-22,1,1.0927607229796883,0
2017-03-23,0,10.2868904355875,1
