,huggingface/transformers,tensorflow/models,pytorch/vision
2023-01-29,0,2.0,0
2023-01-30,12,7.6,3
2023-01-31,10,-0.7599999999999998,2
2023-02-01,7,2.063999999999999,5
2023-02-02,12,5.8688,3
2023-02-03,11,-2.007872,0
2023-02-04,0,-0.9827456000000008,0
2023-02-05,0,-0.6596198400000004,0
2023-02-06,13,4.503574016,3
2023-02-07,18,3.6029944832000007,4
2023-02-08,10,2.2920757248,5
2023-02-09,12,1.3858804735999999,8
2023-02-10,20,3.5338779648000003,5
2023-02-11,0,0.1850345471999999,0
2023-02-12,1,-1.3082240000000005,0
2023-02-13,20,2.2102783999999995,12
2023-02-14,14,-1.1788953599999998,10
2023-02-15,10,4.301841408,11
2023-02-16,10,2.5321062400000005,8
2023-02-17,7,0.48066826240000005,8
2023-02-18,0,-1.1798080512,0
2023-02-19,0,-0.6724085760000001,0
2023-02-20,9,0.5662011391999998,0
2023-02-21,8,2.485348864,4
2023-02-22,12,3.0651711488,2
2023-02-23,10,0.7314969600000003,5
2023-02-24,12,3.94864896,17
2023-02-25,1,-1.5569888256,0
2023-02-26,0,-0.7523755008000005,0
2023-02-27,13,3.5124428799999996,9
2023-02-28,17,1.834044928,0
2023-03-01,19,3.7881230336,7
2023-03-02,23,1.3370436608,1
2023-03-03,16,-0.44168642560000015,3
2023-03-04,5,-0.9798212608000001,0
2023-03-05,0,-0.6126699520000002,0
2023-03-06,15,0.5945267199999998,0
2023-03-07,13,3.479316992,1
2023-03-08,13,3.8555034624000006,3
2023-03-09,16,1.4514444288000004,2
2023-03-10,11,-0.34803660800000014,4
2023-03-11,1,1.1082682367999999,0
2023-03-12,0,-0.9270421504000002,0
2023-03-13,25,5.46487808,1
2023-03-14,13,1.409553408,2
2023-03-15,5,0.6113238015999998,1
2023-03-16,12,2.8279030784,2
2023-03-17,13,0.5311057920000002,0
2023-03-18,0,-1.1556652032000003,0
2023-03-19,0,-0.6596255744000002,0
2023-03-20,12,2.5307425792,0
2023-03-21,8,1.0526919680000004,0
2023-03-22,16,4.0753801216,3
2023-03-23,13,3.5212520448,4
2023-03-24,12,2.2868570112,3
2023-03-25,0,-0.6624608256000002,0
2023-03-26,0,-1.0652971008000005,0
2023-03-27,17,2.3406822399999996,4
2023-03-28,3,2.910759424,0
2023-03-29,14,-0.4287050751999999,0
2023-03-30,10,4.0472379392,1
2023-03-31,5,1.4047790080000002,2
2023-04-01,0,-1.3958323199999998,0
2023-04-02,0,-0.7412955136000003,0
2023-04-03,19,0.5174992895999998,2
2023-04-04,14,3.4402211840000003,1
2023-04-05,13,3.8293623808,2
2023-04-06,13,5.4218148864,2
2023-04-07,11,0.8392119296000002,2
2023-04-08,0,-0.6654458880000003,0
2023-04-09,0,-1.1039808512000004,0
2023-04-10,8,0.31447807999999966,0
2023-04-11,7,2.2882094079999997,0
2023-04-12,11,3.9121366016000003,0
2023-04-13,15,2.3848745984000006,1
2023-04-14,12,0.38813030400000015,2
2023-04-15,1,-1.2337113088,0
2023-04-16,0,-0.6688325632000003,0
2023-04-17,14,4.5512375296,0
2023-04-18,10,7.663344128,1
2023-04-19,10,0.5269467136000001,0
2023-04-20,18,-0.7779110912000002,0
2023-04-21,21,3.8062489599999996,3
2023-04-22,1,-1.7327328255999999,0
2023-04-23,1,-0.9057067008000005,0
2023-04-24,19,0.3812991999999996,0
2023-04-25,9,-0.6791014399999998,0
2023-04-26,11,1.5292748800000004,0
2023-04-27,10,1.2775419904000005,0
2023-04-28,10,0.2699706368000001,0
2023-04-29,1,0.4340560896000001,0
2023-04-30,0,0.474024448,0
2023-05-01,7,2.5368012799999997,1
2023-05-02,10,2.132082688,6
2023-05-03,17,0.9656836095999999,7
2023-05-04,12,0.07380633599999986,1
2023-05-05,6,-0.7214056448,0
2023-05-06,1,-0.4300899328000001,0
2023-05-07,3,-0.2968781824000001,0
2023-05-08,6,1.7764043776,3
2023-05-09,13,1.4271937536000001,4
2023-05-10,14,0.30514657280000024,4
2023-05-11,20,1.4608898048,5
2023-05-12,10,1.3174735872,1
2023-05-13,0,-0.7387413504000001,1
2023-05-14,0,-0.3815296000000003,0
2023-05-15,11,0.7365529599999998,4
2023-05-16,20,2.598670336,2
2023-05-17,15,2.1574295552000002,1
2023-05-18,15,4.9979625472,2
2023-05-19,13,-1.6926982144,1
2023-05-20,1,0.19594987519999962,1
2023-05-21,0,-0.7107755008000002,0
2023-05-22,12,0.5635788799999998,3
2023-05-23,14,0.47232972799999995,2
2023-05-24,17,-0.5425854464,5
2023-05-25,7,-0.3356675071999999,1
2023-05-26,7,0.7742368768000004,1
2023-05-27,0,0.6491211776000002,1
2023-05-28,0,-0.340352512,0
2023-05-29,0,4.8221751296,0
