,AvaloniaUI/Avalonia,electron/electron,nwjs/nw.js
2018-03-05,17,7,1.0
2018-03-06,2,39,-0.10000000000000009
2018-03-07,9,13,1.955
2018-03-08,6,6,-0.2285000000000002
2018-03-09,3,27,-0.1106625
2018-03-10,5,1,-0.07311675
2018-03-11,4,0,-0.05448701249999981
2018-03-12,1,3,-0.04332719624999986
2018-03-13,4,13,-0.0358923380156249
2018-03-14,3,13,1.9694137549640627
2018-03-15,0,8,-0.21913662603125011
2018-03-16,2,6,-0.10679770507187503
2018-03-17,6,1,-0.057000000000000044
2018-03-18,5,0,-0.04132499999999985
2018-03-19,11,8,1.9677665000000002
2018-03-20,8,103,-0.2263240250000001
2018-03-21,7,4,-0.1121873925
2018-03-22,4,15,-0.07613662603124999
2018-03-23,2,2,1.941877294928125
2018-03-24,6,0,-0.23223350000000006
2018-03-25,0,1,-0.11632402499999998
2018-03-26,4,0,-0.07918739249999998
2018-03-27,2,2,0.9395383739687502
2018-03-28,0,1,-0.14903120507187495
2018-03-29,1,1,2.928675975
2018-03-30,0,1,-0.35068739250000025
2018-03-31,1,2,-0.17479912603124997
2018-04-01,0,0,-0.11841445507187497
2018-04-02,3,3,-0.07514951249999974
2018-04-03,5,3,-0.05944394624999981
2018-04-04,7,1,-0.04905435051562486
2018-04-05,2,9,-0.04167994128593738
2018-04-06,2,5,-0.028704939046874926
2018-04-07,0,1,-0.025196557607812434
2018-04-08,4,0,4.0
2018-04-09,1,9,-0.40000000000000036
2018-04-10,9,2,0.8199999999999998
2018-04-11,13,10,-0.2140000000000002
2018-04-12,15,3,-0.12764999999999974
2018-04-13,29,8,-0.09296699999999981
2018-04-14,16,4,-0.07331054999999977
2018-04-15,9,7,-0.06049153499999982
2018-04-16,8,14,-0.05143526456249986
2018-04-17,17,3,-0.04468910639374988
2018-04-18,14,4,1.990431686984375
2018-04-19,6,30,-0.20839885253593765
2018-04-20,2,17,0.9099999999999999
2018-04-21,1,0,-0.15700000000000014
2018-04-22,0,1,-0.08632499999999987
2018-04-23,2,2,-0.06073349999999991
2018-04-24,3,2,-0.04698652499999985
2018-04-25,1,4,1.9616958575
