,vercel/next.js,gatsbyjs/gatsby,phenomic/phenomic
2017-01-05,12.0,3,0
2017-01-06,3.6000000000000005,2,0
2017-01-07,1.8399999999999994,0,0
2017-01-08,3.1439999999999992,0,0
2017-01-09,1.9887999999999995,6,0
2017-01-10,3.0999679999999996,0,4
2017-01-11,-0.09276160000000022,7,0
2017-01-12,8.41216256,10,3
2017-01-13,-0.018008063999999546,7,0
2017-01-14,-1.1719533568,0,0
2017-01-15,3.5864042495999997,0,0
2017-01-16,13.0972611584,0,3
2017-01-17,-0.04954879999999928,1,0
2017-01-18,-0.7101654016000007,3,0
2017-01-19,1.0447882239999995,6,0
2017-01-20,10.1762952192,4,0
2017-01-21,0.4596326400000006,0,0
2017-01-22,2.483794636799999,1,0
2017-01-23,-0.4678959104000002,0,0
2017-01-24,0.14146508800000057,15,0
2017-01-25,0.41943705600000025,5,0
2017-01-26,5.6992774144,0,5
2017-01-27,0.7961823232,2,4
2017-01-28,1.2458165248000002,3,6
2017-01-29,1.3730537472000002,0,0
2017-01-30,-0.4667990015999999,0,0
2017-01-31,1.970614784,0,0
2017-02-01,0.7680228352,1,0
2017-02-02,9.9011044352,2,0
2017-02-03,2.1480727552000007,3,0
2017-02-04,-1.3448511488000001,8,0
2017-02-05,2.5764118527999997,0,1
2017-02-06,0.3005436927999998,16,0
2017-02-07,-0.36032952320000033,15,0
2017-02-08,4.972517273599999,6,0
2017-02-09,12.1095426048,13,0
2017-02-10,-1.785609932799999,1,0
2017-02-11,-0.2004153344000006,0,0
2017-02-12,6.355565056,0,0
2017-02-13,0.39608156159999997,0,0
2017-02-14,6.021143654399999,2,0
2017-02-15,13.2308380672,0,0
2017-02-16,9.3195006976,0,0
2017-02-17,2.8799568896000007,2,0
2017-02-18,0.7659618303999993,0,0
2017-02-19,-1.3043022848000012,0,0
2017-02-20,-0.41722695680000044,0,1
2017-02-21,1.9685035007999998,0,1
2017-02-22,-1.1376284671999999,9,0
2017-02-23,0.45875732480000075,0,7
2017-02-24,-0.4287673343999989,0,0
2017-02-25,1.9913641984000008,0,0
2017-02-26,5.841851596800001,0,0
2017-02-27,6.012573184000001,6,0
2017-02-28,5.4694781952,0,2
2017-03-01,0.15739013119999967,1,0
2017-03-02,1.945644646399999,2,0
2017-03-03,-0.9910098944000005,1,0
2017-03-04,-0.3701961728000005,2,0
2017-03-05,1.8853620735999996,0,0
2017-03-06,4.6240258048000005,0,0
2017-03-07,1.9771686912000006,1,0
2017-03-08,0.1695121408000002,0,0
2017-03-09,-1.3653896192000001,3,0
2017-03-10,1.2374775807999998,2,0
2017-03-11,-0.9260942336,2,0
2017-03-12,2.4704459776,1,0
2017-03-13,4.0140199936,0,0
2017-03-14,3.4605011968,4,0
2017-03-15,8.2387076096,4,0
2017-03-16,-1.8603104255999998,3,0
2017-03-17,-1.5434001408000009,2,0
2017-03-18,1.0542581759999996,2,0
2017-03-19,-0.08954286080000018,0,0
2017-03-20,-0.8789007360000002,4,0
2017-03-21,0.40019578880000006,17,0
2017-03-22,0.3608186880000004,0,0
2017-03-23,0.4121774080000007,3,0
2017-03-24,2.4665251840000004,3,0
2017-03-25,1.1716484096,1,0
2017-03-26,3.207161856,0,0
2017-03-27,2.7771087872,7,0
2017-03-28,3.6078391296,4,0
2017-03-29,3.292448768,4,0
2017-03-30,3.1174578175999996,1,2
2017-03-31,0.004961177599999589,0,19
2017-04-01,1.5186548735999996,0,5
2017-04-02,-0.5112855552000002,0,1
2017-04-03,3.9159795712,5,0
2017-04-04,1.2869141504000003,1,1
2017-04-05,4.4915344384,0,0
2017-04-06,9.950015488,1,1
2017-04-07,3.5530388480000004,1,0
2017-04-08,-3.0388111360000005,0,0
2017-04-09,-1.6013805568000008,0,0
2017-04-10,0.9098682367999997,7,1
2017-04-11,5.8006071296,7,0
2017-04-12,-0.1909678079999999,3,0
2017-04-13,1.4741434368,1,0
2017-04-14,-0.5291556863999993,5,0
2017-04-15,-1.0726181887999995,1,0
2017-04-16,-0.5980950528000001,0,0
2017-04-17,2.62327296,7,0
2017-04-18,6.101671936,2,3
2017-04-19,0.11367147520000054,9,3
2017-04-20,-1.2912698368000002,2,0
2017-04-21,-0.6818285568000002,3,0
2017-04-22,11.5403962368,4,0
