,apache/echarts,highcharts/highcharts,plotly/plotly.js
2021-05-31,3.0,18,21.0
2021-06-01,1.0,18,2.6999999999999993
2021-06-02,1.0,7,21.095000000000002
2021-06-03,5.0,19,4.0055
2021-06-04,2.0,12,0.6910875000000019
2021-06-05,3.0,0,-6.702587749999998
2021-06-06,0.0,0,-3.5786053624999985
2021-06-07,2.0,5,6.5218679887499995
2021-06-08,0.0,7,1.4131250591718736
2021-06-09,2.0,8,-4.259445571279688
2021-06-10,4.0,16,-2.175474950001563
2021-06-11,6.0,8,7.535479257478124
2021-06-12,3.0,0,-3.5415154861500007
2021-06-13,0.0,3,-1.455099981595312
2021-06-14,6.0,12,7.15419936125
2021-06-15,17.0,3,7.981903406609375
2021-06-16,5.0,18,3.375006730310937
2021-06-17,10.0,37,15.677971758103126
2021-06-18,11.0,18,12.01358453625
2021-06-19,2.0,1,-9.398439950890625
2021-06-20,6.0,0,-4.246720369095311
2021-06-21,12.0,7,1.3612403225000005
2021-06-22,8.0,25,4.880554354625
2021-06-23,4.0,20,4.685008369715624
2021-06-24,9.0,4,36.10080599531406
2021-06-25,10.0,13,1.3130028838249963
2021-06-26,3.0,0,2.330116400031251
2021-06-27,0.0,0,-6.983516214656248
2021-06-28,5.0,5,26.906779255000004
2021-06-29,4.0,3,9.130676930437499
2021-06-30,7.0,8,2.6168852866937513
2021-07-01,5.0,3,-10.581988030503123
2021-07-02,7.0,17,-5.607804198985937
2021-07-03,3.0,3,-3.8310766945453136
2021-07-04,0.0,0,-2.462917077178126
2021-07-05,4.0,20,5.227046709442187
2021-07-06,7.0,22,17.598505277034374
2021-07-07,3.0,12,26.89668390145625
2021-07-08,9.0,8,3.3415141573937497
2021-07-09,5.0,18,6.4906113015078155
2021-07-10,2.0,1,-10.018954249999998
2021-07-11,4.0,0,-4.989278787499998
2021-07-12,8.0,10,15.64392972125
2021-07-13,13.0,7,1.7879232963906233
2021-07-14,5.0,9,6.011981561542187
2021-07-15,13.0,25,-7.639485080935939
2021-07-16,10.0,8,-1.7906848019140629
2021-07-17,0.0,1,22.15936804002656
2021-07-18,1.0,1,-8.202569412457814
2021-07-19,1.0,6,12.976639923750003
2021-07-20,11.0,4,4.433293431453125
2021-07-21,8.0,5,3.8287004221703125
2021-07-22,4.0,4,5.25653807471875
2021-07-23,9.0,9,5.021996767973438
2021-07-24,0.0,0,-5.030660389781249
2021-07-25,1.0,2,-4.211247181856249
2021-07-26,0.0,5,3.3100211986640624
2021-07-27,4.0,7,0.47534262925156145
2021-07-28,3.0,6,20.823693012604686
2021-07-29,3.0,5,2.119057021784373
2021-07-30,1.0,3,9.087037843251563
2021-07-31,5.0,7,-8.11340760748125
2021-08-01,0.0,5,-3.7517205673249987
2021-08-02,1.0,8,-1.3411074189656245
2021-08-03,1.0,5,11.00064715440625
2021-08-04,4.0,5,11.663404596040625
2021-08-05,2.0,4,2.4591013334437495
2021-08-06,2.0,4,-3.4026246820093746
2021-08-07,0.0,0,-3.916777763810938
2021-08-08,0.0,0,-2.219741224225
