,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2012-10-21,1,0,0
2012-10-22,0,4,0
2012-10-23,0,8,1
2012-10-24,0,8,3
2012-10-25,0,8,2
2012-10-26,0,0,20
2012-10-27,0,4,0
2012-10-28,0,6,0
2012-10-29,0,6,2
2012-10-30,0,4,0
2012-10-31,0,7,13
2012-11-01,0,3,12
2012-11-02,0,5,10
2012-11-03,0,0,0
2012-11-04,0,6,0
2012-11-05,0,18,3
2012-11-06,0,8,3
2012-11-07,0,13,3
2012-11-08,0,10,3
2012-11-09,0,5,1
2012-11-10,0,4,4
2012-11-11,0,17,0
2012-11-12,0,2,2
2012-11-13,0,4,10
2012-11-14,0,8,9
2012-11-15,0,11,4
2012-11-16,0,6,28
2012-11-17,0,1,8
2012-11-18,0,1,0
2012-11-19,0,0,4
2012-11-20,0,2,4
2012-11-21,0,5,4
2012-11-22,0,15,3
2012-11-23,0,9,1
2012-11-24,0,6,1
2012-11-25,0,1,4
2012-11-26,0,1,12
2012-11-27,0,8,0
2012-11-28,0,5,10
2012-11-29,0,9,1
2012-11-30,0,2,1
2012-12-01,0,1,0
2012-12-02,0,9,0
2012-12-03,0,8,0
2012-12-04,0,18,0
2012-12-05,0,12,0
2012-12-06,0,4,0
2012-12-07,0,10,0
2012-12-08,0,1,1
2012-12-09,0,0,0
2012-12-10,0,2,1
2012-12-11,0,5,1
2012-12-12,0,9,0
2012-12-13,0,2,0
2012-12-14,0,4,0
2012-12-15,0,2,0
2012-12-16,0,4,0
2012-12-17,0,11,7
2012-12-18,0,15,1
2012-12-19,0,9,3
2012-12-20,0,12,1
2012-12-21,0,1,0
2012-12-22,0,5,6
2012-12-23,0,2,1
2012-12-24,0,6,0
2012-12-25,0,0,0
2012-12-26,0,7,0
2012-12-27,0,0,0
2012-12-28,0,0,0
2012-12-29,0,3,0
2012-12-30,0,2,0
2012-12-31,0,6,0
2013-01-01,0,6,0
2013-01-02,0,4,0
2013-01-03,0,14,2
2013-01-04,0,9,0
2013-01-05,0,6,0
2013-01-06,0,12,0
