,ElemeFE/element,ant-design/ant-design,youzan/vant
2016-12-27,23,8,1.0
2016-12-28,25,4,-0.30000000000000004
2016-12-29,26,2,-0.10499999999999993
2016-12-30,22,16,-0.05949999999999997
2016-12-31,2,6,-0.0401625
2017-01-01,0,6,-0.029720249999999997
2017-01-02,0,4,-0.023280862499999996
2017-01-03,14,7,-0.018957273750000003
2017-01-04,5,10,-0.015876716765625045
2017-01-05,17,13,-0.013583413232812524
2017-01-06,13,6,0.0
2017-01-07,0,8,0.0
2017-01-08,2,14,0.0
2017-01-09,12,29,0.0
2017-01-10,3,9,0.0
2017-01-11,6,10,0.0
2017-01-12,14,8,0.0
2017-01-13,25,14,0.0
2017-01-14,4,12,0.0
2017-01-15,2,6,6.0
2017-01-16,25,9,-1.8000000000000003
2017-01-17,12,7,-0.6299999999999996
2017-01-18,19,0,-0.3569999999999998
2017-01-19,2,14,-0.240975
2017-01-20,2,16,-0.17832149999999997
2017-01-21,4,3,-0.13968517499999997
2017-01-22,4,12,-0.11374364250000002
2017-01-23,17,13,-0.09526030059375026
2017-01-24,4,9,-0.08150047939687514
2017-01-25,0,9,0.0
2017-01-26,3,8,0.0
2017-01-27,0,11,0.0
2017-01-28,1,0,0.0
2017-01-29,1,0,0.0
2017-01-30,0,9,0.0
2017-01-31,0,13,0.0
2017-02-01,0,1,0.0
2017-02-02,2,0,0.0
2017-02-03,3,5,0.0
2017-02-04,27,5,0.0
2017-02-05,0,1,0.0
2017-02-06,6,7,1.0
2017-02-07,3,13,0.7
2017-02-08,1,13,-0.40499999999999997
2017-02-09,7,16,-0.1644999999999999
2017-02-10,1,12,7.9003375
2017-02-11,0,0,-2.4698827500000005
2017-02-12,3,0,2.1069988875000005
2017-02-13,2,16,7.58176186375
2017-02-14,5,7,1.628866009484375
2017-02-15,0,15,2.109277870001563
2017-02-16,16,21,4.119182186767188
2017-02-17,3,13,3.47521856
2017-02-18,2,9,-3.7976510716250003
2017-02-19,2,20,-0.8759806396124992
2017-02-20,8,42,3.5191113234531253
2017-02-21,7,21,-1.4890106218390633
2017-02-22,18,20,9.448071540826563
2017-02-23,10,16,0.8143698962578121
2017-02-24,7,22,6.743212250226563
2017-02-25,0,9,-4.597765522489063
2017-02-26,1,12,5.9505467711203135
2017-02-27,4,20,18.343320801984376
2017-02-28,15,17,21.641759991689064
2017-03-01,5,14,8.508069393320312
2017-03-02,1,21,19.403877708595314
2017-03-03,3,11,10.17028913311094
2017-03-04,4,0,-14.276151633820312
2017-03-05,2,13,-5.004191297328122
2017-03-06,7,22,3.8008376183750006
2017-03-07,3,9,7.649038350293749
2017-03-08,2,13,20.098047669659373
2017-03-09,16,10,7.603564502187497
2017-03-10,1,22,8.554735258626561
2017-03-11,0,3,-11.460322704357814
2017-03-12,0,2,-5.417661140820311
2017-03-13,0,13,5.646282027718751
2017-03-14,1,12,7.81502174014375
2017-03-15,11,5,15.219649331185938
2017-03-16,1,11,6.020021420303124
2017-03-17,4,15,11.67802211916875
2017-03-18,4,13,-10.667797349968751
2017-03-19,5,10,0.09186572284375139
2017-03-20,5,12,1.480787823750001
2017-03-21,0,12,1.4545495153593748
2017-03-22,2,9,27.53017289045156
2017-03-23,5,8,-3.1058991333703148
2017-03-24,8,18,14.242458441878126
2017-03-25,0,2,-8.535446476303125
2017-03-26,3,1,-1.4287447216390614
2017-03-27,0,53,6.635677098671875
2017-03-28,10,18,-3.0119658592578133
2017-03-29,7,11,-0.02009180249062492
2017-03-30,11,12,19.338059645353123
2017-03-31,1,7,8.899650078159373
2017-04-01,5,16,11.897013264560938
2017-04-02,0,10,-10.470817857153124
2017-04-03,2,2,-4.687664792278123
2017-04-04,9,4,-3.034963558603125
2017-04-05,4,17,8.813286371642187
2017-04-06,8,8,0.11654482198906102
2017-04-07,9,5,-1.9046271785406255
2017-04-08,4,4,-2.775802154885938
2017-04-09,0,3,-1.527199990268751
2017-04-10,3,14,3.0680130721109373
2017-04-11,2,10,6.3149842624999994
2017-04-12,2,21,1.7956251762499997
2017-04-13,0,19,15.106008021828124
2017-04-14,3,4,-0.8283656768890628
2017-04-15,0,8,-2.527351499695312
2017-04-16,10,1,-2.859864776465624
2017-04-17,0,2,7.299397755
2017-04-18,0,0,7.0734911304375
2017-04-19,8,7,24.80116421919375
2017-04-20,1,3,7.581092507809373
2017-04-21,4,4,-4.3799658354453115
2017-04-22,0,17,-6.666946036284374
2017-04-23,1,1,0.384920574571876
2017-04-24,2,5,0.3344332222843751
2017-04-25,8,5,5.524493912859375
2017-04-26,1,8,3.1557292964828116
2017-04-27,5,10,-1.8692424247796886
2017-04-28,20,12,-2.3779346580312506
2017-04-29,2,0,-2.0178121020171877
2017-04-30,1,7,-1.122735274396875
2017-05-01,0,10,-0.7666132245625001
2017-05-02,8,10,-0.6040261337437502
2017-05-03,15,14,1.5515548686781244
2017-05-04,3,6,-0.9294171369703133
2017-05-05,5,9,-0.38525472990937515
2017-05-06,7,2,-0.17562695646406257
2017-05-07,0,0,-0.09390841323281252
2017-05-08,1,5,-0.05944049999999999
2017-05-09,2,4,2.953438275
2017-05-10,10,4,-0.9379145475000001
2017-05-11,0,10,0.6532465664687501
2017-05-12,7,1,-0.505666826465625
2017-05-13,6,4,-0.22548749999999992
2017-05-14,4,3,-0.14866074999999995
2017-05-15,3,15,2.8899949125
2017-05-16,0,6,-0.9865920712500001
2017-05-17,1,8,0.6140889872031251
2017-05-18,5,9,-0.5382075134484375
2017-05-19,2,4,6.758635783234375
2017-05-20,0,0,-2.262244163232813
2017-05-21,3,0,-0.8450050874999995
2017-05-22,0,9,-0.5030920712499998
2017-05-23,4,10,-0.3520485127968751
2017-05-24,1,8,3.7322507365515625
2017-05-25,0,4,12.621157245734375
2017-05-26,1,1,-4.766284329482813
2017-05-27,1,11,-1.819137017359374
2017-05-28,0,7,-1.0887338926296872
2017-05-29,3,5,-0.681156
2017-05-30,2,1,-0.5092069499999999
2017-05-31,2,8,-0.40176116999999995
2017-06-01,2,13,-0.32890869956250024
2017-06-02,3,14,2.7233923123499992
2017-06-03,15,0,-1.0901677852593754
2017-06-04,1,0,-0.3149999999999998
2017-06-05,0,8,-0.1784999999999999
2017-06-06,0,11,-0.1204875
2017-06-07,1,6,-0.08916074999999998
2017-06-08,0,6,-0.06984258749999998
2017-06-09,19,21,0.94312817875
2017-06-10,1,1,-0.34763015029687516
2017-06-11,0,2,-0.1457502396984375
2017-06-12,0,7,-0.05949999999999997
2017-06-13,0,9,-0.0401625
2017-06-14,0,3,-0.029720249999999997
2017-06-15,5,17,3.9767191375
2017-06-16,1,5,-1.21895727375
2017-06-17,1,1,-0.4358767167656247
2017-06-18,12,2,-0.2515834132328124
2017-06-19,0,9,2.83935
2017-06-20,0,6,-1.0188810000000001
2017-06-21,1,6,-0.4081234499999998
2017-06-22,0,2,-0.2543290949999999
2017-06-23,2,11,-0.18399436706250016
2017-06-24,0,2,-0.14349440293125007
2017-06-25,0,5,-0.06984258749999998
2017-06-26,0,11,2.94312817875
2017-06-27,0,8,1.0523698497031249
2017-06-28,0,10,-0.9557502396984374
2017-06-29,0,4,-0.38849999999999973
2017-06-30,0,18,-0.23948749999999994
2017-07-01,0,5,-0.16948575
2017-07-02,6,2,-0.12928308749999998
2017-07-03,0,7,-0.10343354625000001
2017-07-04,1,10,4.914455302203125
2017-07-05,3,2,-1.572503673229688
2017-07-06,1,6,2.4478331735343755
2017-07-07,2,15,-1.1975
2017-07-08,0,6,-0.5158124999999998
2017-07-09,0,0,-0.3271012499999999
2017-07-10,2,2,-0.23689181249999997
2017-07-11,3,6,3.81605288125
2017-07-12,0,11,-0.3492261713281253
2017-07-13,4,6,-0.8447888874140623
2017-07-14,0,21,-0.3906301502968749
2017-07-15,7,5,2.7390997603015625
2017-07-16,0,7,-1.0590435
2017-07-17,3,16,-0.4378436999999997
2017-07-18,3,3,0.7223900425
2017-07-19,1,9,-0.5029516408125002
2017-07-20,27,5,0.735628880303125
2017-07-21,5,5,0.5570739992671875
2017-07-22,0,10,-0.50203432125
