,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2015-11-13,10,14,3
2015-11-14,3,1,3
2015-11-15,7,1,8
2015-11-16,25,9,2
2015-11-17,11,25,2
2015-11-18,28,37,1
2015-11-19,41,22,0
2015-11-20,62,34,1
2015-11-21,8,18,0
2015-11-22,29,3,6
2015-11-23,79,15,20
2015-11-24,57,40,9
2015-11-25,56,5,11
2015-11-26,58,12,3
2015-11-27,59,15,4
2015-11-28,1,0,15
2015-11-29,4,1,3
2015-11-30,18,26,5
2015-12-01,59,31,7
2015-12-02,74,33,1
2015-12-03,54,47,2
2015-12-04,33,22,0
2015-12-05,4,0,5
2015-12-06,1,0,2
2015-12-07,65,18,2
2015-12-08,83,20,4
2015-12-09,55,20,5
2015-12-10,48,40,4
2015-12-11,50,35,5
2015-12-12,4,1,9
2015-12-13,3,1,29
2015-12-14,11,9,1
2015-12-15,39,27,5
2015-12-16,31,11,6
2015-12-17,28,2,8
2015-12-18,32,14,6
2015-12-19,4,12,2
2015-12-20,5,2,3
2015-12-21,44,5,2
2015-12-22,31,6,11
2015-12-23,20,1,2
2015-12-24,2,6,1
2015-12-25,3,5,2
2015-12-26,11,0,3
2015-12-27,4,0,0
2015-12-28,16,15,0
2015-12-29,2,4,1
2015-12-30,12,9,3
2015-12-31,6,0,8
2016-01-01,8,5,10
2016-01-02,14,3,10
2016-01-03,5,2,2
2016-01-04,57,26,1
2016-01-05,45,33,1
2016-01-06,92,8,7
2016-01-07,28,20,3
2016-01-08,43,21,8
2016-01-09,6,4,5
2016-01-10,4,11,27
2016-01-11,56,28,7
2016-01-12,31,17,6
2016-01-13,46,26,10
2016-01-14,40,22,14
2016-01-15,32,25,17
2016-01-16,0,2,7
2016-01-17,2,3,10
2016-01-18,75,1,16
2016-01-19,40,17,4
2016-01-20,42,4,10
2016-01-21,55,2,13
2016-01-22,34,3,8
2016-01-23,16,3,6
2016-01-24,4,1,10
2016-01-25,90,11,11
2016-01-26,16,11,3
2016-01-27,50,18,12
2016-01-28,59,10,18
2016-01-29,18,2,9
2016-01-30,3,1,9
2016-01-31,1,0,25
2016-02-01,41,25,28
2016-02-02,33,20,14
2016-02-03,42,2,10
2016-02-04,54,18,5
2016-02-05,47,15,8
2016-02-06,2,1,5
2016-02-07,2,0,9
2016-02-08,33,23,1
2016-02-09,54,15,35
2016-02-10,19,20,13
2016-02-11,25,13,17
2016-02-12,54,55,2
2016-02-13,4,4,5
2016-02-14,7,1,9
2016-02-15,17,3,27
2016-02-16,34,25,11
