,cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe
2023-04-20,1,9,2.0
2023-04-21,2,14,1.6
2023-04-22,0,0,0.43999999999999995
2023-04-23,0,1,-0.4560000000000002
2023-04-24,3,1,-0.2432000000000002
2023-04-25,2,5,0.8337279999999999
2023-04-26,2,6,0.6744703999999999
2023-04-27,2,2,2.61975296
2023-04-28,3,6,0.1889423360000001
2023-04-29,0,0,-0.5922408448
2023-04-30,0,0,-0.3224624128000001
2023-05-01,7,3,-0.20723415040000007
2023-05-02,2,10,-0.14756352000000006
2023-05-03,5,5,5.881863168
2023-05-04,7,8,-0.2980660223999996
2023-05-05,2,8,0.24744079359999982
2023-05-06,0,7,-0.6197957632000001
2023-05-07,0,0,-0.34206935040000014
2023-05-08,0,5,-0.23481600000000014
2023-05-09,2,2,-0.1817088000000001
2023-05-10,1,8,-0.1475251200000001
2023-05-11,2,3,5.876318208000001
2023-05-12,6,6,-0.3061305343999994
2023-05-13,0,0,-0.7068570624000002
2023-05-14,0,3,-0.38046935040000024
2023-05-15,5,8,0.7504
2023-05-16,3,2,2.613184
2023-05-17,5,7,1.1718912000000001
2023-05-18,5,13,1.1900108799999998
2023-05-19,2,9,-0.8408529919999999
2023-05-20,0,0,-0.4715398144
2023-05-21,0,0,-0.2727061504000001
2023-05-22,4,5,-0.19648512000000007
2023-05-23,5,8,0.842902528
2023-05-24,4,2,1.6696564736000004
2023-05-25,2,3,1.4199630848000002
2023-05-26,2,0,0.3382858752000001
2023-05-27,0,3,-0.5145387008000001
2023-05-28,0,1,-0.2687360000000002
2023-05-29,0,6,1.8132991999999999
2023-05-30,1,5,1.4575436800000001
2023-05-31,2,7,1.325365248
2023-06-01,3,5,4.2484729856
2023-06-02,7,5,-1.3938408447999997
2023-06-03,0,6,-0.6535984128000003
2023-06-04,0,2,2.5884010496
2023-06-05,8,17,1.10621696
2023-06-06,6,13,0.12883353599999992
2023-06-07,2,15,4.3062884352
2023-06-08,5,10,2.5848522752000003
2023-06-09,5,3,-1.4886852607999999
2023-06-10,0,0,-0.7683051520000004
2023-06-11,0,0,-0.47717376000000034
2023-06-12,3,4,-0.359525376
2023-06-13,7,0,3.7126018048000002
2023-06-14,11,2,1.9943247872000003
2023-06-15,4,3,1.9278852096
2023-06-16,3,9,-1.1518975999999999
2023-06-17,0,1,-0.5682774016000002
2023-06-18,0,1,-0.34694400000000014
2023-06-19,0,27,-0.2591232000000001
2023-06-20,3,6,-0.2056012800000001
2023-06-21,3,1,1.8303825920000003
2023-06-22,1,0,0.4561793024000004
2023-06-23,1,6,3.5594288128000002
2023-06-24,1,0,-1.0134080511999999
2023-06-25,0,0,-0.43520000000000036
2023-06-26,6,0,1.7233279999999997
2023-06-27,1,15,1.3992064
2023-06-28,6,16,0.2835737599999999
2023-06-29,5,4,0.4165826559999999
2023-06-30,9,0,2.4497667072000002
2023-07-01,0,2,-0.9162921983999998
2023-07-02,0,6,-0.46340700160000015
2023-07-03,0,1,2.72215296
2023-07-04,0,3,1.190606336
2023-07-05,3,1,-0.8076776448
2023-07-06,2,1,1.5784604671999998
2023-07-07,4,0,0.3255627776000001
2023-07-08,0,0,-0.5594404864
2023-07-09,0,0,-0.3257664512000001
2023-07-10,2,3,-0.20683776000000012
2023-07-11,1,3,-0.1616885759999999
2023-07-12,5,12,3.8674229248
2023-07-13,2,4,1.1207790592000002
2023-07-14,1,2,0.23429785599999997
2023-07-15,0,0,-0.5913264128000001
2023-07-16,0,1,-0.32286935040000014
2023-07-17,4,2,0.7826559999999999
2023-07-18,5,0,0.6336128
2023-07-19,4,5,-0.4141004800000001
2023-07-20,2,2,0.7601669120000001
2023-07-21,2,16,0.6228204544000002
2023-07-22,0,1,-0.3784624127999999
2023-07-23,0,3,-0.1864341504000001
2023-07-24,1,27,1.88104448
2023-07-25,5,11,-0.4904504319999999
2023-07-26,3,6,-0.23282186240000008
2023-07-27,3,9,0.8541751296
2023-07-28,0,3,-0.29851443199999994
2023-07-29,0,3,1.8420709376
2023-07-30,0,4,-0.5013269504
2023-07-31,3,13,0.7725465599999999
2023-08-01,2,23,-0.3503114239999999
2023-08-02,0,5,2.8074324992
2023-08-03,0,3,1.28400128
2023-08-04,5,3,-0.7288453120000001
2023-08-05,0,8,-0.37585879040000025
2023-08-06,1,1,-0.246004224
2023-08-07,5,8,3.8143265792
2023-08-08,3,13,0.07325388800000021
2023-08-09,1,10,-0.6241071104000002
2023-08-10,4,4,-0.349016576
2023-08-11,9,10,-0.24858347519999985
2023-08-12,0,2,-0.1606827008
2023-08-13,0,0,-0.10725120000000006
2023-08-14,9,20,3.91186432
2023-08-15,13,9,-0.8744775679999996
2023-08-16,5,12,2.6157348864
2023-08-17,2,0,3.1955306496
2023-08-18,4,1,4.8256
2023-08-19,0,1,-1.7661440000000002
2023-08-20,1,0,0.1454847999999993
2023-08-21,7,2,2.2332851199999997
2023-08-22,9,4,4.897418752
2023-08-23,1,11,0.17641123840000006
2023-08-24,4,3,-1.2910428160000005
2023-08-25,12,2,2.2291447808
2023-08-26,2,8,-1.1308404735999995
2023-08-27,1,7,-0.6134452224000002
2023-08-28,28,10,-0.3828126720000002
2023-08-29,23,11,0.7011495936000001
2023-08-30,3,6,1.5658042368000005
2023-08-31,6,17,3.3551220736000005
2023-09-01,0,7,-1.0837188608
2023-09-02,0,3,-0.4927631360000002
2023-09-03,0,0,-0.3221440512000001
2023-09-04,0,12,-0.20590080000000008
2023-09-05,1,8,0.8400716799999999
2023-09-06,2,3,0.670043648
2023-09-07,6,2,-0.3889516543999999
2023-09-08,1,3,-0.2104895487999998
2023-09-09,0,1,-0.1314774015999999
2023-09-10,0,1,-0.05913600000000002
2023-09-11,2,7,3.9540352
2023-09-12,3,1,4.16264448
2023-09-13,0,4,0.6486855679999999
2023-09-14,1,1,-0.0188570624000004
2023-09-15,4,3,-0.7468693504000004
2023-09-16,0,13,-0.44614400000000026
2023-09-17,0,17,-0.3245952000000002
2023-09-18,0,6,-0.2545228800000001
2023-09-19,2,4,0.7914219520000002
2023-09-20,4,3,-0.3760982015999995
2023-09-21,3,1,-0.1880488959999998
2023-09-22,1,3,0.9126735872000001
2023-09-23,0,6,-0.24606935039999994
2023-09-24,0,6,-0.10553600000000009
2023-09-25,3,16,-0.06842880000000004
2023-09-26,0,16,-0.050526720000000025
2023-09-27,3,8,-0.03992371199999995
2023-09-28,1,0,-0.03289815039999998
2023-09-29,1,1,-0.01692672000000001
2023-09-30,0,4,-0.01438771199999994
2023-10-01,0,0,-0.012469350399999964
2023-10-02,2,2,0.0
2023-10-03,2,4,0.0
2023-10-04,3,5,0.0
2023-10-05,2,10,0.0
2023-10-06,2,11,0.0
2023-10-07,0,6,0.0
2023-10-08,0,3,0.0
2023-10-09,1,12,0.0
2023-10-10,2,19,0.0
2023-10-11,5,15,0.0
2023-10-12,0,7,3.0
2023-10-13,1,1,-0.5999999999999999
2023-10-14,0,2,-0.2400000000000002
2023-10-15,0,1,-0.1440000000000001
2023-10-16,4,9,2.8992
2023-10-17,2,17,0.3233920000000001
2023-10-18,3,3,-0.5012864000000001
2023-10-19,0,3,-0.2747801600000002
2023-10-20,0,2,0.8080368640000001
2023-10-21,0,0,-0.3476160511999999
2023-10-22,0,3,-0.16682240000000012
2023-10-23,2,16,-0.11920896000000009
2023-10-24,4,4,0.9063101440000001
2023-10-25,1,4,-0.2773317631999998
2023-10-26,4,8,0.8871018495999999
2023-10-27,5,12,1.73507328
2023-10-28,0,0,-0.5279877119999999
2023-10-29,0,0,-0.24600535040000016
2023-10-30,1,10,0.8499711999999999
2023-10-31,2,16,0.69033728
2023-11-01,1,24,-0.365888512
2023-11-02,2,10,0.8017463295999999
2023-11-03,3,10,-0.32984115199999997
2023-11-04,0,1,-0.18038077439999994
2023-11-05,0,3,-0.11890350079999998
2023-11-06,4,6,-0.07095552000000002
2023-11-07,5,0,-0.056850431999999965
2023-11-08,1,4,-0.04728586239999991
2023-11-09,0,9,3.9706039296
2023-11-10,0,22,0.1856122880000003
2023-11-11,0,0,-0.5324693504000002
2023-11-12,0,2,-0.27200000000000024
2023-11-13,2,10,-0.1824000000000001
2023-11-14,3,7,-0.13574400000000006
