,grafana/grafana,getsentry/sentry,elastic/kibana
2017-05-22,9,6,4
2017-05-23,17,4,20
2017-05-24,18,4,16
2017-05-25,5,10,27
2017-05-26,8,6,15
2017-05-27,0,0,5
2017-05-28,0,0,0
2017-05-29,16,1,1
2017-05-30,2,23,5
2017-05-31,5,16,14
2017-06-01,1,8,5
2017-06-02,4,15,13
2017-06-03,2,1,0
2017-06-04,5,0,0
2017-06-05,17,6,3
2017-06-06,8,7,15
2017-06-07,17,29,5
2017-06-08,17,14,5
2017-06-09,1,11,6
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,44,4,10
2017-06-13,10,6,13
2017-06-14,9,7,11
2017-06-15,9,5,3
2017-06-16,10,4,1
2017-06-17,10,0,0
2017-06-18,3,0,0
2017-06-19,20,6,10
2017-06-20,6,17,13
2017-06-21,10,19,13
2017-06-22,17,6,18
2017-06-23,15,14,12
2017-06-24,1,1,0
2017-06-25,3,1,0
2017-06-26,1,27,9
2017-06-27,9,21,16
2017-06-28,5,19,12
2017-06-29,5,17,13
2017-06-30,1,13,15
2017-07-01,0,0,2
2017-07-02,0,0,0
2017-07-03,7,11,7
2017-07-04,10,0,0
2017-07-05,12,11,7
2017-07-06,5,21,11
2017-07-07,4,5,8
2017-07-08,0,2,0
2017-07-09,1,0,1
2017-07-10,3,1,14
2017-07-11,1,9,20
2017-07-12,10,14,14
2017-07-13,1,12,13
2017-07-14,2,4,19
2017-07-15,0,0,0
2017-07-16,0,0,1
2017-07-17,1,3,10
2017-07-18,4,12,23
2017-07-19,3,12,13
2017-07-20,2,2,16
2017-07-21,3,7,22
2017-07-22,0,0,1
2017-07-23,0,0,0
2017-07-24,13,9,16
2017-07-25,1,6,9
2017-07-26,1,13,18
2017-07-27,2,21,7
2017-07-28,1,10,12
2017-07-29,1,0,1
2017-07-30,0,0,0
2017-07-31,25,7,13
2017-08-01,16,3,27
2017-08-02,14,2,16
2017-08-03,9,9,12
2017-08-04,10,6,14
2017-08-05,1,2,1
2017-08-06,0,0,0
2017-08-07,26,10,14
2017-08-08,26,8,16
2017-08-09,17,9,20
2017-08-10,16,5,16
2017-08-11,6,3,7
2017-08-12,0,0,1
2017-08-13,0,0,0
2017-08-14,10,9,11
2017-08-15,15,4,5
2017-08-16,5,9,14
2017-08-17,9,5,20
2017-08-18,11,7,18
2017-08-19,3,0,2
2017-08-20,2,2,0
2017-08-21,10,10,11
2017-08-22,1,20,9
2017-08-23,7,16,10
2017-08-24,14,17,16
