,serverless/serverless,apache/openwhisk,aws/chalice
2016-05-31,10,3,7
2016-06-01,22,6,1
2016-06-02,23,3,7
2016-06-03,5,4,0
2016-06-04,0,7,0
2016-06-05,1,0,0
2016-06-06,23,3,0
2016-06-07,3,0,0
2016-06-08,4,1,1
2016-06-09,28,12,0
2016-06-10,26,2,1
2016-06-11,0,0,0
2016-06-12,0,0,0
2016-06-13,3,3,0
2016-06-14,7,4,0
2016-06-15,50,9,0
2016-06-16,7,9,0
2016-06-17,17,3,0
2016-06-18,1,0,0
2016-06-19,3,0,0
2016-06-20,17,7,0
2016-06-21,24,13,0
2016-06-22,18,7,0
2016-06-23,16,7,0
2016-06-24,32,5,0
2016-06-25,0,0,0
2016-06-26,0,0,0
2016-06-27,20,2,0
2016-06-28,15,4,0
2016-06-29,11,7,0
2016-06-30,4,4,0
2016-07-01,2,6,0
2016-07-02,0,3,0
2016-07-03,0,0,0
2016-07-04,13,3,0
2016-07-05,0,4,0
2016-07-06,1,11,1
2016-07-07,12,4,9
2016-07-08,4,2,2
2016-07-09,0,0,11
2016-07-10,1,2,0
2016-07-11,3,5,17
2016-07-12,19,4,2
2016-07-13,14,1,3
2016-07-14,0,5,1
2016-07-15,21,3,0
2016-07-16,0,1,0
2016-07-17,0,1,0
2016-07-18,1,4,1
2016-07-19,3,5,0
2016-07-20,9,3,0
2016-07-21,3,6,0
2016-07-22,14,2,11
2016-07-23,1,0,0
2016-07-24,0,2,0
2016-07-25,25,3,0
2016-07-26,32,2,1
2016-07-27,13,1,0
2016-07-28,5,2,8
2016-07-29,20,3,4
2016-07-30,0,5,1
2016-07-31,0,1,0
2016-08-01,14,7,15
2016-08-02,19,3,1
2016-08-03,18,7,1
2016-08-04,27,3,8
2016-08-05,15,2,0
2016-08-06,3,1,0
2016-08-07,2,0,2
2016-08-08,13,0,1
2016-08-09,5,1,0
2016-08-10,14,4,1
2016-08-11,11,2,6
2016-08-12,9,3,0
2016-08-13,12,3,0
2016-08-14,5,0,0
2016-08-15,19,2,0
2016-08-16,10,14,4
2016-08-17,5,3,0
2016-08-18,4,5,3
2016-08-19,10,6,1
2016-08-20,1,0,0
2016-08-21,4,5,0
2016-08-22,9,2,0
2016-08-23,12,4,2
2016-08-24,20,1,0
2016-08-25,4,5,0
2016-08-26,7,4,8
2016-08-27,0,2,0
2016-08-28,1,0,0
2016-08-29,6,6,0
2016-08-30,2,20,0
2016-08-31,66,7,0
2016-09-01,6,8,8
2016-09-02,17,9,0
2016-09-03,5,3,0
2016-09-04,0,0,0
2016-09-05,29,0,0
2016-09-06,21,7,7
2016-09-07,11,5,0
2016-09-08,19,4,1
2016-09-09,8,5,0
2016-09-10,4,0,0
2016-09-11,2,1,0
2016-09-12,28,1,0
2016-09-13,14,4,0
2016-09-14,5,10,1
2016-09-15,11,2,0
2016-09-16,10,6,0
2016-09-17,3,0,0
2016-09-18,0,3,0
2016-09-19,8,2,0
2016-09-20,17,5,0
2016-09-21,5,6,8
2016-09-22,15,7,1
2016-09-23,18,4,0
2016-09-24,0,0,0
2016-09-25,2,0,0
2016-09-26,20,2,0
2016-09-27,16,5,0
2016-09-28,20,3,3
2016-09-29,2,1,0
2016-09-30,12,2,0
2016-10-01,13,0,0
2016-10-02,1,0,0
2016-10-03,14,1,0
2016-10-04,22,7,0
2016-10-05,16,1,0
2016-10-06,8,0,0
2016-10-07,22,3,6
2016-10-08,0,0,0
2016-10-09,4,0,0
2016-10-10,21,1,11
2016-10-11,46,2,2
2016-10-12,41,2,3
2016-10-13,46,4,11
2016-10-14,16,0,0
2016-10-15,5,0,0
2016-10-16,0,0,0
2016-10-17,16,6,1
2016-10-18,29,1,0
2016-10-19,54,2,4
2016-10-20,29,5,0
2016-10-21,25,0,3
2016-10-22,5,1,0
2016-10-23,7,0,0
2016-10-24,28,4,5
2016-10-25,22,0,1
2016-10-26,11,3,0
2016-10-27,23,4,9
2016-10-28,27,6,4
2016-10-29,0,1,0
2016-10-30,3,0,0
2016-10-31,23,2,0
2016-11-01,39,2,2
2016-11-02,28,2,0
2016-11-03,15,1,0
2016-11-04,17,1,0
2016-11-05,6,0,0
2016-11-06,1,0,0
2016-11-07,18,1,5
2016-11-08,24,1,3
2016-11-09,7,1,2
2016-11-10,7,7,5
2016-11-11,9,0,5
2016-11-12,3,0,0
2016-11-13,0,0,0
2016-11-14,10,0,1
2016-11-15,10,1,10
2016-11-16,7,1,0
2016-11-17,12,8,4
2016-11-18,15,8,0
2016-11-19,4,0,0
2016-11-20,6,0,1
2016-11-21,27,0,0
2016-11-22,16,6,3
2016-11-23,7,2,2
2016-11-24,21,1,0
2016-11-25,5,1,0
2016-11-26,5,0,0
2016-11-27,4,0,0
2016-11-28,12,4,2
2016-11-29,16,4,1
2016-11-30,4,0,2
2016-12-01,39,5,2
2016-12-02,23,2,0
2016-12-03,2,2,1
2016-12-04,5,0,0
2016-12-05,14,3,0
2016-12-06,14,4,1
2016-12-07,20,12,0
2016-12-08,32,6,0
2016-12-09,14,9,0
2016-12-10,2,1,0
2016-12-11,22,0,0
2016-12-12,8,7,0
2016-12-13,26,2,3
2016-12-14,25,9,0
2016-12-15,11,4,0
2016-12-16,30,2,0
2016-12-17,7,0,0
2016-12-18,3,0,0
2016-12-19,11,0,0
2016-12-20,22,6,0
2016-12-21,1,0,0
2016-12-22,4,1,0
2016-12-23,11,5,0
2016-12-24,1,0,0
2016-12-25,0,0,0
2016-12-26,0,0,0
2016-12-27,2,0,20
2016-12-28,5,0,12
2016-12-29,2,0,14
2016-12-30,4,0,2
2016-12-31,0,0,0
2017-01-01,1,0,1
2017-01-02,13,0,0
2017-01-03,7,1,0
2017-01-04,3,2,0
2017-01-05,5,0,7
2017-01-06,24,0,0
2017-01-07,0,2,1
2017-01-08,1,0,1
2017-01-09,4,1,0
2017-01-10,3,0,0
2017-01-11,6,0,0
2017-01-12,1,1,0
2017-01-13,0,1,0
2017-01-14,7,0,0
2017-01-15,7,1,0
2017-01-16,3,1,0
2017-01-17,5,3,0
2017-01-18,7,3,0
2017-01-19,5,4,0
2017-01-20,8,3,1
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,9,0,0
2017-01-24,7,2,0
2017-01-25,16,12,0
2017-01-26,12,2,5
2017-01-27,17,5,0
2017-01-28,4,0,0
2017-01-29,1,1,0
2017-01-30,12,3,0
2017-01-31,5,3,0
2017-02-01,2,4,1
2017-02-02,0,6,0
2017-02-03,3,3,0
2017-02-04,3,2,0
2017-02-05,2,0,0
2017-02-06,5,2,0
2017-02-07,9,2,8
2017-02-08,13,2,2
2017-02-09,8,7,0
2017-02-10,7,6,0
2017-02-11,1,0,0
2017-02-12,0,0,0
2017-02-13,3,5,0
2017-02-14,9,2,1
2017-02-15,0,1,3
2017-02-16,3,1,7
2017-02-17,2,4,0
2017-02-18,0,0,0
2017-02-19,5,0,0
2017-02-20,9,5,1
2017-02-21,0,6,2
2017-02-22,22,4,3
2017-02-23,8,0,1
2017-02-24,5,4,7
2017-02-25,2,1,0
2017-02-26,0,0,0
2017-02-27,7,5,0
2017-02-28,7,0,0
2017-03-01,11,2,1
2017-03-02,8,6,0
2017-03-03,6,4,0
