,strapi/strapi,TryGhost/Ghost,decaporg/decap-cms
2024-02-25,0.0,0,0
2024-02-26,7.0,5,0
2024-02-27,4.200000000000001,3,1
2024-02-28,8.360000000000001,19,0
2024-02-29,9.912,4,0
2024-03-01,4.420800000000002,1,1
2024-03-02,-8.388864,0,0
2024-03-03,-3.453606400000001,0,0
2024-03-04,20.85363968,5,0
2024-03-05,12.269725696000002,6,1
2024-03-06,10.867088998400003,13,1
2024-03-07,-2.695906201599998,3,2
2024-03-08,-4.7436865536,2,4
2024-03-09,-6.423490764800001,0,0
2024-03-10,-4.2698256384,0,0
2024-03-11,6.327275519999999,6,0
2024-03-12,8.404754944,13,0
2024-03-13,10.739297177600001,8,1
2024-03-14,2.0977273856000025,9,0
2024-03-15,5.627389132800001,3,0
2024-03-16,-9.890850713599999,0,0
2024-03-17,-4.140341452800001,0,0
2024-03-18,35.430494003199996,7,0
2024-03-19,4.956733952000004,4,1
2024-03-20,13.215794380800002,8,1
2024-03-21,20.677601996800004,8,2
2024-03-22,-11.264547635199996,2,0
2024-03-23,-13.1990877184,0,0
2024-03-24,-6.640317952000002,0,0
2024-03-25,8.673272319999999,7,0
2024-03-26,0.5811850239999998,3,0
2024-03-27,7.3037950976,12,0
2024-03-28,-5.568595865599999,16,4
2024-03-29,0.3468583935999998,0,3
2024-03-30,-5.2568187904,0,0
2024-03-31,-2.3088693248000007,2,0
2024-04-01,-1.4451660800000004,4,0
2024-04-02,24.923784704,5,2
2024-04-03,36.7500993536,16,3
2024-04-04,-1.8737805311999978,6,0
2024-04-05,-0.18681855999999897,1,0
2024-04-06,-13.2157268992,0,0
2024-04-07,-6.1163409408000025,0,0
2024-04-08,13.067660799999999,8,0
2024-04-09,-6.674460160000001,1,0
2024-04-10,5.522705408,3,0
2024-04-11,8.338580787200002,4,2
2024-04-12,1.1542895616000006,2,0
2024-04-13,-8.169236684799998,0,0
2024-04-14,-3.4866009088000003,0,0
2024-04-15,7.919738879999999,3,0
2024-04-16,1.4978140160000004,4,3
2024-04-17,11.8380048384,9,0
2024-04-18,-2.0316314623999983,11,0
2024-04-19,-4.289347276799999,2,0
2024-04-20,-3.6902033408,0,0
2024-04-21,-1.975275724800001,0,0
2024-04-22,2.7271679999999994,5,0
2024-04-23,7.43661056,5,0
2024-04-24,9.752982528,3,0
2024-04-25,-0.9777545215999979,8,0
2024-04-26,4.233200230400001,2,0
2024-04-27,-6.4557065216,0,0
2024-04-28,-1.6889691136000007,0,0
2024-04-29,8.91640576,6,0
2024-04-30,-3.734440447999999,2,0
2024-05-01,-1.1225705471999996,9,0
