,elastic/elasticsearch,apache/solr,blevesearch/bleve
2014-04-17,5.0,10,2
2014-04-18,10.5,15,7
2014-04-19,1.674999999999999,1,8
2014-04-20,0.062499999999999334,3,4
2014-04-21,6.3481875,13,0
2014-04-22,15.861628750000001,9,3
2014-04-23,6.651418187499999,5,0
2014-04-24,12.866236631249999,9,5
2014-04-25,11.240387488671875,7,13
2014-04-26,-1.9892685571015623,1,0
2014-04-27,-1.841767350692186,1,0
2014-04-28,19.764836793126566,7,0
2014-04-29,31.958045757604687,7,0
2014-04-30,4.78997625723281,11,0
2014-05-01,0.2308143209984368,21,0
2014-05-02,4.330999371942189,8,0
2014-05-03,-2.497672116507809,1,0
2014-05-04,2.396734238981254,4,0
2014-05-05,11.454645588714065,8,0
2014-05-06,23.59006143292188,5,0
2014-05-07,10.913330878698437,8,0
2014-05-08,7.350698158585937,18,0
2014-05-09,8.951002848828125,12,1
2014-05-10,-0.022464401253123434,0,0
2014-05-11,-2.1567459152515602,16,0
2014-05-12,24.529257621687503,8,0
2014-05-13,19.245415980653128,15,0
2014-05-14,14.605462697376563,12,0
2014-05-15,3.633780080081248,18,3
2014-05-16,10.748430376289065,14,3
2014-05-17,-0.4362612228328109,7,0
2014-05-18,4.607023755521878,0,0
2014-05-19,11.67812280239219,12,1
2014-05-20,9.027281610343753,11,0
2014-05-21,8.92836030595625,17,0
2014-05-22,16.020022949376564,13,0
2014-05-23,10.384985262692188,11,0
2014-05-24,-1.3971468787562498,1,0
2014-05-25,-2.2210639232999982,1,0
2014-05-26,-0.48041914621718473,3,0
2014-05-27,3.763689895029691,3,0
2014-05-28,25.572434215809377,6,0
2014-05-29,-0.5963878903687507,7,0
2014-05-30,6.857617549771875,8,0
2014-05-31,2.7603487770984376,2,0
2014-06-01,-1.7788538240343732,0,0
2014-06-02,8.927658786178126,9,0
2014-06-03,34.202776118234375,8,0
2014-06-04,0.30638049613593576,6,0
2014-06-05,13.062338334648437,11,0
2014-06-06,3.521247713732812,3,0
2014-06-07,1.3657026440015652,2,0
2014-06-08,-2.1095668629015605,0,0
2014-06-09,3.5825525748203155,6,0
2014-06-10,6.422628242343753,10,0
2014-06-11,4.085024274828127,11,0
2014-06-12,11.213199516128126,8,0
2014-06-13,12.773296305320311,8,0
2014-06-14,-0.7476183666843754,3,0
2014-06-15,3.338715717685938,0,0
2014-06-16,9.422827008606252,17,0
2014-06-17,4.882981539921876,14,0
2014-06-18,8.023214643195313,19,0
2014-06-19,13.76970506286875,8,0
2014-06-20,7.07511809683125,5,0
2014-06-21,3.332371016798438,2,0
2014-06-22,-1.1708122828203118,2,0
2014-06-23,-0.425571516399998,4,0
2014-06-24,-0.13701470460156018,6,0
2014-06-25,4.060462768495315,1,0
2014-06-26,4.845542637092189,3,1
2014-06-27,12.682730178890626,6,0
2014-06-28,0.8409317892687493,1,0
2014-06-29,0.613916637796875,0,0
2014-06-30,5.9772241130187505,7,0
2014-07-01,18.643653575698437,13,0
2014-07-02,17.187970278198435,6,0
2014-07-03,18.503753979885936,9,7
2014-07-04,13.85892707422656,3,0
2014-07-05,3.8699781388156254,6,0
2014-07-06,-0.2331953545499985,0,0
2014-07-07,13.66486069261094,7,0
2014-07-08,15.741616428818752,5,0
2014-07-09,22.07750207193594,12,0
2014-07-10,13.05775764646875,4,0
2014-07-11,10.4260871804375,4,6
2014-07-12,-3.1866954975718738,4,0
2014-07-13,3.3969576114781286,0,0
2014-07-14,17.61306636316563,9,1
2014-07-15,19.37017888039219,9,0
2014-07-16,21.525054334628123,13,0
2014-07-17,11.849437193410937,4,0
2014-07-18,5.394382243534375,3,0
2014-07-19,-3.6883423121312484,5,0
2014-07-20,-0.30776377855468384,5,0
2014-07-21,19.154293056870316,10,7
2014-07-22,19.490263535721876,4,1
2014-07-23,29.636593934921876,6,0
2014-07-24,13.163012292017186,6,0
2014-07-25,11.9563855503,1,0
2014-07-26,0.3975231017328138,2,0
2014-07-27,-2.2622884303593715,2,0
2014-07-28,20.695112465218756,5,0
2014-07-29,8.934623532850003,10,0
2014-07-30,12.23549173738594,5,4
2014-07-31,7.1052230578921876,4,5
2014-08-01,13.596383917731252,3,0
2014-08-02,0.3188322368015637,1,4
2014-08-03,2.4769402080609395,1,5
2014-08-04,21.87252074805469,2,0
2014-08-05,24.14917294685469,4,1
2014-08-06,9.981022294970312,6,7
2014-08-07,12.780157537532812,6,7
2014-08-08,17.769642280003126,7,3
2014-08-09,-4.723085546660936,3,0
2014-08-10,-2.7881170264234343,4,0
2014-08-11,18.06376421477813,9,9
2014-08-12,15.491752792445315,7,1
2014-08-13,14.985786618450001,5,0
2014-08-14,4.818150322509375,15,21
2014-08-15,3.7575445731953137,15,4
2014-08-16,-0.7147058794546854,1,0
2014-08-17,0.08167924420937833,2,0
2014-08-18,43.5463670875,10,0
2014-08-19,10.4110870234375,5,6
2014-08-20,13.484844410734375,11,1
2014-08-21,25.59058800077031,22,0
2014-08-22,4.4222810859265635,19,0
2014-08-23,1.89006696856719,4,1
2014-08-24,0.77280045121719,16,1
2014-08-25,9.38928063764688,7,20
2014-08-26,10.897085344225005,9,6
2014-08-27,84.53526922013282,2,0
2014-08-28,13.277607212643744,7,6
2014-08-29,19.300445226384372,5,12
2014-08-30,-6.237534933734377,13,7
2014-08-31,-3.386651838453119,2,1
2014-09-01,18.765267102721882,14,10
2014-09-02,9.319826486168756,10,7
2014-09-03,9.598809067350004,9,10
2014-09-04,9.725002221621878,14,4
2014-09-05,10.818877903212503,18,1
2014-09-06,1.3429838789656263,2,0
2014-09-07,7.374095197264065,2,6
2014-09-08,28.38629384194844,4,0
2014-09-09,12.213446338620312,2,1
2014-09-10,13.616625189490625,10,0
2014-09-11,24.660008997278126,11,3
2014-09-12,13.520039176028126,10,3
2014-09-13,-5.017078986987499,10,2
2014-09-14,-3.0201934531171846,6,3
2014-09-15,22.86384981091407,3,0
2014-09-16,13.833911459906254,8,3
