,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2015-03-16,3,3.0,10
2015-03-17,1,4.5,15
2015-03-18,34,1.625,6
2015-03-19,8,-0.4375,9
2015-03-20,7,3.3828125,10
2015-03-21,8,-4.00390625,1
2015-03-22,15,-1.3583984375,0
2015-03-23,17,3.19970703125,12
2015-03-24,17,0.445098876953125,38
2015-03-25,15,1.5825653076171875,5
2015-03-26,13,2.07269287109375,12
2015-03-27,15,-2.5342559814453125,6
2015-03-28,1,-1.7128448486328125,0
2015-03-29,17,-0.823272705078125,0
2015-03-30,23,-0.4931640625,14
2015-03-31,14,-0.3585205078125,10
2015-04-01,9,0.722747802734375,4
2015-04-02,13,-0.6861724853515625,3
2015-04-03,7,-0.250213623046875,11
2015-04-04,1,-0.1301422119140625,0
2015-04-05,1,-0.0499725341796875,0
2015-04-06,4,0.97265625,6
2015-04-07,5,1.4794921875,2
2015-04-08,4,-1.14111328125,12
2015-04-09,4,1.674407958984375,7
2015-04-10,10,-0.1749725341796875,0
2015-04-11,3,-0.85546875,1
2015-04-12,0,-0.3251953125,0
2015-04-13,1,-0.19775390625,1
2015-04-14,0,2.860931396484375,6
2015-04-15,0,-0.6054534912109375,2
2015-04-16,0,-0.949554443359375,7
2015-04-17,0,-0.35479736328125,5
2015-04-18,0,-0.214599609375,0
2015-04-19,0,-0.1320037841796875,0
2015-04-20,3,0.9111328125,36
2015-04-21,3,2.43115234375,2
2015-04-22,8,-1.680389404296875,18
2015-04-23,11,-0.4833221435546875,5
2015-04-24,10,-0.2374725341796875,17
2015-04-25,13,-0.14453125,0
2015-04-26,7,-0.1025390625,0
2015-04-27,6,1.92236328125,3
2015-04-28,5,2.938568115234375,7
2015-04-29,1,-2.3001861572265625,7
2015-04-30,1,-0.6577301025390625,3
2015-05-01,2,-0.328125,0
2015-05-02,0,-0.2109375,0
2015-05-03,1,-0.150390625,0
2015-05-04,19,0.8857421875,5
2015-05-05,15,-0.59063720703125,7
2015-05-06,6,-0.199188232421875,0
2015-05-07,2,-0.10614013671875,2
2015-05-08,7,-0.0390625,6
2015-05-09,4,-0.02734375,0
2015-05-10,0,-0.0205078125,0
2015-05-11,2,-0.01611328125,11
2015-05-12,16,0.986907958984375,4
2015-05-13,13,2.4890899658203125,8
2015-05-14,7,2.375,8
2015-05-15,4,-1.4375,11
2015-05-16,11,-1.2265625,0
2015-05-17,4,-0.51953125,0
2015-05-18,1,2.6787109375,11
2015-05-19,2,7.27392578125,13
2015-05-20,3,-4.045806884765625,6
2015-05-21,5,3.0523529052734375,8
2015-05-22,2,-3.4058990478515625,6
2015-05-23,0,-0.177825927734375,0
2015-05-24,0,-1.1700897216796875,0
2015-05-25,0,-0.58056640625,14
2015-05-26,5,4.595977783203125,5
2015-05-27,2,6.1917266845703125,11
2015-05-28,11,6.6558074951171875,4
2015-05-29,14,-5.5343780517578125,9
2015-05-30,11,-3.3284759521484375,0
2015-05-31,8,-1.501373291015625,1
2015-06-01,10,2.0467071533203125,7
2015-06-02,14,7.82861328125,11
2015-06-03,11,4.113739013671875,9
2015-06-04,24,9.155746459960938,3
2015-06-05,10,-6.2797088623046875,2
2015-06-06,1,-5.2547607421875,0
2015-06-07,1,-2.247406005859375,0
2015-06-08,13,7.59814453125,4
2015-06-09,9,4.500762939453125,3
2015-06-10,26,5.1127166748046875,3
2015-06-11,8,4.607635498046875,11
2015-06-12,3,-4.359588623046875,4
2015-06-13,0,-2.7386474609375,0
2015-06-14,1,-3.90789794921875,0
2015-06-15,7,3.12646484375,10
2015-06-16,6,6.236663818359375,3
2015-06-17,7,3.4320220947265625,19
2015-06-18,21,4.777252197265625,33
2015-06-19,19,-4.513519287109375,1
2015-06-20,3,-4.9079742431640625,0
2015-06-21,2,-2.1104278564453125,0
2015-06-22,8,8.689437866210938,0
2015-06-23,13,5.083953857421875,2
2015-06-24,9,2.5479278564453125,2
2015-06-25,24,5.484588623046875,9
2015-06-26,10,1.841217041015625,14
2015-06-27,8,-8.63641357421875,0
2015-06-28,0,-3.12762451171875,0
2015-06-29,10,-0.85546875,9
2015-06-30,11,0.20159912109375,5
