,moby/moby,canonical/lxd,containerd/containerd
2015-11-05,47.0,11,2
2015-11-06,33.0,11,6
2015-11-07,13.0,0,2
2015-11-08,14.0,0,0
2015-11-09,37.0,2,0
2015-11-10,43.0,11,3
2015-11-11,38.0,6,0
2015-11-12,39.0,2,0
2015-11-13,38.0,0,6
2015-11-14,23.0,0,0
2015-11-15,11.0,0,0
2015-11-16,13.0,6,0
2015-11-17,40.0,23,0
2015-11-18,30.0,20,0
2015-11-19,31.0,7,0
2015-11-20,35.0,2,0
2015-11-21,10.0,0,0
2015-11-22,4.0,0,0
2015-11-23,30.0,7,0
2015-11-24,32.0,24,0
2015-11-25,40.0,15,0
2015-11-26,18.0,8,0
2015-11-27,2.0,8,0
2015-11-28,5.0,0,0
2015-11-29,1.0,0,0
2015-11-30,30.0,0,2
2015-12-01,24.0,10,5
2015-12-02,57.0,2,3
2015-12-03,36.0,0,6
2015-12-04,39.0,14,10
2015-12-05,7.0,1,0
2015-12-06,7.0,0,0
2015-12-07,28.0,17,11
2015-12-08,28.0,11,12
2015-12-09,76.0,16,7
2015-12-10,24.0,8,9
2015-12-11,19.0,16,8
2015-12-12,7.0,0,0
2015-12-13,10.0,0,0
2015-12-14,36.0,13,7
2015-12-15,46.0,5,11
2015-12-16,49.0,24,10
2015-12-17,26.0,7,14
2015-12-18,22.0,13,11
2015-12-19,12.0,12,2
2015-12-20,13.0,1,0
2015-12-21,26.0,13,0
2015-12-22,48.0,0,2
2015-12-23,32.0,2,0
2015-12-24,10.0,2,0
2015-12-25,2.0,0,1
2015-12-26,1.0,1,0
2015-12-27,5.0,1,0
2015-12-28,26.0,0,0
2015-12-29,41.0,0,0
2015-12-30,33.0,0,0
2015-12-31,7.0,8,0
2016-01-01,10.0,0,0
2016-01-02,2.0,0,0
2016-01-03,9.0,5,0
2016-01-04,31.0,5,2
2016-01-05,48.0,0,4
2016-01-06,35.0,6,1
2016-01-07,34.0,15,0
2016-01-08,48.0,19,0
2016-01-09,22.0,4,0
2016-01-10,15.0,5,0
2016-01-11,20.0,1,1
2016-01-12,46.0,5,2
2016-01-13,47.0,13,0
2016-01-14,65.0,13,0
2016-01-15,31.0,7,0
2016-01-16,11.0,0,2
2016-01-17,3.0,3,0
2016-01-18,21.0,2,0
2016-01-19,39.0,13,0
2016-01-20,48.0,0,1
2016-01-21,49.0,2,5
2016-01-22,36.0,8,10
2016-01-23,23.0,0,1
2016-01-24,30.0,2,1
2016-01-25,34.0,9,6
2016-01-26,73.0,25,2
2016-01-27,62.0,6,5
2016-01-28,20.0,1,0
2016-01-29,33.0,3,1
2016-01-30,23.0,2,0
2016-01-31,8.0,1,0
2016-02-01,40.0,1,0
2016-02-02,51.0,5,2
2016-02-03,56.0,5,7
2016-02-04,39.0,9,1
2016-02-05,33.0,3,0
2016-02-06,8.0,0,0
2016-02-07,5.0,0,0
2016-02-08,20.0,1,0
2016-02-09,34.0,13,0
2016-02-10,36.0,16,0
2016-02-11,54.0,19,10
2016-02-12,41.0,5,6
2016-02-13,7.0,1,0
2016-02-14,3.0,1,0
