,tryghost/ghost,WordPress/WordPress,getgrav/grav
2022-08-02,28,2.0,0
2022-08-03,47,7.6,0
2022-08-04,34,14.24,3
2022-08-05,44,8.064,0
2022-08-06,0,-3.1312000000000006,0
2022-08-07,0,5.752127999999998,0
2022-08-08,23,6.9612544,0
2022-08-09,31,1.3029401599999995,0
2022-08-10,23,-2.015081984000001,0
2022-08-11,61,8.969650483199999,0
2022-08-12,36,1.386204364800001,0
2022-08-13,0,3.0961207296000004,0
2022-08-14,1,-1.7930016768000003,0
2022-08-15,30,-0.7141182464000004,0
2022-08-16,17,1.6344096768000005,0
2022-08-17,23,0.5044444160000006,0
2022-08-18,36,2.7601116159999997,1
2022-08-19,42,4.4589234176,0
2022-08-20,0,-0.07342653439999935,0
2022-08-21,0,-0.401836544,0
2022-08-22,26,3.9991110655999997,0
2022-08-23,39,4.4017611776,0
2022-08-24,36,3.9603828736,0
2022-08-25,52,0.7388648447999997,0
2022-08-26,5,2.2135565311999996,0
2022-08-27,0,-0.8477659136,0
2022-08-28,0,1.7585217535999997,0
2022-08-29,4,2.6274511871999997,0
2022-08-30,20,3.3924509696,0
2022-08-31,29,6.088736256000001,0
2022-09-01,18,13.3880262656,0
2022-09-02,24,-0.49712291839999967,3
2022-09-03,0,-1.9073160192000014,0
2022-09-04,0,-0.8812404736000008,0
2022-09-05,9,8.5606286336,1
2022-09-06,32,11.9860011008,0
2022-09-07,8,2.4321654784,0
2022-09-08,17,8.330872832,3
2022-09-09,50,3.540370124800001,0
2022-09-10,4,-2.9497759744000005,0
2022-09-11,0,10.6802801664,0
2022-09-12,9,3.8514917376,0
2022-09-13,29,6.1835191296,1
2022-09-14,15,16.793970176000002,0
2022-09-15,18,8.49935872,0
2022-09-16,22,-0.17654855680000026,0
2022-09-17,2,0.5044769791999997,0
2022-09-18,0,-1.6585802752000012,0
2022-09-19,26,30.3325326336,0
2022-09-20,20,29.5398847488,0
2022-09-21,16,4.437258956800001,0
2022-09-22,18,-5.822189056000003,3
2022-09-23,11,4.454751641599999,0
2022-09-24,9,-4.526345728000001,0
2022-09-25,1,1.4932734975999988,0
2022-09-26,45,11.504625663999999,0
2022-09-27,55,16.669582643200002,0
2022-09-28,28,2.5807044608000034,0
2022-09-29,37,4.3673571328000005,0
2022-09-30,3,-2.9200487424000006,0
2022-10-01,0,-1.102595891200001,0
2022-10-02,0,-1.4679388160000006,0
2022-10-03,24,2.1648976895999996,0
2022-10-04,12,19.846601728,4
2022-10-05,36,-1.763397119999997,12
2022-10-06,25,0.5350003711999998,0
2022-10-07,43,17.320782336,0
2022-10-08,0,-2.5610951679999996,0
2022-10-09,0,2.7594519551999985,0
2022-10-10,14,9.8069891072,1
2022-10-11,18,32.4777327616,0
2022-10-12,17,-6.855349145599998,0
2022-10-13,19,-0.27036743680000264,0
2022-10-14,11,-2.1132650496000016,0
2022-10-15,0,-2.0301526015999998,0
2022-10-16,1,-1.305316864,0
2022-10-17,13,9.2797447168,0
2022-10-18,15,10.527688601600001,0
2022-10-19,36,0.33995694080000227,0
2022-10-20,36,1.6628436992000006,0
2022-10-21,42,1.3692351487999996,0
2022-10-22,0,0.6802263039999996,0
