,jetbrains/kotlin,scala/scala,apache/groovy
2011-07-22,0.0,3,3
2011-07-23,0.0,2,4
2011-07-24,0.0,1,0
2011-07-25,0.0,3,3
2011-07-26,0.0,3,4
2011-07-27,4.0,6,3
2011-07-28,-1.5999999999999996,8,0
2011-07-29,-0.48,10,0
2011-07-30,3.7439999999999998,5,2
2011-07-31,-1.7663999999999997,0,0
2011-08-01,-0.599808,7,0
2011-08-02,-0.3478528,3,0
2011-08-03,0.7601177599999999,5,0
2011-08-04,-0.580430848,3,0
2011-08-05,2.7369545728,5,0
2011-08-06,-1.3374822399999997,6,0
2011-08-07,-0.462222848,2,0
2011-08-08,-0.2731446272,6,0
2011-08-09,-0.14776320000000015,13,0
2011-08-10,-0.10822656000000004,3,0
2011-08-11,-0.08404531200000001,2,0
2011-08-12,-0.06790983679999998,9,0
2011-08-13,-0.04546713599999998,0,0
2011-08-14,-0.03839447039999999,0,0
2011-08-15,0.0,7,0
2011-08-16,4.0,2,0
2011-08-17,0.40000000000000036,2,0
2011-08-18,-1.2799999999999998,1,0
2011-08-19,-0.496,4,0
2011-08-20,-0.2944000000000002,6,0
2011-08-21,-0.20300800000000016,4,1
2011-08-22,3.8482431999999998,3,0
2011-08-23,2.2805913600000003,4,4
2011-08-24,-1.1773639679999999,6,2
2011-08-25,-1.2175040512,5,0
2011-08-26,4.4320036864,4,0
2011-08-27,-2.350208,4,0
2011-08-28,-0.8532608000000002,1,5
2011-08-29,2.48471296,4,7
2011-08-30,7.434931712,3,5
2011-08-31,11.7600539648,3,2
2011-09-01,0.14683566080000077,2,1
2011-09-02,7.074549043200001,2,10
2011-09-03,-2.7240345599999998,1,0
2011-09-04,-0.14004838399999997,0,6
2011-09-05,15.49418752,5,4
2011-09-06,6.721370624,3,1
2011-09-07,-2.7698064384,8,6
2011-09-08,2.3190791168000002,3,1
2011-09-09,10.2905905152,3,2
2011-09-10,-7.724318310399999,4,0
2011-09-11,-3.6352553984,0,2
2011-09-12,4.134829055999999,6,1
2011-09-13,5.456569856,4,9
2011-09-14,-3.0421427199999993,3,3
2011-09-15,10.4590864384,2,0
2011-09-16,-4.230206054399998,4,1
2011-09-17,-4.855038464,10,3
2011-09-18,1.5678473215999995,4,0
2011-09-19,3.9319264255999995,6,1
2011-09-20,-0.33645096959999954,4,6
2011-09-21,-0.5028363263999993,6,5
2011-09-22,1.1367862272,5,11
2011-09-23,8.020981452800001,3,7
2011-09-24,0.20748800000000145,1,0
2011-09-25,-3.5060252672,2,0
2011-09-26,1.6386744320000002,8,3
2011-09-27,5.0189375488,7,1
2011-09-28,1.3797535744000005,16,3
2011-09-29,3.7399507968000005,3,4
2011-09-30,-1.0672246783999997,7,2
2011-10-01,0.25229998080000016,1,1
2011-10-02,-2.4231533568,0,0
2011-10-03,3.0023555072,4,0
2011-10-04,-1.1401806847999998,7,0
2011-10-05,3.7834247168,4,1
2011-10-06,-2.5535448063999997,3,2
2011-10-07,0.15067832319999974,4,2
2011-10-08,1.2035864576000002,0,0
2011-10-09,0.9414939648000002,5,0
2011-10-10,0.8865604608000002,4,1
2011-10-11,-0.12824903679999977,5,4
2011-10-12,5.235807232,1,11
2011-10-13,16.3725164544,3,0
2011-10-14,-5.380231372799997,2,8
2011-10-15,-3.7881668607999996,7,0
2011-10-16,-1.7061687296000003,4,0
2011-10-17,17.997436313599998,4,13
2011-10-18,-2.230785126399999,5,12
2011-10-19,5.918028185600001,3,10
2011-10-20,0.4174977024000013,13,5
2011-10-21,9.5609012224,7,0
2011-10-22,-8.376159743999999,4,1
2011-10-23,1.9151531007999996,2,0
2011-10-24,11.2076685312,9,15
2011-10-25,-4.8092807168,2,51
2011-10-26,-0.19103743999999967,0,5
2011-10-27,13.4306166784,2,9
2011-10-28,8.506972262400001,5,8
2011-10-29,-10.8266584064,7,0
2011-10-30,-2.3373687808000003,0,0
2011-10-31,26.659925811199997,8,1
2011-11-01,9.964485427200003,4,2
2011-11-02,8.362280243200003,1,6
2011-11-03,25.0458211328,3,1
2011-11-04,9.728632320000003,10,7
2011-11-05,-18.518056038399997,1,0
2011-11-06,-9.231651942400001,3,1
2011-11-07,21.706558975999997,9,11
2011-11-08,-2.4905947136,7,14
2011-11-09,27.204003328,2,6
2011-11-10,8.791162060800005,7,0
2011-11-11,-12.264085606399998,8,0
2011-11-12,14.249560064,0,0
2011-11-13,-13.408124313600002,13,0
2011-11-14,16.8854245376,5,0
2011-11-15,2.1730998272000015,5,8
2011-11-16,10.7260635136,7,1
2011-11-17,1.3641767936000022,0,1
2011-11-18,5.4043368447999995,5,0
2011-11-19,-11.683714559999999,5,2
2011-11-20,-5.801209446400001,1,1
2011-11-21,2.490094387199999,4,10
2011-11-22,12.371712409599999,13,0
2011-11-23,25.834843136000003,11,10
2011-11-24,22.560589926400002,8,7
2011-11-25,14.847078092800004,1,6
2011-11-26,-21.947695513599996,1,4
2011-11-27,-10.4733253632,5,0
2011-11-28,22.961444454399995,7,4
2011-11-29,5.186934579199999,8,5
2011-11-30,3.9334027264000007,4,5
2011-12-01,9.562328985600002,16,1
2011-12-02,9.743474483200004,21,1
2011-12-03,-12.3755906048,4,4
2011-12-04,-8.2579661824,9,0
2011-12-05,7.727942246399998,24,19
2011-12-06,13.297953792,13,4
2011-12-07,21.999674060800004,26,7
2011-12-08,16.741983539200003,10,5
2011-12-09,-4.778104627199998,17,4
2011-12-10,-14.4805962752,11,2
2011-12-11,-3.584366796800003,2,4
2011-12-12,16.822925824,16,4
2011-12-13,15.052841267200002,15,2
2011-12-14,21.263769497600002,5,10
2011-12-15,-2.092075929599993,0,7
2011-12-16,29.242588160000004,5,19
2011-12-17,-22.9143001088,0,0
2011-12-18,-8.2538162176,3,0
2011-12-19,10.386910515199999,1,9
2011-12-20,23.9486087168,5,8
2011-12-21,6.869345177600003,6,10
2011-12-22,-6.8446398464,6,2
2011-12-23,-0.8860355583999997,6,7
2011-12-24,-10.081863168,7,0
2011-12-25,2.0878963711999976,6,1
2011-12-26,4.3628891136,3,3
2011-12-27,21.1248321536,4,8
2011-12-28,-12.380559974399997,26,5
2011-12-29,18.8873050112,1,6
2011-12-30,19.9159553024,9,1
2011-12-31,-18.985394585599998,3,2
2012-01-01,-7.3057012736,1,3
2012-01-02,0.6504911871999983,8,3
2012-01-03,5.936114073599999,4,12
2012-01-04,10.749181747200002,4,17
2012-01-05,-7.5149970431999975,15,19
2012-01-06,15.6709579776,7,17
2012-01-07,-6.3674062847999995,10,8
2012-01-08,-0.340225331200001,4,4
2012-01-09,-3.3523840000000007,4,3
2012-01-10,15.505351679999999,9,0
2012-01-11,2.308744704000002,3,8
2012-01-12,13.441718579200002,14,0
2012-01-13,0.5046562816000026,7,11
2012-01-14,-6.0446004223999985,10,5
2012-01-15,2.863022387199999,8,1
2012-01-16,8.185409023999998,8,14
2012-01-17,11.7325565952,9,9
2012-01-18,25.629032038400002,4,27
2012-01-19,-4.301915443199995,10,3
2012-01-20,-0.015241625599998088,15,0
2012-01-21,-11.0336147456,6,1
2012-01-22,1.949426073599998,2,0
2012-01-23,12.0348443648,10,3
2012-01-24,12.713465548800002,15,19
2012-01-25,24.571337216000003,15,6
2012-01-26,-1.5188441087999962,9,13
2012-01-27,34.7450116096,5,4
2012-01-28,-12.482514636799998,11,1
2012-01-29,-14.518843187199998,6,6
2012-01-30,30.101670707199997,31,4
2012-01-31,3.752557977600002,8,6
2012-02-01,-2.742169907200001,23,13
2012-02-02,5.134757068800001,13,16
2012-02-03,14.7141070848,19,6
2012-02-04,-11.982517247999997,11,4
2012-02-05,-1.9067475968000007,33,9
2012-02-06,16.815952384,20,11
2012-02-07,8.7816157184,6,23
2012-02-08,45.8830261248,9,15
2012-02-09,-5.546816511999992,3,4
