,socketio/socket.io,websockets/ws,faye/faye
2011-11-07,0.0,6,2
2011-11-08,2.0,4,5
2011-11-09,-0.20000000000000018,20,14
2011-11-10,-0.09000000000000007,6,5
2011-11-11,0.943,2,1
2011-11-12,-0.14132499999999992,5,0
2011-11-13,-0.07723349999999993,3,5
2011-11-14,4.945175975,9,0
2011-11-15,-0.5428498925000003,0,0
2011-11-16,2.73974662396875,0,0
2011-11-17,-0.47245971757187527,0,0
2011-11-18,1.7505938037500004,0,1
2011-11-19,-0.3756520630156249,0,2
2011-11-20,-0.22619641503593713,0,15
2011-11-21,-0.16081873124999974,0,6
2011-11-22,11.871347397421875,1,7
2011-11-23,0.6924911485703118,0,2
2011-11-24,-0.7950289640468754,4,0
2011-11-25,-0.4793839501078127,19,0
2011-11-26,4.675913373968751,8,0
2011-11-27,30.248476294928125,0,0
2011-11-28,-3.5151776500000023,0,2
2011-11-29,-1.6969483800000007,0,0
2011-11-30,-1.1238196486875,0,0
2011-12-01,-0.841044106462497,0,0
2011-12-02,-0.5822270175718731,0,0
2011-12-03,3.5365091312500017,6,4
2011-12-04,4.208253851171876,0,3
2011-12-05,4.9813880338359375,0,0
2011-12-06,-1.1993644286140626,3,0
2011-12-07,-0.49515,24,0
2011-12-08,-0.33877949999999957,30,0
2011-12-09,-0.2572067999999991,2,0
2011-12-10,-0.20688534749999937,3,0
2011-12-11,-0.1727138083124995,6,0
2011-12-12,1.8520008472781253,10,0
2011-12-13,-0.2994041407734374,17,4
2011-12-14,-0.14039311521562492,3,2
2011-12-15,9.943,7,1
2011-12-16,0.9586749999999993,0,0
2011-12-17,-0.6822335000000004,0,0
2011-12-18,-0.4013240250000002,4,0
2011-12-19,-0.2858123924999992,6,0
2011-12-20,3.778370873968751,0,0
2011-12-21,49.41934866992813,5,4
2011-12-22,17.682739012499994,3,3
2011-12-23,16.218129477343744,0,0
2011-12-24,-1.745775151390628,0,0
2011-12-25,-3.0148897050718726,1,0
2011-12-26,-2.067223049999996,14,0
2011-12-27,-1.5925731599999953,7,0
2011-12-28,-1.296123602062496,3,3
2011-12-29,13.908081412825004,0,0
2011-12-30,-0.41246748490624885,0,0
2011-12-31,2.697610729595313,0,1
2012-01-01,-1.1225808423015629,12,0
2012-01-02,0.42786594239218856,8,0
2012-01-03,96.50292375000001,5,0
2012-01-04,11.942686312499992,2,0
2012-01-05,8.149303531249995,6,0
2012-01-06,-5.493522637734379,0,0
2012-01-07,-3.511873449070306,0,0
2012-01-08,-2.5136327196343684,0,1
2012-01-09,6.014089681106256,0,1
2012-01-10,-1.4169723742656206,0,0
2012-01-11,2.1619832799484406,0,0
2012-01-12,-1.864597026079685,1,0
2012-01-13,1.2979005489750013,1,3
2012-01-14,23.41042071196094,0,2
2012-01-15,-2.6940628500000017,0,8
2012-01-16,42.6966214175,1,1
2012-01-17,9.734386749624996,0,2
2012-01-18,8.870732581696874,0,1
2012-01-19,-2.6887981295984384,0,0
2012-01-20,-1.3933211026437462,0,0
2012-01-21,-1.819959836031246,0,2
2012-01-22,-1.4094295174468707,0,13
2012-01-23,-1.1458055333624968,0,2
2012-01-24,-0.7952966289374978,3,0
2012-01-25,1.313428979434377,0,3
2012-01-26,1.525373434007813,8,0
2012-01-27,-0.4198470922328124,0,0
2012-01-28,-0.16496716555156254,0,0
2012-01-29,-0.10672385253593737,0,6
2012-01-30,-0.07355849999999975,0,0
2012-01-31,0.9414424750000002,2,0
2012-02-01,-0.14851141749999994,0,0
2012-02-02,-0.08632401853124991,1,0
2012-02-03,3.935565668896875,11,0
2012-02-04,-0.4374602050718752,15,0
2012-02-05,-0.1961167500000001,1,0
2012-02-06,0.8728379875,7,0
2012-02-07,-0.19374369624999976,7,0
2012-02-08,-0.11903531301562481,0,0
2012-02-09,1.9104530974640626,10,3
2012-02-10,-0.26503728499999996,1,0
2012-02-11,-0.1443900020624999,0,0
2012-02-12,-0.10375742264374992,0,0
2012-02-13,0.9475813037500002,0,3
2012-02-14,-0.14180181301562494,0,0
2012-02-15,4.9202771224640625,0,0
2012-02-16,-0.5506873925000004,0,0
2012-02-17,-0.26479912603125005,0,3
2012-02-18,-0.175414455071875,0,0
2012-02-19,-0.11647451249999957,0,0
2012-02-20,-0.0916774462499997,0,0
2012-02-21,2.924621624484375,3,0
2012-02-22,4.6361326662140625,0,0
2012-02-23,-0.6828415650781254,1,0
2012-02-24,-0.35249426267968764,0,0
2012-02-25,-0.20448749999999988,0,4
2012-02-26,9.84833725,0,7
2012-02-27,11.8799302125,0,1
2012-02-28,1.1509088487499988,3,1
2012-02-29,6.745826579703124,3,3
2012-03-01,3.4148368773140625,0,3
2012-03-02,19.582725737320313,0,0
2012-03-03,7.043874624999999,0,0
2012-03-04,-2.583193375,0,0
2012-03-05,-1.5601337189062494,0,0
2012-03-06,-1.1464500333124974,0,0
2012-03-07,-0.8375264045140598,0,0
2012-03-08,6.405218694517189,3,0
2012-03-09,2.820379868384376,0,0
2012-03-10,-0.06886579850781205,0,0
2012-03-11,-0.7515590334109372,0,0
2012-03-12,1.6123739746406256,0,1
2012-03-13,2.5760327500000004,0,0
2012-03-14,1.4327364125000002,0,5
2012-03-15,-0.5384206737499999,0,2
2012-03-16,1.6586600113906254,0,0
2012-03-17,-0.4593799160640621,0,0
2012-03-18,-0.2491629981593746,0,0
2012-03-19,1.8406942174640628,0,0
2012-03-20,-0.3200667397812498,0,1
2012-03-21,-0.18992353661874978,4,0
2012-03-22,-0.12765720863906235,1,0
2012-03-23,-0.08031009757187474,5,0
2012-03-24,-0.051370126031249845,4,1
2012-03-25,2.9568782699281253,0,0
2012-03-26,-0.3221873925000002,0,0
2012-03-27,4.84586337396875,3,0
2012-03-28,7.397702294928124,0,0
2012-03-29,-1.0869875000000007,4,0
2012-03-30,-0.5508502500000002,10,10
2012-03-31,-0.3707985374999997,0,1
2012-04-01,5.720835161250001,0,1
2012-04-02,5.176550998453125,0,0
2012-04-03,8.944038861142188,0,0
2012-04-04,-1.5775911350781258,0,0
2012-04-05,8.136484233195313,0,0
2012-04-06,0.5271336797124999,1,1
2012-04-07,0.01270242500000085,0,0
2012-04-08,-0.7532017524999994,0,0
2012-04-09,0.4564453194062513,1,0
2012-04-10,-0.5336157058093738,1,0
2012-04-11,1.6375696421281258,1,6
2012-04-12,-0.45477256660937454,5,0
2012-04-13,-0.23212672214062463,3,0
2012-04-14,-0.1789367451046872,0,0
2012-04-15,-0.08085303058749974,1,0
2012-04-16,-0.05172604878593734,0,0
2012-04-17,8.964107661984375,1,0
2012-04-18,0.06941375496406177,4,0
2012-04-19,1.4758633739687497,0,0
2012-04-20,-0.5182977050718753,0,0
2012-04-21,-0.3044624999999994,0,0
2012-04-22,-0.2227132499999995,0,0
2012-04-23,3.8241001375000003,2,0
2012-04-24,0.45476122125000007,0,0
2012-04-25,-0.40353253839062486,0,0
2012-04-26,4.733654621660937,0,0
2012-04-27,-0.6386854785671876,1,0
2012-04-28,-0.32692720507187484,1,0
2012-04-29,4.7887352000000005,0,0
2012-04-30,-0.6608492974999999,5,0
2012-05-01,1.6450493016875,1,0
2012-05-02,7.548526214340625,0,0
2012-05-03,3.9428201662140623,0,0
2012-05-04,-1.0454253150781254,0,0
2012-05-05,-0.6021293251796874,0,0
2012-05-06,-0.39550198124999925,0,0
2012-05-07,-0.306412090078124,0,0
2012-05-08,-0.2500615051796867,0,0
2012-05-09,-0.17369625853124948,0,0
2012-05-10,1.8511873095531255,1,0
2012-05-11,-0.3150323853656249,0,0
2012-05-12,-0.13199426267968745,0,0
2012-05-13,-0.057000000000000044,0,0
2012-05-14,-0.04132499999999985,0,0
2012-05-15,-0.032233499999999894,0,0
2012-05-16,-0.02632402499999992,0,0
2012-05-17,-0.022187392499999934,0,0
2012-05-18,0.98086337396875,0,0
2012-05-19,-0.11679770507187505,8,0
2012-05-20,-0.04500000000000003,2,0
2012-05-21,-0.028500000000000022,0,0
2012-05-22,1.9793375,0,0
2012-05-23,-0.21611675000000014,0,0
2012-05-24,1.8968379874999999,0,0
2012-05-25,-0.2680936962500002,0,0
2012-05-26,-0.14089331301562488,0,0
2012-05-27,-0.09763235253593741,0,0
2012-05-28,-0.06764902499999977,0,0
2012-05-29,-0.05442089249999983,0,0
2012-05-30,-0.04546065103124987,0,0
2012-05-31,-0.03898509757187489,0,0
2012-06-01,-0.01913662603124995,3,0
2012-06-02,-0.016797705071874957,0,0
2012-06-03,0.0,0,0
2012-06-04,0.0,0,0
2012-06-05,2.0,0,9
2012-06-06,-0.20000000000000018,0,0
2012-06-07,-0.09000000000000007,0,0
2012-06-08,-0.057000000000000044,1,0
2012-06-09,-0.04132499999999985,3,0
2012-06-10,-0.032233499999999894,0,1
2012-06-11,-0.02632402499999992,0,0
2012-06-12,-0.022187392499999934,5,0
2012-06-13,-0.01913662603124995,4,0
2012-06-14,-0.016797705071874957,12,0
2012-06-15,0.0,0,0
2012-06-16,0.0,0,0
2012-06-17,0.0,0,0
2012-06-18,0.0,5,0
2012-06-19,0.0,2,0
2012-06-20,1.0,0,0
2012-06-21,-0.10000000000000009,0,0
