,golang/go,llvm/llvm-project,gcc-mirror/gcc
2020-03-03,19,143,16.0
2020-03-04,12,119,31.4
2020-03-05,12,110,14.979999999999997
2020-03-06,9,83,21.159
2020-03-07,2,37,-3.6261000000000028
2020-03-08,1,16,1.293769500000002
2020-03-09,9,110,12.707467550000004
2020-03-10,20,118,12.856873697500003
2020-03-11,22,93,17.418155528
2020-03-12,15,150,11.663766738659376
2020-03-13,20,121,15.875131000267189
2020-03-14,2,31,3.6466209801765626
2020-03-15,11,33,1.6908749010859396
2020-03-16,8,102,16.477278501651565
2020-03-17,9,119,26.344860492121878
2020-03-18,14,110,33.79222938246094
2020-03-19,10,123,5.200197896096873
2020-03-20,16,113,22.060189813495313
2020-03-21,5,47,5.242099216612501
2020-03-22,6,40,-0.4964102735937459
2020-03-23,23,117,18.738323760884377
2020-03-24,20,106,11.48528991502344
2020-03-25,22,92,22.59633435759844
2020-03-26,11,111,9.5794372738125
2020-03-27,19,107,26.423271058660937
2020-03-28,6,60,6.236522109396875
2020-03-29,4,48,2.4957849783578148
2020-03-30,17,117,8.54609610254219
2020-03-31,20,146,17.483739476012502
2020-04-01,17,131,13.578102999709378
2020-04-02,14,133,17.607807576753125
2020-04-03,13,138,16.158590302545313
2020-04-04,2,57,7.121827565976563
2020-04-05,4,52,1.906839041448439
2020-04-06,12,166,8.939532460959377
2020-04-07,9,129,27.75602342981094
2020-04-08,30,127,29.811626638740627
2020-04-09,20,127,19.57655488246406
2020-04-10,18,104,6.844255496759374
2020-04-11,7,74,0.10075574088125183
2020-04-12,7,37,-0.5645087369421833
2020-04-13,28,104,13.303845898975005
2020-04-14,23,127,17.46506410734688
2020-04-15,11,152,10.653774122334376
2020-04-16,17,133,14.901631100839063
2020-04-17,13,118,17.694785659085937
2020-04-18,5,54,2.3880067461125005
2020-04-19,6,59,13.71921081320469
2020-04-20,33,112,24.19906064577344
2020-04-21,31,136,18.866019375392188
2020-04-22,26,134,38.60449410484688
2020-04-23,26,129,23.437675147760935
2020-04-24,43,143,10.739489109664062
2020-04-25,11,49,5.932339829223439
2020-04-26,2,47,3.0016658668500042
2020-04-27,48,126,24.949360415982817
2020-04-28,30,123,14.270385232451567
2020-04-29,35,135,30.567996094118755
2020-04-30,35,125,19.1113999577
2020-05-01,30,86,8.458055602434376
2020-05-02,3,54,0.7523497321046895
2020-05-03,1,40,0.18136796566562907
2020-05-04,15,89,22.022781824193757
2020-05-05,15,122,62.37964872725938
2020-05-06,13,107,22.518755376145307
2020-05-07,26,137,26.894846890718746
2020-05-08,28,91,12.772958151549998
2020-05-09,3,41,34.144588661331255
2020-05-10,2,55,-3.34034001363281
2020-05-11,7,114,37.56971288897188
2020-05-12,6,106,32.87123596571563
2020-05-13,9,110,23.970168747054693
2020-05-14,14,104,22.33180998234219
2020-05-15,1,126,20.90116437955313
2020-05-16,0,33,-4.791228770835934
