,huggingface/transformers,EleutherAI/gpt-neox,eleutherai/gpt-neo
2021-01-22,5,2.0,0.0
2021-01-23,2,20.0,1.0
2021-01-24,0,0.0,-0.10000000000000009
2021-01-25,7,1.0,1.955
2021-01-26,13,2.0,-0.2285000000000002
2021-01-27,21,2.0,-0.1106625
2021-01-28,11,1.0,0.92688325
2021-01-29,6,0.0,-0.1544870124999999
2021-01-30,1,1.0,-0.08832719624999989
2021-01-31,2,0.0,-0.06439233801562493
2021-02-01,11,4.0,-0.051248745035937335
2021-02-02,9,3.0,1.96474662396875
2021-02-03,11,5.0,-0.2299597175718751
2021-02-04,14,10.0,-0.10109369625000003
2021-02-05,7,16.0,-0.06656831301562502
2021-02-06,0,16.0,-0.04972385253593733
2021-02-07,0,12.0,-0.032233499999999894
2021-02-08,25,58.0,-0.02632402499999992
2021-02-09,16,36.0,5.9778126075
2021-02-10,9,28.0,-0.6191366260312505
2021-02-11,8,26.0,-0.28679770507187513
2021-02-12,4,13.0,-0.17100000000000012
2021-02-13,6,23.0,0.8760250000000005
2021-02-14,0,1.0,-0.19670049999999978
2021-02-15,12,7.0,4.876027925
2021-02-16,5,15.0,-0.5950621775000002
2021-02-17,8,14.0,0.69692762190625
2021-02-18,6,8.0,-0.309009865215625
2021-02-19,15,5.0,-0.1614745124999996
2021-02-20,3,0.0,-0.12017744624999972
2021-02-21,1,6.0,-0.09604087551562471
2021-02-22,9,21.0,-0.07998408378593726
2021-02-23,3,11.0,-0.061003577578124836
2021-02-24,6,23.0,-0.05308795892968736
2021-02-25,11,19.0,-0.009568313015624975
2021-02-26,4,29.0,-0.008398852535937478
2021-02-27,5,27.0,1.0
2021-02-28,3,22.0,-0.10000000000000009
2021-03-01,5,2.0,-0.04500000000000003
2021-03-02,1,9.0,-0.028500000000000022
2021-03-03,9,29.0,-0.020662499999999924
2021-03-04,6,20.0,-0.016116749999999947
2021-03-05,11,40.0,-0.01316201249999996
2021-03-06,3,19.0,-0.011093696249999967
2021-03-07,0,29.0,-0.009568313015624975
2021-03-08,20,7.0,-0.008398852535937478
2021-03-09,9,13.0,0.0
2021-03-10,8,13.0,0.0
2021-03-11,17,4.0,4.0
2021-03-12,7,11.0,-0.40000000000000036
2021-03-13,0,1.0,-0.18000000000000013
2021-03-14,0,0.0,-0.11400000000000009
2021-03-15,16,6.0,-0.0826499999999997
2021-03-16,14,2.0,-0.06446699999999979
