,getsentry/sentry,grafana/grafana,elastic/kibana
2017-06-22,6.0,17,18
2017-06-23,12.8,15,12
2017-06-24,-2.28,1,0
2017-06-25,-0.6080000000000012,3,0
2017-06-26,25.8464,1,9
2017-06-27,14.848384000000001,9,16
2017-06-28,12.0783232,5,12
2017-06-29,9.77730048,5,13
2017-06-30,5.795534847999998,1,15
2017-07-01,-6.5806715904000015,0,2
2017-07-02,-3.788118937600002,0,0
2017-07-03,8.406732697599999,7,7
2017-07-04,-4.215457894399998,10,0
2017-07-05,8.480320307200001,12,7
2017-07-06,17.183448473600002,5,11
2017-07-07,-1.1511561215999988,4,8
2017-07-08,-1.8879152128000003,0,0
2017-07-09,-2.564418355200001,1,1
2017-07-10,-0.5726899200000009,3,14
2017-07-11,7.616762368,1,20
2017-07-12,11.172758425600001,10,14
2017-07-13,7.765058048,1,13
2017-07-14,-0.5503960063999997,2,19
2017-07-15,-3.1275843584,0,0
2017-07-16,-1.7077749760000005,0,1
2017-07-17,1.8215713791999995,1,10
2017-07-18,10.506436608,4,23
2017-07-19,8.6337775616,3,13
2017-07-20,-2.1024879615999996,2,16
2017-07-21,4.5482696704,3,22
2017-07-22,-2.8229910528,0,1
2017-07-23,-1.4767958016000007,0,0
2017-07-24,7.99444224,13,16
2017-07-25,3.422298624,1,9
2017-07-26,10.4472091648,1,18
2017-07-27,16.9888602112,2,7
2017-07-28,3.8727053311999997,1,12
2017-07-29,-4.861076684800001,1,1
2017-07-30,-2.6691606528000014,0,0
2017-07-31,5.2075187199999995,25,13
2017-08-01,0.23111987200000028,16,27
2017-08-02,-0.2629625856000004,14,16
2017-08-03,7.2023945216000005,9,12
2017-08-04,3.0272892928000017,10,14
2017-08-05,-0.7012854783999991,1,1
2017-08-06,-1.7235031040000004,0,0
2017-08-07,9.01875456,26,14
2017-08-08,5.280224256,26,16
2017-08-09,6.0314227712,17,20
2017-08-10,1.6878312447999995,16,16
2017-08-11,0.2631539711999995,6,7
2017-08-12,-2.1885638656,0,1
2017-08-13,-1.2945675264000003,0,0
2017-08-14,8.100539699199999,10,11
2017-08-15,1.5083699200000007,15,5
2017-08-16,6.90911232,5,14
2017-08-17,2.072835788800001,9,20
2017-08-18,4.5506571264,11,18
2017-08-19,-2.701733888,3,2
2017-08-20,0.574188748799999,2,0
2017-08-21,8.63212032,10,11
2017-08-22,17.096064512,1,9
2017-08-23,10.5009885184,7,10
2017-08-24,11.2457979904,14,16
2017-08-25,-0.3297217536000012,4,25
2017-08-26,-3.4592783360000015,5,0
2017-08-27,-2.869746892800001,0,0
2017-08-28,12.045605376,13,14
2017-08-29,2.6820769792000005,8,9
2017-08-30,5.2626191360000005,2,16
2017-08-31,5.052546560000001,5,7
2017-09-01,2.107510169600001,6,7
2017-09-02,-2.2599359488000004,1,0
2017-09-03,-1.9683590144000007,0,3
2017-09-04,-1.2926690304000006,14,2
2017-09-05,7.016801792000001,8,9
2017-09-06,1.601699430400001,4,7
2017-09-07,8.0427758592,18,24
2017-09-08,6.932297318400001,10,14
2017-09-09,-3.4762771455999997,0,0
2017-09-10,-1.707891814400001,0,0
2017-09-11,4.905956249599999,5,22
2017-09-12,13.991511039999999,18,24
2017-09-13,4.6775434240000004,17,18
2017-09-14,2.101139148799999,27,29
2017-09-15,4.747378278399999,23,18
2017-09-16,-3.471386624,0,0
2017-09-17,-0.8862423040000007,0,0
2017-09-18,4.556154879999999,40,5
2017-09-19,2.756971008,8,16
2017-09-20,12.6877792256,4,21
2017-09-21,-2.3155897343999987,30,12
2017-09-22,20.5988998144,16,15
2017-09-23,-6.011562598399999,0,0
2017-09-24,-1.806934323200002,9,0
2017-09-25,3.0276679679999994,1,0
2017-09-26,9.6062667776,7,20
2017-09-27,4.1231589376,11,3
2017-09-28,10.384521728,15,20
2017-09-29,3.1853337600000007,54,4
2017-09-30,-3.0111648767999997,0,1
2017-10-01,-2.4930977792,4,0
2017-10-02,6.5171450879999995,20,10
2017-10-03,5.274737049600001,11,16
2017-10-04,5.865695744,14,8
2017-10-05,3.4853256192,42,10
2017-10-06,1.7701746688000002,6,17
2017-10-07,-1.7716873216,3,0
2017-10-08,-1.7202609152000006,2,1
2017-10-09,11.903662489599999,11,10
2017-10-10,5.570873344000001,17,9
2017-10-11,9.4885214208,31,9
2017-10-12,-0.41941125119999967,41,9
2017-10-13,8.9731994624,16,4
2017-10-14,-4.1545187328,3,9
2017-10-15,-2.160932864000001,2,1
2017-10-16,4.541256089599999,18,0
2017-10-17,1.6897008640000006,24,0
2017-10-18,7.8202144768,18,11
2017-10-19,16.7798831104,6,1
2017-10-20,7.383626956800001,7,0
2017-10-21,-5.190145945600001,0,0
2017-10-22,-2.7103490048000016,14,1
2017-10-23,6.265364479999999,19,20
2017-10-24,4.094158848,32,15
2017-10-25,7.9178218496,12,19
2017-10-26,6.0581366784,22,44
2017-10-27,-0.1172951039999992,6,15
2017-10-28,-3.0039152639999998,5,0
2017-10-29,-1.6738839552000004,5,0
2017-10-30,9.912688639999999,8,11
2017-10-31,8.951934464,30,15
2017-11-01,6.0269052928,21,16
2017-11-02,1.0154673152,8,29
2017-11-03,2.9056531455999997,8,15
2017-11-04,-2.946340352,1,1
2017-11-05,-1.6370262016000008,0,0
2017-11-06,-0.14269952000000052,3,33
2017-11-07,0.9050465280000004,1,12
2017-11-08,0.7855574016000009,4,13
2017-11-09,-1.1087157247999992,4,14
2017-11-10,-0.5877923839999997,1,5
2017-11-11,3.6625909760000006,2,1
2017-11-12,-1.0135169023999997,0,0
2017-11-13,11.57114368,14,10
2017-11-14,11.318901248,10,8
2017-11-15,15.0305017856,41,12
2017-11-16,1.3481418751999996,22,11
2017-11-17,4.898146099199998,23,18
2017-11-18,-4.116538880000001,0,1
2017-11-19,-1.3546004480000011,0,0
2017-11-20,3.108614758399999,18,9
2017-11-21,6.641074176,24,21
2017-11-22,-0.29349345279999906,14,19
2017-11-23,-2.343883673599999,20,3
2017-11-24,-1.3555081215999996,8,0
2017-11-25,-0.8112836607999996,0,0
2017-11-26,-0.5619188735999998,1,0
2017-11-27,4.640511488,18,12
2017-11-28,6.701965209600001,11,15
2017-11-29,6.75738368,15,17
2017-11-30,3.1646127104,15,15
2017-12-01,5.4905919488,25,18
2017-12-02,-1.9084800000000008,7,1
2017-12-03,-1.736832000000001,5,0
2017-12-04,4.8565119999999995,13,24
2017-12-05,2.93877248,22,11
2017-12-06,3.829750272,20,18
2017-12-07,2.5922290688000005,52,11
2017-12-08,5.7240070144,39,9
2017-12-09,-1.8160605183999996,8,1
2017-12-10,-1.6459953152000006,9,0
2017-12-11,6.9986103296,35,14
2017-12-12,8.661987328,39,25
2017-12-13,7.571653017600001,69,22
2017-12-14,6.113726976000001,36,10
2017-12-15,1.0206027775999997,32,26
2017-12-16,-3.096263168,1,3
2017-12-17,-1.8080689152000007,0,0
2017-12-18,23.7705040896,11,12
2017-12-19,13.050627584,38,10
2017-12-20,3.4238184448,18,8
2017-12-21,16.7131611136,7,9
2017-12-22,-5.317673574399999,9,3
2017-12-23,-4.113432064000001,2,1
2017-12-24,-2.6102507520000016,0,3
2017-12-25,-1.901875200000001,2,5
2017-12-26,-1.5145804799999991,7,1
2017-12-27,-1.2548730879999983,10,0
2017-12-28,-0.794040217599999,16,2
2017-12-29,-0.4750766079999983,3,1
2017-12-30,-0.3031011327999991,0,1
2017-12-31,0.9750612992000001,6,0
2018-01-01,-0.19999999999999996,3,0
2018-01-02,16.92,3,6
2018-01-03,2.5520000000000005,9,6
2018-01-04,7.406399999999999,6,10
2018-01-05,14.678464,5,7
2018-01-06,-3.2796288000000002,0,2
2018-01-07,-2.972638720000002,0,1
2018-01-08,4.125106687999999,6,13
2018-01-09,15.4210436096,41,16
2018-01-10,5.842712576000001,18,18
2018-01-11,6.1856371712,10,9
2018-01-12,1.2901682175999998,4,9
2018-01-13,-3.78354176,0,1
2018-01-14,-2.2130445312000004,2,0
2018-01-15,-1.4327134208000007,11,4
2018-01-16,3.9017799679999996,31,22
2018-01-17,15.102078361600002,7,9
2018-01-18,15.508520140800002,20,11
2018-01-19,0.0030119936000003733,10,22
2018-01-20,-3.007489126400001,3,0
2018-01-21,-2.413696102400001,2,0
2018-01-22,10.423744,13,9
2018-01-23,5.4077568,13,10
2018-01-24,12.2849152,18,6
2018-01-25,14.710418944,35,9
2018-01-26,7.263077683200001,19,6
2018-01-27,-6.129472000000001,3,3
2018-01-28,-3.181773414400002,1,0
2018-01-29,3.847974809599999,22,12
2018-01-30,5.167026176,45,17
2018-01-31,13.603970867200001,58,11
2018-02-01,7.705034854400001,41,11
2018-02-02,8.7301620736,11,14
2018-02-03,-4.528830976,6,3
2018-02-04,-3.016631705600001,3,1
2018-02-05,3.112097279999999,41,11
2018-02-06,8.580602368000001,13,8
2018-02-07,8.2656495616,8,11
2018-02-08,11.6040675328,14,25
2018-02-09,0.4875779072000004,17,10
2018-02-10,-2.9337362432000003,1,0
2018-02-11,-2.4231986176000007,0,1
2018-02-12,7.4661482496,16,7
2018-02-13,15.03854592,6,16
2018-02-14,1.7425909760000007,30,13
2018-02-15,11.9992482816,21,2
2018-02-16,16.5717752832,23,5
2018-02-17,-5.153386598399999,2,0
2018-02-18,-3.895911014400002,2,0
2018-02-19,-2.4648802304000013,13,3
2018-02-20,8.179052032,19,4
2018-02-21,12.5544571904,29,13
2018-02-22,10.9035045888,26,9
2018-02-23,1.3092657152000005,6,17
2018-02-24,-4.3338927104,1,0
2018-02-25,-2.424061132800001,1,2
2018-02-26,5.488597299199999,9,2
2018-02-27,21.460096,13,3
2018-02-28,7.719682560000001,12,0
2018-03-01,5.175273984,8,0
2018-03-02,9.7445999616,2,2
2018-03-03,-5.8373755904,4,3
2018-03-04,-3.041551052800002,6,7
