,emberjs/ember.js,angular/angular,facebook/react
2018-10-18,12,14.0,4.0
2018-10-19,11,36.0,6.4
2018-10-20,4,17.0,7.32
2018-10-21,0,2.0,-0.6159999999999988
2018-10-22,2,3.0,-2.9983999999999993
2018-10-23,7,28.0,20.843392
2018-10-24,5,14.0,-8.4290688
2018-10-25,0,6.0,-4.41865984
2018-10-26,2,33.0,-2.363542528
2018-10-27,0,0.0,1.395917516799999
2018-10-28,0,0.0,-2.3560100864000004
2018-10-29,4,16.0,21.8170135552
2018-10-30,1,15.0,-6.939595775999997
2018-10-31,5,17.0,-1.482920652799999
2018-11-01,1,40.0,-1.4465250303999997
2018-11-02,1,14.0,2.596714086399999
2018-11-03,1,0.0,-3.30080768
2018-11-04,0,0.0,-1.5162767360000002
2018-11-05,4,8.0,7.9771370496
2018-11-06,3,6.0,4.6595133440000005
2018-11-07,2,7.0,9.7293771776
2018-11-08,4,10.0,-3.8914187263999986
2018-11-09,6,10.0,9.4890413056
2018-11-10,0,0.0,-5.785342873599999
2018-11-11,6,0.0,-3.9002275840000005
2018-11-12,3,9.0,-1.1236838400000004
2018-11-13,3,14.0,2.1236075519999993
2018-11-14,0,10.0,0.15847598080000003
2018-11-15,1,1.0,-1.5413901312
2018-11-16,0,10.0,-0.6133094399999999
2018-11-17,0,5.0,-1.2084657152
2018-11-18,0,0.0,-0.6610568192000001
2018-11-19,4,3.0,4.6687243264
2018-11-20,1,11.0,-0.22907955199999952
2018-11-21,3,9.0,-1.5814478847999998
2018-11-22,4,0.0,4.3020064768
2018-11-23,3,0.0,0.5920792576
2018-11-24,0,0.0,-1.0609138688000002
2018-11-25,0,0.0,-1.2675181568
2018-11-26,5,10.0,1.3422207999999998
2018-11-27,0,23.0,2.74892032
2018-11-28,9,9.0,-0.18057420799999946
2018-11-29,2,2.0,-0.6242907135999998
2018-11-30,2,56.0,1.8669465600000001
2018-12-01,0,1.0,-0.80213248
2018-12-02,0,0.0,0.8735154176
2018-12-03,0,14.0,1.6451039232000002
2018-12-04,22,12.0,0.19152793600000018
2018-12-05,39,52.0,0.43462051840000004
2018-12-06,56,31.0,0.4860837888
2018-12-07,35,16.0,0.5284690944000001
2018-12-08,32,0.0,-1.4636182528
2018-12-09,30,0.0,-0.6702849024000002
2018-12-10,16,6.0,-0.4152516608000001
2018-12-11,12,12.0,-0.2968349696000001
2018-12-12,32,10.0,1.7887225856
2018-12-13,0,16.0,1.0614247424000003
2018-12-14,10,26.0,0.8673511424000002
2018-12-15,5,0.0,-1.2239077375999998
2018-12-16,0,0.0,-0.4767963136000001
2018-12-17,5,14.0,-0.2711040000000001
2018-12-18,4,26.0,2.8109696
2018-12-19,18,7.0,-1.3425715199999997
2018-12-20,5,13.0,2.527021056
2018-12-21,5,8.0,-1.4846488575999996
2018-12-22,4,0.0,-0.5407077376000001
2018-12-23,2,0.0,-0.3074523136
2018-12-24,3,0.0,-0.19368960000000016
2018-12-25,0,0.0,0.85503232
2018-12-26,1,8.0,-0.5143567359999999
2018-12-27,1,0.0,-0.21350615039999998
2018-12-28,1,0.0,-0.10946713599999998
2018-12-29,0,0.0,-0.07999447040000005
2018-12-30,0,0.0,-0.029952000000000017
2018-12-31,0,0.0,-0.022963200000000007
2019-01-01,0,0.0,-0.018370559999999994
2019-01-02,7,0.0,0.984844288
2019-01-03,0,16.0,-0.4127981567999999
2019-01-04,7,14.0,-0.12
2019-01-05,4,3.0,-0.064
2019-01-06,0,3.0,-0.04160000000000005
2019-01-07,3,31.0,0.970048
2019-01-08,3,16.0,1.5770368000000001
2019-01-09,9,34.0,0.061629440000000146
2019-01-10,1,22.0,1.2808442880000002
2019-01-11,1,36.0,-1.1023981567999999
2019-01-12,3,5.0,0.5828479999999999
2019-01-13,1,0.0,-0.6524672
2019-01-14,2,27.0,1.70255104
2019-01-15,2,22.0,4.0012359680000005
2019-01-16,7,8.0,-0.38900654079999963
2019-01-17,5,14.0,3.3645548544
2019-01-18,2,10.0,7.290727219200001
2019-01-19,0,0.0,-4.039870873599999
2019-01-20,0,0.0,-2.214042112
2019-01-21,2,0.0,8.8077407232
2019-01-22,9,43.0,-1.7978506239999996
2019-01-23,6,20.0,8.0059480064
2019-01-24,2,8.0,-1.845739007999999
2019-01-25,1,19.0,-1.8360436735999999
2019-01-26,3,0.0,-2.642238464
2019-01-27,2,0.0,1.5837747199999994
2019-01-28,1,21.0,-0.08926535680000036
2019-01-29,1,26.0,1.177728
2019-01-30,0,17.0,6.840718336
2019-01-31,4,8.0,3.4626840576000006
2019-02-01,4,6.0,-1.8831996927999999
2019-02-02,8,3.0,-2.0710976511999997
2019-02-03,3,0.0,-1.8628903936000003
2019-02-04,2,19.0,3.9345341439999997
2019-02-05,3,22.0,7.2410976256
2019-02-06,1,32.0,8.8484399104
2019-02-07,1,18.0,-5.540601958399998
2019-02-08,7,22.0,2.3574960128000004
2019-02-09,3,3.0,-2.2679829504000004
2019-02-10,1,0.0,-0.6982861824000004
2019-02-11,3,25.0,0.7391890431999997
2019-02-12,3,11.0,0.5415270400000001
2019-02-13,1,45.0,8.530425856
2019-02-14,1,29.0,11.390214144000002
2019-02-15,7,2.0,-4.862339379199998
2019-02-16,3,0.0,-1.7578541055999999
2019-02-17,2,8.0,-2.5281870848000003
2019-02-18,1,0.0,-2.232581017600001
2019-02-19,7,27.0,8.6336456704
2019-02-20,2,23.0,1.0150798336000006
2019-02-21,0,17.0,16.659284377600002
2019-02-22,2,40.0,-2.3307506687999986
2019-02-23,0,2.0,-2.8762663936
2019-02-24,4,1.0,-3.5681503232000003
2019-02-25,6,12.0,2.271505817599999
2019-02-26,0,10.0,-0.6720749568000004
2019-02-27,2,21.0,6.98597632
2019-02-28,6,19.0,8.370188800000001
2019-03-01,5,11.0,0.13617182720000098
2019-03-02,3,2.0,-6.2810124287999995
2019-03-03,6,0.0,0.34194933759999957
2019-03-04,7,17.0,0.17898926079999944
2019-03-05,2,16.0,1.3145516031999995
2019-03-06,3,19.0,1.9937356800000003
2019-03-07,7,27.0,6.5723549696
2019-03-08,13,13.0,-5.557782015999999
2019-03-09,0,2.0,2.8544345088
2019-03-10,0,0.0,-1.1941945343999998
2019-03-11,0,10.0,6.841808384
2019-03-12,1,26.0,-3.7316798463999996
2019-03-13,11,14.0,2.7634978815999998
2019-03-14,11,27.0,0.7603632128000002
2019-03-15,3,12.0,8.971332096
2019-03-16,10,0.0,-1.176928767999999
2019-03-17,6,0.0,-0.2531404799999999
2019-03-18,19,16.0,10.433239552
2019-03-19,10,19.0,-0.31419228159999957
2019-03-20,1,50.0,2.3825312768
2019-03-21,5,25.0,0.31022264320000037
2019-03-22,1,12.0,3.0299156480000002
2019-03-23,0,0.0,-5.559294771199999
2019-03-24,0,0.0,2.4892125183999996
2019-03-25,4,7.0,0.45624012800000013
2019-03-26,11,10.0,2.7118158848
2019-03-27,5,31.0,-0.00962385919999953
2019-03-28,2,12.0,1.7112382464000002
