,websockets/ws,socketio/socket.io,faye/faye
2011-12-07,24,0.0,0
2011-12-08,30,0.0,0
2011-12-09,2,0.0,0
2011-12-10,3,0.0,0
2011-12-11,6,0.0,0
2011-12-12,10,2.0,0
2011-12-13,17,-0.3999999999999999,4
2011-12-14,3,-0.16000000000000014,2
2011-12-15,7,9.904,1
2011-12-16,0,-0.0671999999999997,0
2011-12-17,0,-1.2510720000000006,0
2011-12-18,4,-0.6808576000000005,0
2011-12-19,6,-0.46585344000000023,0
2011-12-20,0,3.648664576,0
2011-12-21,5,48.9197012992,4
2011-12-22,3,12.4698752,3
2011-12-23,0,12.030269439999998,0
2011-12-24,0,-5.727868928000003,0
2011-12-25,1,-5.191082700800003,0
2011-12-26,14,-3.3793152000000015,0
2011-12-27,7,-2.5260748800000012,0
2011-12-28,3,-2.010805248000001,3
2011-12-29,0,13.335809638400002,0
2011-12-30,0,-2.3711324159999965,0
2011-12-31,0,1.7602828288000012,1
2012-01-01,12,-1.9850194943999995,0
2012-01-02,8,0.0425919487999995,0
2012-01-03,5,96.15776,0
2012-01-04,2,2.028096000000005,0
2012-01-05,6,2.3950975999999944,0
2012-01-06,0,-9.780984320000004,0
2012-01-07,0,-5.824258560000002,0
2012-01-08,0,-4.039110348800002,1
2012-01-09,0,4.885810278399998,1
2012-01-10,0,-3.0887531520000007,0
2012-01-11,0,1.0731027456000053,0
2012-01-12,1,-3.0439574527999955,0
2012-01-13,1,0.8730586112000012,3
2012-01-14,0,22.983071744,2
2012-01-15,0,-5.283366399999999,8
2012-01-16,1,41.726013439999996,1
2012-01-17,0,4.767056384000002,2
2012-01-18,0,5.440678604799998,1
2012-01-19,0,-5.6357417984000024,0
2012-01-20,0,-3.0124220416000025,0
2012-01-21,0,-2.966600704000002,2
2012-01-22,0,-2.2169509887999994,13
2012-01-23,0,-1.7640400896000001,2
2012-01-24,3,-1.2116705279999977,0
2012-01-25,0,0.9695207424000023,3
2012-01-26,8,1.1885639680000013,0
2012-01-27,0,-0.7534159871999995,0
2012-01-28,0,-0.2828570624000001,0
2012-01-29,0,-0.17566935040000006,6
2012-01-30,0,-0.11827200000000004,0
2012-01-31,2,0.9080703999999999,0
2012-02-01,0,-0.27471104,0
2012-02-02,1,-0.14262886399999997,0
2012-02-03,11,3.8982858752,0
2012-02-04,15,-0.8585387007999997,0
2012-02-05,1,-0.3455360000000003,0
2012-02-06,7,0.7875711999999999,0
2012-02-07,7,-0.35132672,0
2012-02-08,0,-0.19653171200000008,0
2012-02-09,10,1.8578154496,3
2012-02-10,1,-0.50130688,0
2012-02-11,0,-0.2430868479999999,0
2012-02-12,0,-0.16630620159999993,0
2012-02-13,0,0.91587328,3
2012-02-14,0,-0.2654597119999999,0
2012-02-15,0,4.8666730496,0
2012-02-16,0,-1.0818534399999997,0
2012-02-17,0,-0.46237542400000026,3
2012-02-18,0,-0.29047470080000015,0
2012-02-19,0,-0.18842880000000006,0
2012-02-20,0,-0.14460672000000008,0
2012-02-21,3,2.883468288,0
2012-02-22,0,4.3028970496,0
2012-02-23,1,-1.3119385599999998,0
2012-02-24,0,-0.6063467520000003,0
2012-02-25,0,-0.3408000000000002,4
2012-02-26,0,9.755392,7
2012-02-27,0,10.8110336,1
2012-02-28,3,-0.5529241600000003,1
2012-02-29,3,5.7522032639999985,3
2012-03-01,0,2.0906533888,3
2012-03-02,0,18.461493248,0
2012-03-03,0,4.378944,0
2012-03-04,0,-4.700249600000001,0
2012-03-05,0,-2.605498880000001,0
2012-03-06,0,-1.8392243199999996,0
2012-03-07,0,-1.3150784511999998,0
2012-03-08,3,6.0784918528,0
2012-03-09,0,1.8685575168000006,0
2012-03-10,0,-0.8937559039999989,0
2012-03-11,0,-1.2617334783999992,0
2012-03-12,0,1.368106496,1
2012-03-13,0,2.238848,0
2012-03-14,0,0.9612543999999998,5
2012-03-15,0,-0.9617382400000003,2
2012-03-16,0,1.439950336,0
2012-03-17,0,-0.8096350207999996,0
2012-03-18,0,-0.40893071360000005,0
2012-03-19,0,1.7453188095999999,0
2012-03-20,0,-0.5876131839999998,1
2012-03-21,4,-0.3130272768,0
2012-03-22,1,-0.20304107519999987,0
2012-03-23,5,-0.12599214079999999,0
2012-03-24,4,-0.0798474239999999,1
2012-03-25,0,2.9342036992000002,0
2012-03-26,0,-0.6338534399999999,0
2012-03-27,3,4.731224576,0
2012-03-28,0,6.8310612992,0
2012-03-29,4,-2.1008,0
2012-03-30,10,-0.9566080000000008,10
2012-03-31,0,-0.6132864000000005,1
2012-04-01,0,5.55273984,1
2012-04-02,0,4.450404864,0
2012-04-03,0,8.0345279488,0
2012-04-04,0,-2.97535232,0
2012-04-05,0,7.532951552,0
2012-04-06,1,-0.7345708031999996,1
2012-04-07,0,-0.7317888000000008,0
2012-04-08,0,-1.2714931200000008,0
2012-04-09,1,0.1294254079999999,0
2012-04-10,1,-0.8754335743999997,0
2012-04-11,1,1.4327755776000006,6
2012-04-12,5,-0.7914275839999997,0
2012-04-13,3,-0.3773716479999996,0
2012-04-14,0,-0.27946229759999963,0
2012-04-15,1,-0.1269552127999999,0
2012-04-16,0,-0.08046807040000001,0
2012-04-17,1,8.944754688,0
2012-04-18,4,-0.8463227903999995,0
2012-04-19,0,1.0512245759999996,0
2012-04-20,0,-0.9369387008000003,0
2012-04-21,0,-0.5104000000000003,0
2012-04-22,0,-0.3594240000000002,0
2012-04-23,2,3.7234048,0
2012-04-24,0,-0.023841279999999854,0
2012-04-25,0,-0.7072737279999997,0
2012-04-26,0,4.5675346944,0
2012-04-27,1,-1.2236447743999996,0
2012-04-28,1,-0.5606827008000004,0
2012-04-29,0,4.6527487999999995,0
2012-04-30,5,-1.2561356799999999,0
2012-05-01,1,1.3978424319999998,0
2012-05-02,0,7.1935908864,0
2012-05-03,0,2.9748970496,0
2012-05-04,0,-1.9356185600000002,0
2012-05-05,0,-1.0156907520000005,0
2012-05-06,0,-0.6445056000000003,0
2012-05-07,0,-0.4850841599999999,0
2012-05-08,0,-0.387310592,0
2012-05-09,0,-0.266333184,0
2012-05-10,1,1.7753260032000004,0
2012-05-11,0,-0.5716933631999993,0
2012-05-12,0,-0.22234675199999998,0
2012-05-13,0,-0.09600000000000007,0
2012-05-14,0,-0.06720000000000002,0
2012-05-15,0,-0.05107200000000003,0
2012-05-16,0,-0.04085760000000002,0
2012-05-17,0,-0.03385344000000002,0
2012-05-18,0,0.9712245760000001,0
2012-05-19,8,-0.2249387007999999,0
2012-05-20,2,-0.08000000000000007,0
2012-05-21,0,-0.048000000000000036,0
2012-05-22,0,1.9664,0
2012-05-23,0,-0.4255359999999999,0
2012-05-24,0,1.8195712,0
2012-05-25,0,-0.51292672,0
2012-05-26,0,-0.24158771200000012,0
2012-05-27,0,-0.15954135040000006,0
2012-05-28,0,-0.10805760000000005,0
2012-05-29,0,-0.08492544000000005,0
2012-05-30,0,-0.0696330239999999,0
2012-05-31,0,-0.05879214079999995,0
2012-06-01,3,-0.02877542399999988,0
2012-06-02,0,-0.02493870079999993,0
2012-06-03,0,0.0,0
2012-06-04,0,0.0,0
2012-06-05,0,2.0,9
2012-06-06,0,-0.3999999999999999,0
2012-06-07,0,-0.16000000000000014,0
2012-06-08,1,-0.09600000000000007,0
2012-06-09,3,-0.06720000000000002,0
2012-06-10,0,-0.05107200000000003,1
2012-06-11,0,-0.04085760000000002,0
2012-06-12,5,-0.03385344000000002,0
2012-06-13,4,-0.02877542399999988,0
2012-06-14,12,-0.02493870079999993,0
2012-06-15,0,0.0,0
2012-06-16,0,0.0,0
2012-06-17,0,0.0,0
2012-06-18,5,0.0,0
2012-06-19,2,0.0,0
2012-06-20,0,1.0,0
2012-06-21,0,-0.19999999999999996,0
2012-06-22,0,0.9199999999999999,0
2012-06-23,0,-0.248,0
2012-06-24,0,-0.11360000000000009,0
2012-06-25,4,-0.07353600000000005,0
2012-06-26,1,1.9459712,0
2012-06-27,0,-0.4424627199999999,0
2012-06-28,0,2.805183488,0
2012-06-29,0,3.2746039296,0
2012-06-30,0,-1.121587712,0
2012-07-01,0,-0.5275413504000004,7
2012-07-02,0,19.6663424,1
2012-07-03,3,12.75513856,0
2012-07-04,0,-5.192205824000001,0
2012-07-05,0,-2.477434060800002,0
2012-07-06,0,0.40112998399999933,0
2012-07-07,2,-1.5768788992,0
2012-07-08,1,-1.0525654016000003,0
2012-07-09,0,1.2181759999999995,0
2012-07-10,0,-1.042708479999999,0
2012-07-11,0,-0.7050501119999985,0
2012-07-12,0,2.6511634432000006,0
2012-07-13,0,-0.7010534399999999,0
2012-07-14,3,-0.3198474240000001,0
2012-07-15,0,-0.20979630080000006,7
2012-07-16,3,1.8653465599999999,0
2012-07-17,2,-0.5053834239999998,0
2012-07-18,0,-0.2462251008000001,0
2012-07-19,0,-0.1467801600000001,0
2012-07-20,0,1.889636864,0
2012-07-21,0,3.5115199488,0
2012-07-22,0,0.9991424,0
2012-07-23,0,-0.8498534400000003,0
2012-07-24,0,9.552024575999999,0
2012-07-25,0,-0.3064107007999999,0
2012-07-26,0,-0.4102016000000006,0
2012-07-27,0,4.9933593599999995,0
2012-07-28,0,-1.8493399039999998,0
2012-07-29,0,-0.9669029888000004,0
2012-07-30,0,2.3443871744,0
2012-07-31,1,1.9378004992,0
2012-08-01,0,14.808624640000001,0
2012-08-02,0,4.1230315520000005,1
2012-08-03,0,0.7343132671999992,0
2012-08-04,0,-2.484203622400001,0
2012-08-05,0,-1.4543105024000007,1
2012-08-06,0,23.01855744,0
2012-08-07,0,-2.5594920959999996,0
2012-08-08,0,0.8630268927999989,0
2012-08-09,0,-1.6767404032000002,0
2012-08-10,0,7.147281817600001,0
2012-08-11,0,-2.9429696511999994,0
2012-08-12,0,1.4808233983999992,0
2012-08-13,0,13.36472832,0
2012-08-14,0,-0.045736447999997765,0
2012-08-15,0,-1.8043872256000002,0
2012-08-16,0,-1.6365448192000005,0
2012-08-17,0,-1.0692135936000002,0
2012-08-18,0,0.23131484160000015,0
2012-08-19,0,-0.8051803135999999,0
2012-08-20,0,4.515684864,0
2012-08-21,0,-1.3893594111999987,0
2012-08-22,0,3.3048821760000004,0
2012-08-23,0,-0.12980111359999968,0
2012-08-24,0,-0.7208981504000003,0
2012-08-25,0,12.58339328,0
2012-08-26,0,-1.8989317119999995,2
2012-08-27,0,7.527153049599999,1
2012-08-28,0,-0.6831897599999999,1
2012-08-29,0,-1.7552824320000007,0
2012-08-30,0,0.9679544319999995,0
2012-08-31,0,0.8462244863999999,1
2012-09-01,0,-0.10996951040000047,0
2012-09-02,0,0.10510182400000045,0
2012-09-03,0,-0.8128873471999998,0
2012-09-04,0,11.5779158016,0
2012-09-05,0,-2.7145291775999993,0
2012-09-06,0,5.881214259199999,1
2012-09-07,0,4.915406336,0
2012-09-08,0,-1.4542696448,2
2012-09-09,0,1.5413148671999992,0
2012-09-10,0,4.4767973376,0
2012-09-11,0,0.8824580095999996,0
2012-09-12,0,1.2479938560000001,0
2012-09-13,0,-1.6654568448,0
2012-09-14,0,3.0981621759999998,1
2012-09-15,0,0.5357714432000007,0
2012-09-16,0,-1.1724341248,0
2012-09-17,0,-0.6470872064000002,0
2012-09-18,0,-0.46620088319999975,0
2012-09-19,0,-0.33810339839999975,0
2012-09-20,0,-0.21335838719999978,0
2012-09-21,0,3.8540274688,0
2012-09-22,0,-0.8914042879999996,2
2012-09-23,1,-0.39865282560000004,7
2012-09-24,1,-0.21693870080000008,1
2012-09-25,0,2.8656,3
2012-09-26,0,1.2978560000000001,1
2012-09-27,0,0.2782847999999998,0
2012-09-28,0,-0.5717068800000003,0
2012-09-29,0,-0.3343508479999999,5
2012-09-30,0,-0.24168540159999996,2
2012-10-01,2,-0.14595840000000007,0
2012-10-02,0,-0.11717376000000007,0
2012-10-03,1,-0.09744537599999985,0
2012-10-04,0,12.9168898048,0
2012-10-05,0,-2.6393264127999996,0
2012-10-06,0,-1.052469350400001,0
2012-10-07,0,0.37599999999999956,2
2012-10-08,0,8.363199999999999,0
2012-10-09,0,3.7880320000000003,0
2012-10-10,0,4.7664256,0
2012-10-11,0,-1.5656473600000007,0
2012-10-12,0,-1.562976256,0
2012-10-13,0,-1.0299543552000001,3
2012-10-14,0,6.362798079999999,0
2012-10-15,0,-1.9016529919999998,0
2012-10-16,0,15.0279433216,0
2012-10-17,0,-3.873466265599999,0
2012-10-18,0,1.2923431935999994,0
2012-10-19,0,-0.6484251648000001,0
2012-10-20,0,-1.1330709504000005,0
2012-10-21,0,26.248936959999998,0
2012-10-22,0,-5.976374783999998,0
2012-10-23,0,9.371679027199999,0
2012-10-24,0,-3.0130257919999996,0
2012-10-25,0,-2.337918566400001,1
2012-10-26,3,-1.4055618560000007,0
2012-10-27,0,-1.0545733632000003,0
2012-10-28,0,1.1904772095999996,0
2012-10-29,0,1.9408501760000016,0
2012-10-30,0,-1.3202219007999991,0
2012-10-31,0,1.4744207360000003,0
2012-11-01,0,-0.7752199167999996,0
2012-11-02,0,6.6756586496,0
2012-11-03,0,-1.6134655999999998,0
2012-11-04,0,3.2776601599999995,0
2012-11-05,0,4.733372416,0
2012-11-06,1,1.1358405632000002,0
2012-11-07,0,-1.5220134912000005,0
2012-11-08,0,-0.8341770240000004,0
2012-11-09,0,0.4088302591999998,0
2012-11-10,0,5.363554816000001,0
2012-11-11,0,1.3658268672000005,0
2012-11-12,0,-0.3483975680000002,0
2012-11-13,0,-0.9485838335999999,0
2012-11-14,0,-0.5691152383999999,0
2012-11-15,0,-0.35985285120000005,0
2012-11-16,0,-0.24970752000000013,1
2012-11-17,0,-0.20277043200000006,0
2012-11-18,0,-0.17000458239999966,0
2012-11-19,3,-0.1349059583999996,0
2012-11-20,2,1.9482042368,0
