,scala/scala,jetbrains/kotlin,apache/groovy
2019-08-22,11,47,0
2019-08-23,7,31,3
2019-08-24,1,1,0
2019-08-25,0,2,0
2019-08-26,7,6,2
2019-08-27,6,86,1
2019-08-28,9,15,0
2019-08-29,6,17,0
2019-08-30,3,91,5
2019-08-31,3,0,1
2019-09-01,1,9,1
2019-09-02,5,64,0
2019-09-03,14,51,1
2019-09-04,9,6,1
2019-09-05,0,40,0
2019-09-06,2,35,1
2019-09-07,2,2,0
2019-09-08,6,1,0
2019-09-09,9,16,1
2019-09-10,5,27,4
2019-09-11,8,25,1
2019-09-12,3,12,2
2019-09-13,3,45,1
2019-09-14,0,0,0
2019-09-15,1,1,0
2019-09-16,4,63,0
2019-09-17,3,39,2
2019-09-18,5,51,9
2019-09-19,4,17,6
2019-09-20,2,25,0
2019-09-21,1,1,1
2019-09-22,2,1,0
2019-09-23,14,30,2
2019-09-24,1,53,0
2019-09-25,21,44,0
2019-09-26,5,17,9
2019-09-27,0,66,7
2019-09-28,0,5,5
2019-09-29,0,27,4
2019-09-30,7,44,1
2019-10-01,7,33,5
2019-10-02,2,46,0
2019-10-03,4,35,1
2019-10-04,2,37,1
2019-10-05,0,6,2
2019-10-06,1,0,0
2019-10-07,0,12,4
2019-10-08,1,69,1
2019-10-09,6,25,0
2019-10-10,3,42,6
2019-10-11,3,49,22
2019-10-12,0,6,2
2019-10-13,0,3,1
2019-10-14,2,41,0
2019-10-15,6,10,1
2019-10-16,7,22,0
2019-10-17,7,50,1
2019-10-18,0,40,4
2019-10-19,2,3,0
2019-10-20,0,1,2
2019-10-21,8,71,3
2019-10-22,10,10,10
2019-10-23,8,43,3
2019-10-24,3,52,0
2019-10-25,4,23,5
2019-10-26,0,3,6
2019-10-27,3,1,4
2019-10-28,4,50,6
2019-10-29,7,87,8
2019-10-30,5,32,7
2019-10-31,4,59,4
2019-11-01,5,61,6
2019-11-02,0,0,13
2019-11-03,1,0,22
2019-11-04,0,5,6
2019-11-05,1,34,4
2019-11-06,5,29,4
