,flutter/flutter,facebook/react-native,NativeScript/NativeScript
2015-02-28,1.0,2,0
2015-03-01,-0.5,3,2
2015-03-02,1.875,11,0
2015-03-03,4.9375,15,1
2015-03-04,-0.2890625,8,10
2015-03-05,9.59765625,10,34
2015-03-06,-1.8486328125,5,8
2015-03-07,-4.49267578125,5,0
2015-03-08,-1.710357666015625,1,0
2015-03-09,1.9705352783203125,17,8
2015-03-10,4.79217529296875,16,14
2015-03-11,4.593475341796875,13,1
2015-03-12,-2.963134765625,11,20
2015-03-13,1.5499114990234375,12,4
2015-03-14,-3.989349365234375,13,0
2015-03-15,-0.4715423583984375,2,0
2015-03-16,1.63232421875,24,10
2015-03-17,3.761016845703125,19,15
2015-03-18,1.0948638916015625,21,6
2015-03-19,-0.8216400146484375,17,9
2015-03-20,3.1374359130859375,16,10
2015-03-21,-4.1226043701171875,12,1
2015-03-22,-1.4290618896484375,8,0
2015-03-23,3.186614990234375,31,12
2015-03-24,0.4341888427734375,23,38
2015-03-25,1.5825653076171875,44,5
2015-03-26,2.07269287109375,138,12
2015-03-27,-2.5342559814453125,42,6
2015-03-28,-1.7128448486328125,12,0
2015-03-29,-0.823272705078125,21,0
2015-03-30,-0.4931640625,28,14
2015-03-31,-0.3585205078125,50,10
2015-04-01,0.722747802734375,51,4
2015-04-02,-0.6861724853515625,30,3
2015-04-03,-0.250213623046875,33,11
2015-04-04,-0.1301422119140625,12,0
2015-04-05,-0.0499725341796875,2,0
2015-04-06,0.97265625,9,6
2015-04-07,1.4794921875,19,2
2015-04-08,-1.14111328125,35,12
2015-04-09,1.674407958984375,19,7
2015-04-10,-0.1749725341796875,20,0
2015-04-11,-0.85546875,11,1
2015-04-12,-0.3251953125,3,0
2015-04-13,-0.19775390625,7,1
2015-04-14,2.860931396484375,11,6
2015-04-15,-0.6054534912109375,12,2
2015-04-16,-0.949554443359375,12,7
2015-04-17,-0.35479736328125,16,5
2015-04-18,-0.214599609375,8,0
2015-04-19,-0.1320037841796875,6,0
2015-04-20,0.9111328125,14,36
2015-04-21,2.43115234375,30,2
2015-04-22,-1.680389404296875,24,18
2015-04-23,-0.4833221435546875,23,5
2015-04-24,-0.2374725341796875,17,17
2015-04-25,-0.14453125,5,0
2015-04-26,-0.1025390625,5,0
2015-04-27,1.92236328125,9,3
2015-04-28,2.938568115234375,17,7
2015-04-29,-2.3001861572265625,12,7
2015-04-30,-0.6577301025390625,18,3
2015-05-01,-0.328125,5,0
2015-05-02,-0.2109375,12,0
2015-05-03,-0.150390625,5,0
2015-05-04,0.8857421875,8,5
2015-05-05,-0.59063720703125,19,7
2015-05-06,-0.199188232421875,15,0
2015-05-07,-0.10614013671875,25,2
2015-05-08,-0.0390625,13,6
2015-05-09,-0.02734375,0,0
2015-05-10,-0.0205078125,3,0
2015-05-11,-0.01611328125,4,11
2015-05-12,0.986907958984375,0,4
2015-05-13,2.4890899658203125,50,8
2015-05-14,2.375,36,8
2015-05-15,-1.4375,21,11
2015-05-16,-1.2265625,5,0
2015-05-17,-0.51953125,2,0
2015-05-18,2.6787109375,13,11
2015-05-19,7.27392578125,2,13
2015-05-20,-4.045806884765625,9,6
2015-05-21,3.0523529052734375,6,8
2015-05-22,-3.4058990478515625,13,6
2015-05-23,-0.177825927734375,7,0
2015-05-24,-1.1700897216796875,1,0
2015-05-25,-0.58056640625,4,14
2015-05-26,4.595977783203125,14,5
2015-05-27,6.1917266845703125,9,11
2015-05-28,6.6558074951171875,25,4
2015-05-29,-5.5343780517578125,20,9
2015-05-30,-3.3284759521484375,8,0
2015-05-31,-1.501373291015625,10,1
