,grafana/grafana,netdata/netdata,cacti/cacti
2021-07-17,2.0,0,0
2021-07-18,-0.20000000000000018,1,0
2021-07-19,16.91,6,2
2021-07-20,14.242999999999999,3,0
2021-07-21,24.593674999999998,3,0
2021-07-22,19.063266499999997,4,0
2021-07-23,6.651413474999998,1,2
2021-07-24,-2.5312721425000007,0,0
2021-07-25,-2.3091463385312476,0,0
2021-07-26,16.31512750867813,2,0
2021-07-27,6.877992451234378,0,0
2021-07-28,2.0939236623890642,2,0
2021-07-29,19.728220006753126,2,0
2021-07-30,9.336042110920314,1,0
2021-07-31,-3.238745247748437,1,0
2021-08-01,-1.8153519159109366,0,0
2021-08-02,7.7546357399640655,1,0
2021-08-03,11.127842340718752,3,0
2021-08-04,23.493587017946876,4,0
2021-08-05,11.011502429562498,3,0
2021-08-06,6.3768222997265624,3,0
2021-08-07,-3.1388260749937498,1,0
2021-08-08,-1.851885945467185,0,0
2021-08-09,13.715077571250003,7,0
2021-08-10,13.479078556609377,2,0
2021-08-11,7.877988467973438,11,0
2021-08-12,9.096513209876562,4,0
2021-08-13,15.066230676331251,2,0
2021-08-14,-1.4475171681953123,1,0
2021-08-15,-0.11857421285937342,0,0
2021-08-16,9.394768106250002,5,0
2021-08-17,17.72186802726563,2,0
2021-08-18,19.55752289496094,4,1
2021-08-19,15.803267836253124,3,0
2021-08-20,6.702261308417187,1,0
2021-08-21,-3.5675615322124994,0,0
2021-08-22,-2.1998580016781224,0,0
2021-08-23,19.48135951014688,1,0
2021-08-24,15.703728139256253,4,0
2021-08-25,11.175566848042187,4,0
2021-08-26,11.291795687421875,5,0
2021-08-27,19.34301697261094,3,2
2021-08-28,-3.406767743890624,1,6
2021-08-29,-0.5474453903953105,0,2
2021-08-30,7.064765391250003,1,0
2021-08-31,13.655366260421879,2,3
2021-09-01,21.824642768198437,1,1
2021-09-02,12.693823625332811,0,0
2021-09-03,0.9629794904765614,1,0
2021-09-04,-2.8366224586484363,2,0
2021-09-05,-1.8273179263421844,1,4
2021-09-06,10.765347805182817,1,1
2021-09-07,17.813240775287504,2,2
