,emberjs/ember.js,angular/angular,facebook/react
2014-10-18,3,2.0,1
2014-10-19,11,-0.7999999999999998,1
2014-10-20,7,-0.24,6
2014-10-21,7,-0.128,5
2014-10-22,4,-0.0832000000000001,7
2014-10-23,17,-0.059904000000000034,15
2014-10-24,1,-0.04592640000000001,6
2014-10-25,11,-0.03674111999999999,0
2014-10-26,7,-0.030311423999999986,2
2014-10-27,16,6.9744036864,7
2014-10-28,14,5.200000000000001,30
2014-10-29,9,2.960000000000001,5
2014-10-30,8,-1.2079999999999993,9
2014-10-31,2,-1.8432,5
2014-11-01,12,-1.7504640000000005,1
2014-11-02,10,-1.0035584000000006,0
2014-11-03,6,-0.7107635200000002,2
2014-11-04,7,5.454747136,7
2014-11-05,11,7.1617316864000005,5
2014-11-06,11,3.993449881600001,10
2014-11-07,1,-2.3374247935999986,5
2014-11-08,7,-1.2231501824,5
2014-11-09,10,-2.3445101568,0
2014-11-10,9,-0.24369920000000067,0
2014-11-11,12,0.7377766399999999,3
2014-11-12,16,2.4256353280000003,1
2014-11-13,9,-2.4264747007999996,4
2014-11-14,14,18.984978944,0
2014-11-15,21,-7.566543667199998,6
2014-11-16,9,-3.1179730944,4
2014-11-17,37,-0.6097012736000003,19
2014-11-18,20,5.560250367999999,15
2014-11-19,10,-0.6772318207999999,9
2014-11-20,19,2.3205648384,2
2014-11-21,18,-3.2911670271999993,7
2014-11-22,8,-0.43463680000000027,0
2014-11-23,15,-0.348546048,0
2014-11-24,26,0.9902328831999998,5
2014-11-25,31,8.653600768,13
2014-11-26,23,1.3655841792000007,9
2014-11-27,9,-4.026459033599999,4
2014-11-28,15,-1.6102882304000001,1
2014-11-29,0,-0.9652285440000005,0
2014-11-30,3,-0.6285726720000004,2
2014-12-01,5,2.5259610111999997,8
2014-12-02,32,2.4354056192000004,8
2014-12-03,19,5.752623206400001,8
2014-12-04,4,1.9090841600000008,2
2014-12-05,17,0.18241105920000056,3
2014-12-06,5,2.911744,1
2014-12-07,6,-3.7854976,3
2014-12-08,14,14.387819519999999,5
2014-12-09,14,-6.432766975999999,1
2014-12-10,21,-1.0731689984000004,4
2014-12-11,9,1.5017735168000002,1
2014-12-12,2,3.0258190335999995,4
2014-12-13,15,-0.7764671487999997,3
2014-12-14,11,-2.7986900992,11
2014-12-15,15,-1.3639851008,4
2014-12-16,13,-0.8681963520000002,5
2014-12-17,17,2.3469678592,4
2014-12-18,18,3.4557729792000003,19
2014-12-19,11,-2.6253321215999996,5
2014-12-20,4,-0.9892385791999999,2
2014-12-21,41,-0.5670560768000001,2
2014-12-22,25,-0.3362504704000003,4
2014-12-23,25,-0.2186496000000001,7
2014-12-24,27,0.83007232,1
2014-12-25,11,-0.5373199359999998,2
2014-12-26,5,-0.23417303039999995,0
2014-12-27,3,-0.12799078399999997,0
2014-12-28,5,-0.04160000000000005,0
2014-12-29,9,5.970048,5
2014-12-30,23,1.5770368000000006,3
2014-12-31,6,-2.3383705599999995,2
