,twbs/bootstrap,tailwindlabs/tailwindcss,jgthms/bulma
2017-08-20,16.0,3,0
2017-08-21,2.3999999999999986,6,4
2017-08-22,9.879999999999999,0,2
2017-08-23,1.2639999999999985,2,2
2017-08-24,-0.2395999999999996,3,2
2017-08-25,5.110982000000001,0,0
2017-08-26,1.767153300000001,0,1
2017-08-27,-0.0679189399999991,80,1
2017-08-28,3.182737319250001,28,1
2017-08-29,5.995236661112501,1,0
2017-08-30,1.7475220454343754,0,0
2017-08-31,4.990829161807813,0,0
2017-09-01,1.8259201643765626,3,13
2017-09-02,6.023143668120313,1,0
2017-09-03,1.6763554494875001,4,2
2017-09-04,12.955901006876562,0,1
2017-09-05,-0.05700201584843789,2,6
2017-09-06,12.678685484996876,5,0
2017-09-07,1.742650128201562,0,0
2017-09-08,1.3673531380484385,1,0
2017-09-09,-0.34219946551249936,2,5
2017-09-10,10.019767487532814,0,1
2017-09-11,3.1920828207015632,0,10
2017-09-12,4.484436992673438,0,0
2017-09-13,4.447806890965625,0,1
2017-09-14,-0.4905191597906242,0,0
2017-09-15,2.976102961184376,0,4
2017-09-16,-1.0387349329406241,0,0
2017-09-17,7.348218908126563,0,0
2017-09-18,-1.2794538519578122,2,9
2017-09-19,-0.7445299454734366,3,2
2017-09-20,0.528404669226563,0,0
2017-09-21,-0.436844739559374,0,0
2017-09-22,-0.27827021323124934,0,0
2017-09-23,0.8195317954015628,0,0
2017-09-24,1.7569925198562504,0,0
2017-09-25,1.662336745875,0,0
2017-09-26,20.6011471672125,0,1
2017-09-27,9.721243803749998,0,0
2017-09-28,-0.2690100630156267,0,0
2017-09-29,6.566380634964062,0,0
2017-09-30,0.26443627875000075,0,0
2017-10-01,16.738518519484376,0,0
2017-10-02,9.321148866432813,3,3
2017-10-03,43.30862039764688,2,0
2017-10-04,29.799560341599996,9,1
2017-10-05,-1.8348376519421903,6,0
2017-10-06,0.7959520485374991,5,1
2017-10-07,-3.247323826696871,5,5
2017-10-08,3.7033213711812563,0,3
2017-10-09,5.646380230646879,10,7
2017-10-10,3.4959621706656283,0,51
2017-10-11,-1.217695506649998,7,9
2017-10-12,-0.5740600289656226,3,3
2017-10-13,2.016330762378127,12,1
2017-10-14,0.20478309724218846,7,3
2017-10-15,2.4052844598203134,5,0
2017-10-16,6.30758922690625,20,3
2017-10-17,3.8517319406593753,7,4
2017-10-18,15.88163084286875,1,9
2017-10-19,37.68685458801875,10,2
2017-10-20,6.8351019831984345,10,0
2017-10-21,-3.7883132753328144,17,0
2017-10-22,28.727973703126562,0,3
2017-10-23,12.276945522167189,6,1
2017-10-24,-2.359017442467186,34,0
2017-10-25,3.136392130920314,23,0
2017-10-26,-1.6213850839453086,21,1
2017-10-27,1.0634808812640668,27,0
2017-10-28,0.3098940048750032,10,1
2017-10-29,13.811846473318752,11,0
2017-10-30,9.695602435265625,53,0
2017-10-31,11.465710532620314,94,0
2017-11-01,-1.6988165591421884,103,2
2017-11-02,-0.538958316915624,42,2
2017-11-03,6.846732208018752,45,0
2017-11-04,-1.6128973715828108,9,3
2017-11-05,-1.003479777389061,2,4
2017-11-06,14.257505819693751,38,20
2017-11-07,5.909306945773438,38,5
2017-11-08,0.1370676785999998,21,2
2017-11-09,4.76895795523125,22,1
2017-11-10,-1.3346542355515618,17,1
2017-11-11,2.181003393339064,9,0
2017-11-12,-0.9058800077874991,1,0
2017-11-13,1.4370899562500012,12,0
2017-11-14,-0.6407987902343742,6,3
2017-11-15,5.544323740335939,11,1
2017-11-16,3.14176012618125,11,1
2017-11-17,0.17498137933437485,14,0
2017-11-18,-0.5669077039656251,4,0
2017-11-19,1.6619960359531254,9,0
2017-11-20,2.544765549892188,2,0
2017-11-21,-0.5732382010312498,5,0
2017-11-22,-0.3441246825718747,3,0
2017-11-23,2.75822832440625,16,0
2017-11-24,4.506018936471875,23,0
2017-11-25,9.247162001840625,5,0
2017-11-26,-0.38057228253593856,2,0
2017-11-27,2.19309478521875,1,0
2017-11-28,1.1728346058812502,9,0
2017-11-29,1.2846086548921885,11,1
2017-11-30,-0.6564211512499993,2,1
2017-12-01,1.5591022047031258,11,0
2017-12-02,2.456187652314063,44,0
2017-12-03,-0.6518156265859372,5,0
2017-12-04,0.6226045478750004,4,17
2017-12-05,0.6875597909171878,0,0
2017-12-06,-0.3057415761390621,3,2
2017-12-07,0.8158913938968753,1,0
2017-12-08,0.7723663649281252,2,0
2017-12-09,-0.23419696478124985,0,2
2017-12-10,-0.14828140661874983,0,1
2017-12-11,0.9013852336421877,4,0
2017-12-12,1.842558740734375,2,0
2017-12-13,-0.2922459280515626,26,1
2017-12-14,-0.1511545612859375,11,1
2017-12-15,-0.09832450926562492,3,0
2017-12-16,0.9245910844484377,3,0
2017-12-17,0.8462056349640625,0,0
2017-12-18,-0.18241772125,2,0
2017-12-19,-0.10525570551562496,2,0
2017-12-20,-0.07669797856718738,0,2
2017-12-21,-0.05357695507187483,0,0
2017-12-22,1.9707212375,0,0
2017-12-23,12.77574429125,0,0
2017-12-24,4.589337990734374,2,0
2017-12-25,-1.2599671655515634,0,0
2017-12-26,8.309776147464062,0,0
2017-12-27,13.628154,2,0
2017-12-28,19.735183225,1,4
2017-12-29,-2.421494055000002,1,0
2017-12-30,9.05421074771875,0,0
2017-12-31,13.565263798225,1,0
2018-01-01,-1.1048793235609358,0,0
2018-01-02,5.043602431034376,0,0
2018-01-03,7.968511214109377,0,0
2018-01-04,-0.3562219480578106,0,0
2018-01-05,0.35894549186718927,1,0
2018-01-06,-0.27883692755624834,0,9
2018-01-07,-0.8839157107078107,0,0
2018-01-08,0.3357056338546891,1,0
2018-01-09,-0.564852765356249,0,2
2018-01-10,0.6810671163187507,0,5
2018-01-11,10.652396734592187,1,0
2018-01-12,-0.3041370563906256,1,0
2018-01-13,4.313355222646875,0,0
2018-01-14,5.081309469412499,0,0
2018-01-15,7.883603201214063,3,1
2018-01-16,5.466822924484375,0,6
2018-01-17,2.4402960637140625,0,0
2018-01-18,7.6791802657343755,0,6
2018-01-19,2.247282945542188,4,3
2018-01-20,3.5549155028390635,0,0
2018-01-21,5.626772042385938,0,0
2018-01-22,2.4191890054765635,7,0
2018-01-23,0.6479873938937508,0,0
2018-01-24,-1.0526802614328115,0,0
2018-01-25,-0.6787777860640611,2,0
2018-01-26,-0.4823623247843738,0,0
2018-01-27,-0.36725749363593635,0,0
2018-01-28,0.7560256010281257,1,0
2018-01-29,-0.2796712637890621,0,0
2018-01-30,2.8357473876859376,4,0
2018-01-31,3.618767963825,0,0
2018-02-01,-0.5724602050718753,6,0
2018-02-02,0.7183832499999998,0,1
2018-02-03,2.7108504875,0,0
2018-02-04,-0.4870939462499998,0,1
2018-02-05,0.7229786494843753,0,0
2018-02-06,-0.3004904912859373,1,0
2018-02-07,0.8038160259531255,0,0
2018-02-08,-0.25348207217031227,0,0
2018-02-09,0.8501623561062502,4,1
2018-02-10,-0.18746615176562492,0,0
2018-02-11,8.884071695917187,0,0
2018-02-12,1.0190929961421868,1,0
2018-02-13,0.35160717448437473,0,2
