,NethermindEth/nethermind,ethereum/go-ethereum,hyperledger/besu
2018-11-09,23,2,1.0
2018-11-10,19,0,-0.30000000000000004
2018-11-11,4,0,2.895
2018-11-12,33,3,2.0404999999999998
2018-11-13,17,4,3.7448375
2018-11-14,8,8,1.97677975
2018-11-15,30,8,-0.04726836249999966
2018-11-16,14,5,0.45389447625000034
2018-11-17,2,0,-1.423692554265625
2018-11-18,10,1,2.221450928017188
2018-11-19,28,3,7.560887715953125
2018-11-20,6,6,2.568944291254687
2018-11-21,0,5,2.7745348564734376
2018-11-22,39,5,-0.3018877057265623
2018-11-23,13,3,-0.46162488396249923
2018-11-24,15,0,-1.9092200974968747
2018-11-25,0,0,0.8986370897843754
2018-11-26,16,15,0.624260210953125
2018-11-27,25,3,-0.4165552580890628
2018-11-28,1,8,2.910462250310937
2018-11-29,12,9,5.215480673759375
2018-11-30,9,2,2.1136893228062497
2018-12-01,8,1,-1.6916683982296874
2018-12-02,4,2,-0.5435133489656245
2018-12-03,1,4,3.80453265646875
2018-12-04,27,4,0.7556447662531247
2018-12-05,2,1,-0.9551024257312499
2018-12-06,8,1,2.691421740954688
2018-12-07,13,3,5.0024293484593745
2018-12-08,0,0,-1.0652943627078129
2018-12-09,1,0,-1.921478619179687
2018-12-10,0,17,5.989040663751563
2018-12-11,0,7,0.20786181918906177
2018-12-12,0,2,1.8490053097890629
2018-12-13,9,3,1.7136374110359376
2018-12-14,10,7,1.6640095784546878
2018-12-15,2,0,-2.389914467790625
2018-12-16,0,0,-0.19761411366093729
2018-12-17,14,3,3.952758669784375
2018-12-18,0,4,1.8543367113906246
2018-12-19,0,0,3.7849524120734372
2018-12-20,0,2,4.169127848239063
2018-12-21,0,3,0.60779763500625
2018-12-22,0,4,-2.7423726324937494
2018-12-23,0,1,-1.3860512391812496
2018-12-24,0,0,-0.9012455355156249
2018-12-25,0,0,-0.6771730170609376
2018-12-26,0,0,-0.5270146132265628
2018-12-27,0,0,0.6245816802249996
2018-12-28,0,1,-0.5684665917562506
2018-12-29,0,2,-0.26359075969218776
2018-12-30,6,0,-0.11383365293125006
2018-12-31,5,0,0.9598375
2019-01-01,2,0,-0.32972025000000005
2019-01-02,8,2,0.8717191375000001
2019-01-03,4,6,0.62154272625
2019-01-04,7,5,2.538960783234375
2019-01-05,10,2,-0.10780366323281254
2019-01-06,3,1,0.2620566375000002
2019-01-07,2,6,6.3276599762500005
2019-01-08,0,1,2.5461346707343746
2019-01-09,0,1,3.520355200517188
2019-01-10,1,4,1.0839406719843754
2019-01-11,0,5,3.452029436251563
2019-01-12,0,0,-2.0893059497796873
2019-01-13,0,0,-0.796126517714062
2019-01-14,3,0,13.620463141251562
2019-01-15,15,7,7.616452025657812
2019-01-16,1,4,1.865681431042188
2019-01-17,0,7,4.893925613242188
2019-01-18,2,3,-3.5276896014593753
2019-01-19,0,1,-2.2857483397749996
2019-01-20,0,0,1.7217893425875
