,rust-lang/rust,JuliaLang/julia,python/cpython
2022-07-16,68,5,6
2022-07-17,77,5,6
2022-07-18,108,7,15
2022-07-19,94,8,7
2022-07-20,171,10,16
2022-07-21,111,6,5
2022-07-22,81,7,15
2022-07-23,63,6,8
2022-07-24,109,4,8
2022-07-25,112,7,17
2022-07-26,114,6,17
2022-07-27,97,3,14
2022-07-28,115,1,16
2022-07-29,97,4,10
2022-07-30,85,5,6
2022-07-31,77,0,4
2022-08-01,85,3,16
2022-08-02,96,3,5
2022-08-03,103,8,10
2022-08-04,134,4,21
2022-08-05,65,3,13
2022-08-06,72,5,8
2022-08-07,63,3,0
2022-08-08,72,3,10
2022-08-09,111,7,6
2022-08-10,97,5,7
2022-08-11,76,5,14
2022-08-12,109,4,7
2022-08-13,61,2,7
2022-08-14,57,1,3
2022-08-15,80,4,8
2022-08-16,106,4,8
2022-08-17,88,11,9
2022-08-18,104,8,13
2022-08-19,89,6,12
2022-08-20,79,5,1
2022-08-21,117,1,5
2022-08-22,133,7,5
2022-08-23,134,3,10
2022-08-24,87,5,9
2022-08-25,67,3,10
2022-08-26,112,8,10
2022-08-27,92,0,7
2022-08-28,80,2,2
2022-08-29,87,14,13
2022-08-30,100,16,19
2022-08-31,124,21,5
2022-09-01,94,17,5
2022-09-02,87,12,5
2022-09-03,53,10,5
2022-09-04,60,0,8
2022-09-05,82,6,11
2022-09-06,75,19,8
2022-09-07,74,11,11
2022-09-08,96,3,9
2022-09-09,88,2,7
2022-09-10,72,1,4
2022-09-11,54,5,3
2022-09-12,126,9,2
2022-09-13,115,11,10
2022-09-14,103,16,6
2022-09-15,75,17,6
2022-09-16,94,7,4
2022-09-17,58,7,7
2022-09-18,46,3,4
2022-09-19,70,7,8
2022-09-20,82,7,8
2022-09-21,86,11,5
2022-09-22,103,7,6
2022-09-23,99,1,4
2022-09-24,93,2,3
2022-09-25,68,1,5
2022-09-26,101,5,6
2022-09-27,140,10,4
2022-09-28,64,5,8
2022-09-29,77,14,4
2022-09-30,82,12,9
2022-10-01,104,2,3
2022-10-02,91,7,6
2022-10-03,83,11,22
2022-10-04,65,9,33
2022-10-05,65,11,27
2022-10-06,78,14,19
2022-10-07,116,15,46
2022-10-08,60,6,14
2022-10-09,83,1,3
2022-10-10,108,17,10
2022-10-11,64,0,10
2022-10-12,74,6,12
2022-10-13,68,8,3
2022-10-14,87,5,1
2022-10-15,68,5,15
2022-10-16,70,4,7
2022-10-17,77,3,11
2022-10-18,65,7,12
2022-10-19,93,5,15
2022-10-20,104,8,14
2022-10-21,78,7,8
2022-10-22,64,5,7
2022-10-23,101,2,5
2022-10-24,106,16,16
2022-10-25,92,9,18
2022-10-26,95,9,14
2022-10-27,99,9,10
2022-10-28,74,5,11
2022-10-29,109,8,8
2022-10-30,39,1,5
2022-10-31,70,4,9
2022-11-01,71,8,12
2022-11-02,72,23,18
2022-11-03,52,12,24
2022-11-04,105,9,9
2022-11-05,102,2,8
2022-11-06,69,8,14
2022-11-07,158,5,15
2022-11-08,78,15,16
2022-11-09,122,6,9
