,rust-lang/rust,JuliaLang/julia,python/cpython
2010-07-16,23.0,2,7
2010-07-17,-14.100000000000005,5,17
2010-07-18,2.1850000000000005,14,19
2010-07-19,6.5435,7,25
2010-07-20,7.277262499999999,7,7
2010-07-21,-4.882471750000002,0,19
2010-07-22,1.8928686624999997,0,5
2010-07-23,1.9236973837499978,0,49
2010-07-24,-10.879163523109376,0,17
2010-07-25,-2.6466285921921866,3,15
2010-07-26,11.631759466153126,6,16
2010-07-27,-8.998996569696876,3,21
2010-07-28,3.3100914492156255,1,20
2010-07-29,26.68378863895781,2,25
2010-07-30,-23.66307373031094,4,38
2010-07-31,-3.0380116128296866,4,54
2010-08-01,-2.5629329770187494,4,133
2010-08-02,-0.17998236624999953,5,109
2010-08-03,0.5224086332968754,10,73
2010-08-04,13.931443848339063,2,44
2010-08-05,-2.822848353470315,1,7
2010-08-06,-3.381558496259375,1,24
2010-08-07,4.5565248392,0,22
2010-08-08,-7.407387874265627,0,51
2010-08-09,15.470657443373439,7,45
2010-08-10,-6.670333139265628,2,14
2010-08-11,4.534510551092187,5,14
2010-08-12,-2.4290609352531263,8,11
2010-08-13,-3.9994518606656255,0,23
2010-08-14,-4.876773944717188,2,62
2010-08-15,-1.5546468957890618,0,30
2010-08-16,2.0789908244687503,3,35
2010-08-17,0.30432887409218745,5,48
2010-08-18,20.1451217808625,6,24
2010-08-19,-12.806391451323442,1,26
2010-08-20,16.40168873635625,3,6
2010-08-21,-16.074181640075004,1,24
2010-08-22,-3.9066030090062487,0,22
2010-08-23,-1.6730299537499993,4,18
2010-08-24,11.974990010953125,3,14
2010-08-25,6.188869244823437,0,13
2010-08-26,-1.0796525292390644,7,6
2010-08-27,2.942831001776561,8,0
2010-08-28,-9.323748469100002,13,13
2010-08-29,-4.898118205049999,4,5
2010-08-30,-1.7090840053765617,6,17
2010-08-31,3.9702161962500004,4,8
2010-09-01,-3.214560622953125,0,39
2010-09-02,-1.7583427856453122,0,11
2010-09-03,3.3149030427875004,0,39
2010-09-04,-3.1795377954875006,0,26
2010-09-05,-0.6384213855687498,4,31
2010-09-06,-0.2790959411296874,0,29
2010-09-07,3.83612744375,0,40
2010-09-08,12.084668902421875,0,25
2010-09-09,-7.006801926148441,4,20
2010-09-10,-1.6004629478765624,3,40
2010-09-11,-3.3366640470625004,1,26
2010-09-12,0.01755432849375027,1,28
2010-09-13,-0.24965819999999983,0,39
2010-09-14,3.8243424075,2,29
2010-09-15,0.07814167168749941,2,19
2010-09-16,12.394117909509376,2,8
2010-09-17,-12.03832430646094,1,16
2010-09-18,-2.0685293193031242,8,19
2010-09-19,-0.9586850298796872,0,23
2010-09-20,0.43370863698437523,0,20
2010-09-21,10.914013551607813,2,32
2010-09-22,-0.7833533067046901,0,4
2010-09-23,-3.1148506314453135,1,21
2010-09-24,3.64584214024375,1,13
2010-09-25,-6.810973936025001,4,14
2010-09-26,-1.4508818624999995,9,6
2010-09-27,2.2353441112500003,14,16
2010-09-28,2.4028191232343747,19,31
2010-09-29,-3.1721206940640627,16,29
2010-09-30,3.3711773363562503,12,3
2010-10-01,-2.0633362000750006,5,16
2010-10-02,-1.2360815156312501,8,20
2010-10-03,-1.3350016805125,10,15
2010-10-04,0.5659373212500002,7,12
2010-10-05,1.034480658453125,7,11
2010-10-06,3.3082122112921875,0,51
2010-10-07,-0.8816671448984383,0,16
2010-10-08,3.1838462082953125,4,14
2010-10-09,4.133857223335937,5,12
2010-10-10,-5.263569960018751,10,17
2010-10-11,-0.8229278066265624,9,4
2010-10-12,8.683731348234375,4,18
2010-10-13,-1.444780097657814,3,45
2010-10-14,1.49504981416875,1,61
2010-10-15,-5.142009994679688,1,43
2010-10-16,-2.0521230229734373,4,30
2010-10-17,-1.7928814156499997,10,89
2010-10-18,8.250346525579687,1,30
2010-10-19,-1.7523785730343766,1,17
2010-10-20,-0.7634158864250002,0,17
2010-10-21,11.031044410998437,0,18
2010-10-22,0.4850019157390584,1,13
2010-10-23,-2.5152226552937513,19,14
2010-10-24,-7.864208110018751,15,17
2010-10-25,-1.999691454126562,4,11
2010-10-26,3.9002875003593758,8,9
2010-10-27,-2.230363787217188,3,22
2010-10-28,5.588382557304688,3,19
2010-10-29,-6.383550212990626,1,55
2010-10-30,-1.315082844335937,1,37
2010-10-31,-0.6335068586437498,1,68
2010-11-01,-0.35358715551249986,9,30
2010-11-02,1.7902645812500002,3,26
2010-11-03,7.445369463671875,1,14
2010-11-04,-3.629637297914064,1,27
2010-11-05,4.793002320121875,10,48
2010-11-06,2.575296656987499,7,49
2010-11-07,-7.546497000000001,9,28
2010-11-08,0.43235752500000046,6,23
2010-11-09,-0.20071459000000003,18,33
2010-11-10,-1.1198079597812498,7,17
2010-11-11,0.6381110421062501,4,10
2010-11-12,1.0893462563140623,1,21
2010-11-13,-1.603667821504688,1,18
2010-11-14,5.694268326096875,2,6
2010-11-15,-4.308444188389064,0,1
2010-11-16,-0.6393929635312499,3,11
2010-11-17,-1.262310123034375,1,9
2010-11-18,0.5738834874812502,1,24
2010-11-19,3.0462414548421872,7,6
2010-11-20,1.9214715526999995,13,84
2010-11-21,1.9139382258546869,18,29
2010-11-22,0.9874587235140622,7,43
2010-11-23,1.761941149348437,0,14
2010-11-24,-2.0286196671421886,7,15
2010-11-25,5.883834968373437,9,9
2010-11-26,1.894190520734373,5,59
2010-11-27,-6.675336708689063,2,17
2010-11-28,-3.3218188878343744,8,7
2010-11-29,3.787269695023438,4,15
2010-11-30,1.779436450896874,5,34
2010-12-01,0.8012173803812495,4,14
2010-12-02,2.619113890301562,4,23
2010-12-03,7.150018098337499,2,54
2010-12-04,-6.308683373921877,3,64
2010-12-05,-5.731057764796875,3,23
2010-12-06,-0.6079699545031243,1,10
2010-12-07,7.400728033671875,6,20
2010-12-08,-2.0069651674765634,0,14
2010-12-09,7.0947795371468745,0,12
2010-12-10,0.3513527936156233,0,12
2010-12-11,2.0617450485187483,0,13
2010-12-12,-5.715272271600002,0,28
2010-12-13,4.039046484367187,3,14
2010-12-14,-0.8429106730156262,1,33
2010-12-15,6.244802557482812,0,36
2010-12-16,-0.8660285347171879,1,33
2010-12-17,-4.336316480570314,6,22
2010-12-18,0.22179024157500038,3,34
2010-12-19,-5.9308467256875,14,17
2010-12-20,5.390104095045313,7,6
2010-12-21,1.206709238853124,7,19
2010-12-22,-0.2293765969984385,2,9
2010-12-23,-3.6504874030890626,5,21
2010-12-24,-0.8043217938015621,13,20
2010-12-25,1.66003402990625,9,2
2010-12-26,-3.539664822476563,0,15
2010-12-27,-0.8550480660093747,2,17
2010-12-28,-0.4603450286093747,7,42
2010-12-29,0.6863054100046877,2,11
2010-12-30,6.101277576770313,0,16
