,rails/rails,django/django,pallets/flask
2014-05-06,22,5.0,0
2014-05-07,33,11.0,10
2014-05-08,22,9.0,1
2014-05-09,16,6.0,3
2014-05-10,15,5.0,0
2014-05-11,14,4.0,2
2014-05-12,63,7.0,6
2014-05-13,48,5.0,1
2014-05-14,37,7.0,1
2014-05-15,21,5.0,0
2014-05-16,26,26.0,2
2014-05-17,33,12.0,1
2014-05-18,29,8.0,0
2014-05-19,79,13.0,1
2014-05-20,105,12.0,0
2014-05-21,45,8.0,1
2014-05-22,57,11.0,0
2014-05-23,55,3.0,0
2014-05-24,28,8.0,0
2014-05-25,26,9.0,0
2014-05-26,59,2.0,0
2014-05-27,44,7.0,3
2014-05-28,54,8.0,0
2014-05-29,60,13.0,0
2014-05-30,27,3.0,2
2014-05-31,19,2.0,0
2014-06-01,26,8.0,0
2014-06-02,28,5.0,1
2014-06-03,69,7.0,0
2014-06-04,24,5.0,1
2014-06-05,29,12.0,0
2014-06-06,35,7.0,2
2014-06-07,38,13.0,0
2014-06-08,7,7.0,0
2014-06-09,20,17.0,0
2014-06-10,43,9.0,0
2014-06-11,57,10.0,0
2014-06-12,36,12.0,0
2014-06-13,61,7.0,0
2014-06-14,36,12.0,0
2014-06-15,72,12.0,1
2014-06-16,163,18.0,3
2014-06-17,29,10.0,3
2014-06-18,20,9.0,0
2014-06-19,38,4.0,0
2014-06-20,14,12.0,0
2014-06-21,4,3.0,0
2014-06-22,23,4.0,0
2014-06-23,17,13.0,0
2014-06-24,22,8.0,0
2014-06-25,7,9.0,0
2014-06-26,42,6.0,0
2014-06-27,39,2.0,0
2014-06-28,22,1.0,0
2014-06-29,23,2.0,2
2014-06-30,20,11.0,2
2014-07-01,16,7.0,1
2014-07-02,24,9.0,0
2014-07-03,21,4.0,1
2014-07-04,20,4.0,0
2014-07-05,15,5.0,1
2014-07-06,14,10.0,0
2014-07-07,12,5.0,2
2014-07-08,17,4.0,1
2014-07-09,11,6.0,0
2014-07-10,10,11.0,1
2014-07-11,19,0.0,0
2014-07-12,12,5.0,0
2014-07-13,2,2.0,0
2014-07-14,10,7.0,5
2014-07-15,45,5.0,1
2014-07-16,48,11.0,0
2014-07-17,29,0.0,0
2014-07-18,17,1.0,0
2014-07-19,12,0.0,0
2014-07-20,2,0.0,0
2014-07-21,10,9.0,0
2014-07-22,15,3.0,0
2014-07-23,12,5.0,0
2014-07-24,20,11.0,1
2014-07-25,18,10.0,0
2014-07-26,4,13.0,7
2014-07-27,4,7.0,5
2014-07-28,25,6.0,0
2014-07-29,29,14.0,0
2014-07-30,14,9.0,1
2014-07-31,51,8.0,1
2014-08-01,10,15.0,0
2014-08-02,9,6.0,0
2014-08-03,18,11.0,0
2014-08-04,11,12.0,0
2014-08-05,22,6.0,0
2014-08-06,10,1.0,0
2014-08-07,23,10.0,0
2014-08-08,25,5.0,0
2014-08-09,10,2.0,0
2014-08-10,3,3.0,0
2014-08-11,6,8.0,1
2014-08-12,18,10.0,2
2014-08-13,31,9.0,0
2014-08-14,36,15.0,1
