,rust-lang/rust,JuliaLang/julia,python/cpython
2014-07-16,28,12,20
2014-07-17,27,18,12
2014-07-18,36,23,4
2014-07-19,20,6,4
2014-07-20,17,10,3
2014-07-21,58,20,14
2014-07-22,31,17,15
2014-07-23,29,18,26
2014-07-24,48,24,30
2014-07-25,43,7,30
2014-07-26,23,15,12
2014-07-27,23,17,10
2014-07-28,23,20,10
2014-07-29,48,25,18
2014-07-30,21,21,8
2014-07-31,41,6,4
2014-08-01,29,19,7
2014-08-02,27,7,5
2014-08-03,18,9,7
2014-08-04,23,13,21
2014-08-05,23,44,16
2014-08-06,41,21,6
2014-08-07,24,34,9
2014-08-08,28,56,4
2014-08-09,28,30,13
2014-08-10,13,16,10
2014-08-11,15,37,3
2014-08-12,41,48,10
2014-08-13,50,19,2
2014-08-14,25,19,5
2014-08-15,21,15,13
2014-08-16,14,7,9
2014-08-17,24,10,19
2014-08-18,30,33,4
2014-08-19,34,24,9
2014-08-20,22,20,3
2014-08-21,36,8,2
2014-08-22,18,19,20
2014-08-23,25,5,10
2014-08-24,23,8,13
2014-08-25,16,21,8
2014-08-26,15,21,4
2014-08-27,23,24,8
2014-08-28,21,14,2
2014-08-29,30,21,9
2014-08-30,23,9,2
2014-08-31,35,1,16
2014-09-01,11,8,9
2014-09-02,21,3,5
2014-09-03,18,10,19
2014-09-04,24,11,8
2014-09-05,31,9,9
2014-09-06,19,20,15
2014-09-07,25,17,0
2014-09-08,24,9,2
2014-09-09,45,9,3
2014-09-10,25,11,8
2014-09-11,19,6,11
2014-09-12,26,18,2
2014-09-13,15,6,2
2014-09-14,35,20,9
2014-09-15,36,16,9
2014-09-16,22,18,7
2014-09-17,61,15,14
2014-09-18,30,26,12
2014-09-19,21,14,6
2014-09-20,18,23,20
2014-09-21,12,10,14
2014-09-22,43,10,10
2014-09-23,19,12,18
2014-09-24,34,24,14
2014-09-25,31,22,13
2014-09-26,21,31,10
2014-09-27,16,5,17
2014-09-28,9,20,7
2014-09-29,47,20,15
2014-09-30,37,29,45
2014-10-01,40,12,24
2014-10-02,67,11,23
2014-10-03,43,30,14
2014-10-04,22,7,29
2014-10-05,27,17,13
2014-10-06,25,11,24
2014-10-07,29,19,4
2014-10-08,23,26,10
2014-10-09,48,17,18
2014-10-10,12,11,36
