,llvm/llvm-project,golang/go,gcc-mirror/gcc
2016-04-03,30,12,2
2016-04-04,85,16,13
2016-04-05,120,29,20
2016-04-06,125,37,12
2016-04-07,133,23,7
2016-04-08,118,15,15
2016-04-09,21,8,14
2016-04-10,25,14,3
2016-04-11,102,25,7
2016-04-12,133,37,21
2016-04-13,112,28,28
2016-04-14,121,32,15
2016-04-15,108,18,21
2016-04-16,48,10,4
2016-04-17,36,6,14
2016-04-18,99,17,62
2016-04-19,122,20,33
2016-04-20,104,20,54
2016-04-21,146,28,45
2016-04-22,164,26,11
2016-04-23,50,5,6
2016-04-24,66,9,7
2016-04-25,121,13,15
2016-04-26,133,23,25
2016-04-27,176,40,57
2016-04-28,132,25,50
2016-04-29,165,29,37
2016-04-30,34,7,17
2016-05-01,35,19,8
2016-05-02,129,8,73
2016-05-03,124,9,29
2016-05-04,108,24,27
2016-05-05,117,21,13
2016-05-06,126,27,39
2016-05-07,42,4,6
2016-05-08,22,3,7
2016-05-09,101,11,22
2016-05-10,151,15,31
2016-05-11,100,17,18
2016-05-12,124,11,20
2016-05-13,130,5,27
2016-05-14,64,8,5
2016-05-15,34,6,2
2016-05-16,104,13,33
2016-05-17,129,6,27
2016-05-18,129,29,48
2016-05-19,125,19,34
2016-05-20,131,13,33
2016-05-21,47,3,5
2016-05-22,43,1,8
2016-05-23,116,3,24
2016-05-24,116,19,44
2016-05-25,159,19,27
2016-05-26,138,17,21
2016-05-27,135,26,22
2016-05-28,67,1,12
2016-05-29,43,4,6
2016-05-30,41,3,24
2016-05-31,111,18,26
2016-06-01,79,18,31
2016-06-02,157,22,16
2016-06-03,118,15,25
2016-06-04,57,0,7
2016-06-05,43,2,11
2016-06-06,101,4,32
2016-06-07,112,3,20
2016-06-08,126,8,30
2016-06-09,119,9,22
2016-06-10,96,5,27
2016-06-11,46,1,8
2016-06-12,32,2,4
2016-06-13,74,6,43
2016-06-14,133,8,33
2016-06-15,122,6,21
2016-06-16,119,8,36
2016-06-17,95,2,19
2016-06-18,31,0,6
2016-06-19,27,1,4
2016-06-20,89,6,28
2016-06-21,109,6,29
2016-06-22,148,5,40
2016-06-23,109,6,17
2016-06-24,119,9,18
2016-06-25,37,1,6
2016-06-26,47,2,6
2016-06-27,114,10,3
2016-06-28,113,13,19
2016-06-29,103,7,22
2016-06-30,109,9,13
2016-07-01,108,2,15
2016-07-02,46,2,3
2016-07-03,21,1,2
2016-07-04,49,4,35
2016-07-05,60,1,18
2016-07-06,118,6,33
2016-07-07,100,3,25
2016-07-08,138,7,20
2016-07-09,53,0,2
2016-07-10,29,0,2
2016-07-11,91,5,18
2016-07-12,104,4,18
2016-07-13,108,7,29
2016-07-14,150,1,29
2016-07-15,147,4,35
2016-07-16,48,3,3
2016-07-17,43,1,2
2016-07-18,151,12,14
2016-07-19,131,1,19
2016-07-20,139,5,28
2016-07-21,148,8,32
2016-07-22,126,2,27
2016-07-23,40,1,2
2016-07-24,48,1,11
2016-07-25,114,1,34
2016-07-26,106,8,23
2016-07-27,110,4,17
2016-07-28,115,2,27
2016-07-29,134,1,32
2016-07-30,34,0,8
2016-07-31,25,0,16
2016-08-01,88,1,30
2016-08-02,137,10,21
2016-08-03,106,1,28
2016-08-04,98,5,36
2016-08-05,97,4,20
2016-08-06,52,2,13
2016-08-07,27,1,8
2016-08-08,91,2,23
2016-08-09,102,4,35
2016-08-10,116,4,20
2016-08-11,128,3,25
2016-08-12,134,0,22
2016-08-13,35,0,6
2016-08-14,26,0,5
2016-08-15,100,5,20
2016-08-16,105,65,17
2016-08-17,132,29,26
2016-08-18,140,21,23
2016-08-19,148,18,24
2016-08-20,39,3,4
2016-08-21,17,18,2
2016-08-22,81,27,20
2016-08-23,97,44,23
2016-08-24,90,14,11
2016-08-25,88,19,8
2016-08-26,93,23,20
2016-08-27,39,4,6
2016-08-28,25,6,7
2016-08-29,77,20,19
2016-08-30,145,30,19
2016-08-31,135,21,19
2016-09-01,100,11,21
2016-09-02,122,12,13
2016-09-03,43,2,3
