,rust-lang/rust,golang/go,swiftlang/swift
2014-08-17,24,0,0
2014-08-18,30,9,22
2014-08-19,34,23,28
2014-08-20,22,5,29
2014-08-21,36,19,61
2014-08-22,18,10,33
2014-08-23,25,4,5
2014-08-24,23,12,0
2014-08-25,16,35,15
2014-08-26,15,11,19
2014-08-27,23,9,29
2014-08-28,21,33,51
2014-08-29,30,25,46
2014-08-30,23,16,15
2014-08-31,35,1,6
2014-09-01,11,15,14
2014-09-02,21,17,20
2014-09-03,18,14,27
2014-09-04,24,23,38
2014-09-05,31,18,17
2014-09-06,19,8,10
2014-09-07,25,10,1
2014-09-08,24,28,23
2014-09-09,45,17,24
2014-09-10,25,4,39
2014-09-11,19,11,37
2014-09-12,26,17,32
2014-09-13,15,0,5
2014-09-14,35,3,0
2014-09-15,36,12,21
2014-09-16,22,23,37
2014-09-17,61,13,47
2014-09-18,30,14,52
2014-09-19,21,22,36
2014-09-20,18,0,4
2014-09-21,12,1,9
2014-09-22,43,7,27
2014-09-23,19,5,50
2014-09-24,34,21,26
2014-09-25,31,16,20
2014-09-26,21,21,15
2014-09-27,16,1,12
2014-09-28,9,1,29
2014-09-29,47,14,26
2014-09-30,37,22,37
2014-10-01,40,12,32
2014-10-02,67,9,32
2014-10-03,43,9,25
2014-10-04,22,4,12
2014-10-05,27,1,7
2014-10-06,25,18,26
2014-10-07,29,13,25
2014-10-08,23,13,25
2014-10-09,48,11,38
2014-10-10,12,2,34
2014-10-11,25,3,11
2014-10-12,23,1,3
2014-10-13,41,5,16
2014-10-14,22,6,23
2014-10-15,28,19,44
2014-10-16,27,10,17
2014-10-17,21,9,14
2014-10-18,17,2,7
2014-10-19,16,5,3
2014-10-20,15,16,24
2014-10-21,23,7,15
2014-10-22,20,10,8
2014-10-23,21,3,22
2014-10-24,19,9,29
2014-10-25,26,1,8
2014-10-26,21,1,12
2014-10-27,53,17,20
2014-10-28,41,21,20
2014-10-29,24,22,17
2014-10-30,45,16,9
2014-10-31,37,9,19
2014-11-01,18,2,14
2014-11-02,30,1,14
2014-11-03,76,8,18
2014-11-04,24,4,14
2014-11-05,34,8,15
2014-11-06,69,14,20
2014-11-07,40,4,25
2014-11-08,18,1,16
2014-11-09,31,7,15
2014-11-10,18,13,13
2014-11-11,18,26,40
2014-11-12,32,16,35
2014-11-13,20,7,18
2014-11-14,20,21,29
2014-11-15,14,2,16
2014-11-16,42,4,6
2014-11-17,62,10,29
2014-11-18,42,11,27
2014-11-19,73,6,33
2014-11-20,38,9,38
2014-11-21,55,13,47
2014-11-22,18,4,17
2014-11-23,46,1,4
2014-11-24,25,4,11
2014-11-25,36,4,2
2014-11-26,33,0,2
2014-11-27,45,0,0
2014-11-28,11,0,4
2014-11-29,7,0,0
2014-11-30,16,0,1
2014-12-01,12,2,12
2014-12-02,18,2,22
2014-12-03,33,2,39
2014-12-04,41,2,28
2014-12-05,60,11,46
2014-12-06,17,4,15
2014-12-07,51,0,2
2014-12-08,27,13,19
2014-12-09,42,7,18
2014-12-10,20,7,15
2014-12-11,17,9,20
2014-12-12,24,12,28
2014-12-13,122,4,16
2014-12-14,79,3,11
2014-12-15,47,4,19
2014-12-16,37,9,15
2014-12-17,63,2,31
2014-12-18,41,21,24
2014-12-19,103,7,26
2014-12-20,45,8,17
2014-12-21,57,2,3
2014-12-22,62,27,19
2014-12-23,26,22,42
2014-12-24,22,5,15
2014-12-25,35,1,0
2014-12-26,30,5,3
2014-12-27,27,2,3
2014-12-28,35,7,2
2014-12-29,63,6,0
2014-12-30,126,7,0
2014-12-31,42,3,0
2015-01-01,49,6,4
2015-01-02,70,7,1
2015-01-03,61,2,0
2015-01-04,60,7,2
2015-01-05,127,11,15
2015-01-06,136,22,25
2015-01-07,78,25,12
2015-01-08,109,17,35
2015-01-09,43,8,43
2015-01-10,33,3,18
2015-01-11,48,2,10
2015-01-12,86,12,10
2015-01-13,32,8,27
2015-01-14,34,21,22
2015-01-15,91,14,28
2015-01-16,50,6,28
2015-01-17,44,2,7
2015-01-18,46,3,2
2015-01-19,43,15,34
2015-01-20,72,9,35
2015-01-21,96,30,34
2015-01-22,51,5,40
2015-01-23,28,10,33
2015-01-24,43,4,16
