,golang/go,nim-lang/Nim,rust-lang/rust
2022-07-16,0,6,68
2022-07-17,0,2,77
2022-07-18,4,7,108
2022-07-19,17,0,94
2022-07-20,4,0,171
2022-07-21,3,1,111
2022-07-22,3,1,81
2022-07-23,0,0,63
2022-07-24,2,0,109
2022-07-25,9,1,112
2022-07-26,4,4,114
2022-07-27,3,2,97
2022-07-28,11,2,115
2022-07-29,1,0,97
2022-07-30,2,0,85
2022-07-31,0,2,77
2022-08-01,6,6,85
2022-08-02,21,1,96
2022-08-03,4,4,103
2022-08-04,16,6,134
2022-08-05,6,2,65
2022-08-06,2,0,72
2022-08-07,0,2,63
2022-08-08,45,1,72
2022-08-09,32,5,111
2022-08-10,15,0,97
2022-08-11,26,3,76
2022-08-12,31,3,109
2022-08-13,0,1,61
2022-08-14,5,1,57
2022-08-15,18,4,80
2022-08-16,14,0,106
2022-08-17,37,2,88
2022-08-18,41,0,104
2022-08-19,41,5,89
2022-08-20,2,1,79
2022-08-21,0,4,117
2022-08-22,18,2,133
2022-08-23,35,15,134
2022-08-24,17,8,87
2022-08-25,14,2,67
2022-08-26,29,2,112
2022-08-27,4,2,92
2022-08-28,1,1,80
2022-08-29,21,3,87
2022-08-30,12,1,100
2022-08-31,32,4,124
2022-09-01,23,5,94
2022-09-02,51,2,87
2022-09-03,7,2,53
2022-09-04,1,3,60
2022-09-05,14,2,82
2022-09-06,39,5,75
2022-09-07,46,0,74
2022-09-08,27,4,96
2022-09-09,19,2,88
2022-09-10,0,1,72
2022-09-11,0,8,54
2022-09-12,0,1,126
2022-09-13,16,1,115
2022-09-14,9,5,103
2022-09-15,21,4,75
2022-09-16,22,4,94
2022-09-17,4,0,58
2022-09-18,1,0,46
2022-09-19,24,7,70
2022-09-20,10,4,82
2022-09-21,10,5,86
2022-09-22,5,4,103
2022-09-23,11,3,99
2022-09-24,1,1,93
2022-09-25,1,1,68
2022-09-26,23,7,101
2022-09-27,38,6,140
2022-09-28,31,12,64
2022-09-29,54,4,77
2022-09-30,24,3,82
2022-10-01,10,6,104
2022-10-02,4,3,91
2022-10-03,7,4,83
2022-10-04,15,4,65
2022-10-05,14,8,65
2022-10-06,10,7,78
2022-10-07,14,4,116
2022-10-08,4,1,60
2022-10-09,0,5,83
