,jekyll/jekyll,getpelican/pelican,middleman/middleman
2010-11-14,0.0,1.0,0
2010-11-15,0.0,7.0,0
2010-11-16,0.0,3.0,0
2010-11-17,8.0,2.0,0
2010-11-18,2.1999999999999993,2.0,0
2010-11-19,1.3399999999999994,1.0,0
2010-11-20,0.4369999999999996,8.0,0
2010-11-21,2.5592,1.0,0
2010-11-22,-0.5929214999999997,0.0,0
2010-11-23,2.6415286500000006,0.0,0
2010-11-24,-0.5666316074999997,2.0,0
2010-11-25,-0.34925586787499946,0.0,0
2010-11-26,-0.26509541433437456,1.0,0
2010-11-27,-0.15690041738906202,1.0,0
2010-11-28,-0.10799735683749968,0.0,0
2010-11-29,-0.07658982908281228,0.0,0
2010-11-30,0.9415223536421876,0.0,0
2010-12-01,0.8712950609531249,4.0,0
2010-12-02,-0.17019655760781255,1.0,0
2010-12-03,-0.07350000000000005,1.0,0
2010-12-04,-0.04916249999999994,0.0,0
2010-12-05,-0.036779249999999875,3.0,0
2010-12-06,-0.02927876249999991,2.0,0
2010-12-07,-0.024255708749999928,0.0,0
2010-12-08,-0.02066200926562494,0.0,0
2010-12-09,-0.017967165551562456,0.0,0
2010-12-10,-0.008398852535937478,2.0,0
2010-12-11,2.0,0.0,0
2010-12-12,-0.20000000000000018,2.0,0
2010-12-13,-0.09000000000000007,3.0,0
2010-12-14,4.943,4.0,0
2010-12-15,1.4586749999999997,9.0,0
2010-12-16,-0.45723350000000024,7.0,0
2010-12-17,1.741175975,5.0,0
2010-12-18,-0.38249989249999977,11.0,0
2010-12-19,1.7689546239687504,4.0,0
2010-12-20,-0.37184126757187486,5.0,0
2010-12-21,-0.21311750624999967,2.0,0
2010-12-22,-0.15926245757812477,3.0,0
2010-12-23,-0.1287799137109371,0.0,0
2010-12-24,-0.07121859757187479,0.0,2
2010-12-25,-0.04546065103124987,2.0,0
2010-12-26,-0.03898509757187489,1.0,0
2010-12-27,-0.01913662603124995,1.0,0
2010-12-28,-0.016797705071874957,0.0,0
2010-12-29,0.0,4.0,0
2010-12-30,0.0,0.0,0
2010-12-31,1.0,0.0,0
2011-01-01,-0.10000000000000009,2.0,2
2011-01-02,-0.04500000000000003,0.0,1
2011-01-03,-0.028500000000000022,0.0,0
2011-01-04,-0.020662499999999924,0.0,0
2011-01-05,-0.016116749999999947,9.0,2
2011-01-06,-0.01316201249999996,2.0,2
2011-01-07,-0.011093696249999967,0.0,0
2011-01-08,-0.009568313015624975,0.0,0
2011-01-09,-0.008398852535937478,0.0,0
2011-01-10,0.0,0.0,1
2011-01-11,0.0,1.0,0
2011-01-12,0.0,6.0,0
2011-01-13,1.0,0.0,0
2011-01-14,-0.10000000000000009,0.0,0
2011-01-15,-0.04500000000000003,0.0,0
2011-01-16,-0.028500000000000022,0.0,0
2011-01-17,-0.020662499999999924,0.0,0
2011-01-18,-0.016116749999999947,0.0,1
2011-01-19,-0.01316201249999996,2.0,0
2011-01-20,-0.011093696249999967,1.0,0
2011-01-21,-0.009568313015624975,0.0,0
2011-01-22,0.9916011474640625,0.0,2
2011-01-23,3.9,1.0,0
2011-01-24,-0.4450000000000004,7.0,0
2011-01-25,-0.20850000000000016,8.0,0
2011-01-26,-0.13466250000000002,1.0,0
2011-01-27,3.90123325,0.0,0
2011-01-28,-0.4776290125000001,0.0,0
2011-01-29,-0.24374174624999995,0.0,0
2011-01-30,-0.16794309801562493,0.0,3
2011-01-31,-0.12932210459843707,0.0,0
2011-02-01,-0.0980624101437497,8.0,0
2011-02-02,-0.05264804999999984,0.0,0
2011-02-03,-0.04437478499999987,0.0,0
2011-02-04,-0.0382732520624999,0.0,0
2011-02-05,0.9664045898562501,0.0,3
2011-02-06,-0.10000000000000009,0.0,1
2011-02-07,-0.04500000000000003,0.0,0
2011-02-08,-0.028500000000000022,0.0,0
2011-02-09,0.9793375000000001,2.0,0
2011-02-10,-0.11611675000000003,2.0,0
2011-02-11,-0.05816201249999999,2.0,2
2011-02-12,-0.03959369624999999,0.0,0
2011-02-13,-0.0302308130156249,0.0,1
2011-02-14,-0.024515602535937424,7.0,0
2011-02-15,-0.01316201249999996,12.0,0
2011-02-16,-0.011093696249999967,6.0,1
2011-02-17,-0.009568313015624975,5.0,0
2011-02-18,-0.008398852535937478,4.0,0
2011-02-19,0.0,0.0,2
2011-02-20,0.0,0.0,0
2011-02-21,0.0,0.0,4
2011-02-22,0.0,5.0,0
2011-02-23,0.0,0.0,0
2011-02-24,0.0,2.0,0
2011-02-25,0.0,0.0,0
2011-02-26,0.0,1.0,0
2011-02-27,0.0,2.0,0
2011-02-28,0.0,0.0,0
2011-03-01,0.0,0.0,0
2011-03-02,1.0,0.0,0
2011-03-03,0.8999999999999999,0.0,0
2011-03-04,-0.14500000000000013,0.0,0
2011-03-05,-0.07350000000000005,0.0,0
2011-03-06,2.9508375,0.0,0
2011-03-07,0.6632207499999998,0.0,0
2011-03-08,2.7357212375,2.0,0
2011-03-09,-0.45475570875000026,2.0,0
2011-03-10,-0.24614950926562484,0.0,0
2011-03-11,9.827520084448437,0.0,0
2011-03-12,0.8740108599640619,0.0,0
2011-03-13,0.25520664874999976,0.0,0
2011-03-14,-0.5542846727968751,0.0,0
2011-03-15,-0.37667095937343664,0.0,0
2011-03-16,-0.26809629158281173,0.0,1
2011-03-17,-0.20971268260781187,0.0,0
2011-03-18,-0.15337773749999956,0.0,0
2011-03-19,-0.13103253515624966,0.0,0
2011-03-20,-0.1142188476406247,0.0,0
2011-03-21,-0.026366018087499932,0.0,0
2011-03-22,-0.008398852535937478,0.0,0
2011-03-23,1.0,5.0,0
2011-03-24,-0.10000000000000009,0.0,0
2011-03-25,-0.04500000000000003,0.0,0
2011-03-26,-0.028500000000000022,1.0,0
2011-03-27,-0.020662499999999924,2.0,0
2011-03-28,-0.016116749999999947,0.0,0
2011-03-29,-0.01316201249999996,0.0,0
2011-03-30,-0.011093696249999967,0.0,0
2011-03-31,-0.009568313015624975,0.0,0
2011-04-01,-0.008398852535937478,0.0,0
2011-04-02,0.0,0.0,0
2011-04-03,0.0,0.0,0
2011-04-04,0.0,0.0,0
2011-04-05,0.0,0.0,0
2011-04-06,1.0,0.0,1
2011-04-07,-0.10000000000000009,0.0,0
2011-04-08,-0.04500000000000003,0.0,4
2011-04-09,-0.028500000000000022,0.0,0
2011-04-10,-0.020662499999999924,0.0,5
2011-04-11,-0.016116749999999947,0.0,0
2011-04-12,1.9868379875,0.0,0
2011-04-13,-0.21109369625000016,0.0,1
2011-04-14,-0.09956831301562505,0.0,1
2011-04-15,-0.06539885253593752,0.0,3
2011-04-16,-0.04132499999999985,0.0,2
2011-04-17,-0.032233499999999894,0.0,1
2011-04-18,-0.02632402499999992,2.0,1
2011-04-19,-0.022187392499999934,3.0,1
2011-04-20,0.98086337396875,7.0,2
2011-04-21,-0.11679770507187505,2.0,0
2011-04-22,-0.04500000000000003,0.0,1
2011-04-23,0.9715,0.0,0
2011-04-24,1.8793375,8.0,0
2011-04-25,-0.2611167500000002,9.0,4
2011-04-26,-0.13166201250000004,34.0,5
2011-04-27,-0.08875619624999993,4.0,5
2011-04-28,-0.06701006301562477,0.0,0
2011-04-29,0.9462056349640626,0.0,4
2011-04-30,-0.13741772124999999,0.0,2
2011-05-01,-0.07675570551562494,0.0,0
2011-05-02,0.9439645214328125,0.0,0
2011-05-03,-0.13746020507187495,0.0,0
2011-05-04,-0.061116749999999984,1.0,0
2011-05-05,-0.041662012499999984,0.0,0
2011-05-06,-0.03175619624999989,14.0,1
2011-05-07,-0.025685063015624923,8.0,0
2011-05-08,1.9784391349640627,7.0,1
2011-05-09,8.78890630375,0.0,0
2011-05-10,-0.9995683130156259,4.0,0
2011-05-11,-0.47039885253593783,6.0,0
2011-05-12,0.702175,0.0,1
2011-05-13,-0.31819599999999926,0.0,0
2011-05-14,0.7836252250000005,4.0,0
2011-05-15,-0.2691455049999997,2.0,0
2011-05-16,-0.18464239228124962,0.0,0
2011-05-17,-0.1475292722124997,0.0,0
2011-05-18,-0.10941418532343719,1.0,1
2011-05-19,-0.027210446249999916,4.0,2
2011-05-20,-0.022730325515624934,0.0,0
2011-05-21,-0.019492548785937445,0.0,0
2011-05-22,-0.009568313015624975,1.0,2
2011-05-23,0.9916011474640625,0.0,1
2011-05-24,-0.10000000000000009,0.0,0
2011-05-25,-0.04500000000000003,0.0,0
2011-05-26,-0.028500000000000022,0.0,0
2011-05-27,-0.020662499999999924,1.0,0
2011-05-28,-0.016116749999999947,0.0,0
2011-05-29,-0.01316201249999996,0.0,0
2011-05-30,9.98890630375,0.0,0
2011-05-31,-0.009568313015625884,2.0,3
2011-06-01,-0.5583988525359379,2.0,3
2011-06-02,-0.33000000000000024,0.0,7
2011-06-03,0.7648750000000007,1.0,0
2011-06-04,-0.28182999999999947,2.0,0
2011-06-05,2.8072631250000004,0.0,3
