,JuliaLang/julia,rust-lang/rust,python/cpython
2010-09-16,2,16,8
2010-09-17,1,0,16
2010-09-18,8,0,19
2010-09-19,0,0,23
2010-09-20,0,1,20
2010-09-21,2,12,32
2010-09-22,0,8,4
2010-09-23,1,4,21
2010-09-24,1,8,13
2010-09-25,4,0,14
2010-09-26,9,0,6
2010-09-27,14,3,16
2010-09-28,19,5,31
2010-09-29,16,1,29
2010-09-30,12,5,3
2010-10-01,5,2,16
2010-10-02,8,1,20
2010-10-03,10,0,15
2010-10-04,7,1,12
2010-10-05,7,2,11
2010-10-06,0,5,51
2010-10-07,0,3,16
2010-10-08,4,6,14
2010-10-09,5,9,12
2010-10-10,10,2,17
2010-10-11,9,2,4
2010-10-12,4,11,18
2010-10-13,3,7,45
2010-10-14,1,8,61
2010-10-15,1,2,43
2010-10-16,4,1,30
2010-10-17,10,0,89
2010-10-18,1,9,30
2010-10-19,1,5,17
2010-10-20,0,4,17
2010-10-21,0,15,18
2010-10-22,1,12,13
2010-10-23,19,8,14
2010-10-24,15,0,17
2010-10-25,4,0,11
2010-10-26,8,5,9
2010-10-27,3,2,22
2010-10-28,3,8,19
2010-10-29,1,0,55
2010-10-30,1,0,37
2010-10-31,1,0,68
2010-11-01,9,0,30
2010-11-02,3,2,26
2010-11-03,1,9,14
2010-11-04,1,3,27
2010-11-05,10,8,48
2010-11-06,7,9,49
2010-11-07,9,0,28
2010-11-08,6,2,23
2010-11-09,18,2,33
2010-11-10,7,1,17
2010-11-11,4,2,10
2010-11-12,1,3,21
2010-11-13,1,1,18
2010-11-14,2,7,6
2010-11-15,0,1,1
2010-11-16,3,1,11
2010-11-17,1,0,9
2010-11-18,1,1,24
2010-11-19,7,4,6
2010-11-20,13,5,84
2010-11-21,18,6,29
2010-11-22,7,6,43
2010-11-23,0,7,14
2010-11-24,7,4,15
2010-11-25,9,10,9
2010-11-26,5,10,59
2010-11-27,2,2,17
2010-11-28,8,0,7
2010-11-29,4,5,15
2010-11-30,5,6,34
2010-12-01,4,6,14
2010-12-02,4,8,23
2010-12-03,2,14,54
2010-12-04,3,5,64
2010-12-05,3,0,23
2010-12-06,1,1,10
2010-12-07,6,9,20
2010-12-08,0,5,14
2010-12-09,0,12,12
2010-12-10,0,10,12
2010-12-11,0,11,13
2010-12-12,0,4,28
2010-12-13,3,9,14
2010-12-14,1,7,33
2010-12-15,0,13,36
2010-12-16,1,10,33
2010-12-17,6,5,22
2010-12-18,3,6,34
2010-12-19,14,0,17
2010-12-20,7,7,6
2010-12-21,7,7,19
2010-12-22,2,6,9
2010-12-23,5,2,21
2010-12-24,13,2,20
2010-12-25,9,4,2
2010-12-26,0,0,15
2010-12-27,2,0,17
2010-12-28,7,0,42
2010-12-29,2,1,11
2010-12-30,0,7,16
2010-12-31,0,17,6
2011-01-01,1,1,15
2011-01-02,4,0,29
2011-01-03,2,9,51
2011-01-04,6,14,30
2011-01-05,21,4,31
2011-01-06,14,6,33
2011-01-07,11,5,23
2011-01-08,26,2,26
2011-01-09,5,0,25
2011-01-10,1,12,19
2011-01-11,9,5,22
2011-01-12,4,10,31
2011-01-13,7,1,10
2011-01-14,2,7,12
2011-01-15,6,2,32
2011-01-16,11,0,17
2011-01-17,2,7,21
2011-01-18,7,7,17
2011-01-19,14,5,13
2011-01-20,6,7,14
2011-01-21,6,8,8
2011-01-22,12,2,5
2011-01-23,11,0,9
2011-01-24,8,5,22
2011-01-25,6,4,14
2011-01-26,5,6,10
2011-01-27,0,11,10
2011-01-28,1,7,3
2011-01-29,5,0,17
2011-01-30,13,3,19
2011-01-31,0,4,14
2011-02-01,1,5,4
2011-02-02,10,9,10
2011-02-03,7,3,5
2011-02-04,2,2,7
2011-02-05,2,0,18
2011-02-06,1,0,3
2011-02-07,1,5,18
2011-02-08,1,1,0
2011-02-09,1,10,3
2011-02-10,2,10,4
2011-02-11,1,9,19
2011-02-12,0,0,4
2011-02-13,2,0,4
2011-02-14,1,5,5
2011-02-15,0,11,8
2011-02-16,1,7,0
2011-02-17,5,1,2
2011-02-18,1,3,3
2011-02-19,9,4,6
2011-02-20,2,0,10
2011-02-21,0,1,32
2011-02-22,0,4,29
2011-02-23,4,12,16
2011-02-24,0,8,16
2011-02-25,2,12,60
2011-02-26,2,6,40
2011-02-27,1,0,6
2011-02-28,1,2,10
2011-03-01,3,9,11
2011-03-02,5,27,10
2011-03-03,3,16,18
2011-03-04,3,12,9
2011-03-05,3,3,26
2011-03-06,1,6,42
2011-03-07,3,18,15
2011-03-08,2,17,17
2011-03-09,0,23,8
2011-03-10,1,18,21
2011-03-11,0,17,23
2011-03-12,4,4,23
2011-03-13,4,2,21
2011-03-14,4,27,69
2011-03-15,1,12,97
2011-03-16,1,15,52
2011-03-17,0,9,38
2011-03-18,0,24,4
2011-03-19,2,15,28
2011-03-20,0,13,55
2011-03-21,2,32,40
2011-03-22,2,29,32
2011-03-23,4,24,36
2011-03-24,4,17,27
2011-03-25,3,30,31
2011-03-26,0,6,53
2011-03-27,0,11,22
2011-03-28,1,8,15
2011-03-29,1,17,20
2011-03-30,1,12,14
2011-03-31,1,23,23
2011-04-01,0,26,11
2011-04-02,0,6,0
2011-04-03,0,10,21
2011-04-04,1,1,22
2011-04-05,4,8,13
2011-04-06,4,6,18
2011-04-07,2,22,14
2011-04-08,0,23,16
2011-04-09,5,3,19
2011-04-10,21,1,11
2011-04-11,20,7,23
2011-04-12,2,18,30
2011-04-13,0,15,45
2011-04-14,1,13,15
2011-04-15,4,4,37
2011-04-16,6,7,27
2011-04-17,9,8,6
2011-04-18,6,14,24
2011-04-19,0,22,24
2011-04-20,0,15,53
2011-04-21,5,9,23
2011-04-22,6,17,3
2011-04-23,10,4,6
2011-04-24,19,2,20
2011-04-25,6,8,18
2011-04-26,10,11,28
2011-04-27,3,13,32
2011-04-28,0,25,30
2011-04-29,0,23,19
2011-04-30,3,2,32
2011-05-01,3,11,29
2011-05-02,4,5,30
2011-05-03,5,27,21
2011-05-04,11,17,24
2011-05-05,10,43,29
2011-05-06,7,19,16
2011-05-07,5,3,54
2011-05-08,0,1,17
2011-05-09,8,14,54
2011-05-10,1,10,29
2011-05-11,0,36,16
2011-05-12,11,18,14
2011-05-13,3,25,16
2011-05-14,15,27,52
2011-05-15,1,3,23
2011-05-16,2,21,15
2011-05-17,5,21,17
2011-05-18,1,30,11
2011-05-19,8,32,25
2011-05-20,0,29,20
2011-05-21,3,27,23
2011-05-22,0,31,17
2011-05-23,1,8,45
2011-05-24,2,19,39
2011-05-25,1,17,38
2011-05-26,5,6,24
2011-05-27,1,39,17
2011-05-28,7,6,30
2011-05-29,4,0,36
2011-05-30,4,1,28
2011-05-31,2,26,28
2011-06-01,2,30,32
2011-06-02,2,20,7
2011-06-03,10,15,26
2011-06-04,5,19,19
2011-06-05,3,3,18
2011-06-06,10,4,27
2011-06-07,5,5,13
