,gatsbyjs/gatsby,vercel/next.js,gohugoio/hugo
2017-01-05,3,12,6
2017-01-06,2,6,6
2017-01-07,0,4,2
2017-01-08,0,5,1
2017-01-09,6,4,0
2017-01-10,0,5,1
2017-01-11,7,2,3
2017-01-12,10,10,0
2017-01-13,7,3,0
2017-01-14,0,1,1
2017-01-15,0,5,2
2017-01-16,0,15,0
2017-01-17,1,4,0
2017-01-18,3,2,4
2017-01-19,6,3,0
2017-01-20,4,12,1
2017-01-21,0,4,0
2017-01-22,1,5,1
2017-01-23,0,2,2
2017-01-24,15,2,1
2017-01-25,5,2,0
2017-01-26,0,7,1
2017-01-27,2,3,1
2017-01-28,3,3,0
2017-01-29,0,3,1
2017-01-30,0,1,0
2017-01-31,0,3,0
2017-02-01,1,2,0
2017-02-02,2,11,0
2017-02-03,3,5,2
2017-02-04,8,1,6
2017-02-05,0,4,2
2017-02-06,16,2,2
2017-02-07,15,1,1
2017-02-08,6,6,0
2017-02-09,13,14,2
2017-02-10,1,2,4
2017-02-11,0,2,1
2017-02-12,0,8,1
2017-02-13,0,3,1
2017-02-14,2,8,0
2017-02-15,0,16,1
2017-02-16,0,14,1
2017-02-17,2,8,14
2017-02-18,0,5,8
2017-02-19,0,2,8
2017-02-20,0,2,4
2017-02-21,0,4,17
2017-02-22,9,1,4
2017-02-23,0,2,3
2017-02-24,0,1,3
2017-02-25,0,3,4
2017-02-26,0,7,2
2017-02-27,6,8,6
2017-02-28,0,8,5
2017-03-01,1,3,9
2017-03-02,2,4,3
2017-03-03,1,1,1
2017-03-04,2,1,3
2017-03-05,0,3,3
2017-03-06,0,6,0
2017-03-07,1,4,1
2017-03-08,0,2,3
2017-03-09,3,0,2
2017-03-10,2,2,4
2017-03-11,2,0,4
2017-03-12,1,3,1
2017-03-13,0,5,4
2017-03-14,4,5,5
2017-03-15,4,10,3
2017-03-16,3,1,0
2017-03-17,2,0,1
2017-03-18,2,2,3
2017-03-19,0,1,5
2017-03-20,4,0,2
2017-03-21,17,1,2
2017-03-22,0,1,2
2017-03-23,3,1,0
2017-03-24,3,3,3
2017-03-25,1,2,4
2017-03-26,0,4,1
2017-03-27,7,4,51
2017-03-28,4,5,0
2017-03-29,4,5,2
2017-03-30,1,5,0
2017-03-31,0,2,5
2017-04-01,0,3,2
2017-04-02,0,1,12
2017-04-03,5,5,1
2017-04-04,1,3,11
2017-04-05,0,6,2
2017-04-06,1,12,7
2017-04-07,1,7,8
2017-04-08,0,0,6
2017-04-09,0,0,1
2017-04-10,7,2,5
2017-04-11,7,7,0
2017-04-12,3,2,6
2017-04-13,1,3,4
2017-04-14,5,1,2
2017-04-15,1,0,0
2017-04-16,0,0,3
2017-04-17,7,3,0
2017-04-18,2,7,2
2017-04-19,9,2,3
2017-04-20,2,0,0
2017-04-21,3,0,0
2017-04-22,4,12,6
2017-04-23,1,2,1
2017-04-24,10,1,9
2017-04-25,2,1,4
2017-04-26,3,2,5
2017-04-27,16,9,6
2017-04-28,6,1,1
2017-04-29,12,0,1
2017-04-30,6,5,4
2017-05-01,8,1,20
2017-05-02,16,2,7
2017-05-03,10,5,3
2017-05-04,8,6,1
2017-05-05,4,0,0
2017-05-06,9,5,3
2017-05-07,0,4,1
2017-05-08,4,4,1
2017-05-09,4,11,4
2017-05-10,2,5,2
2017-05-11,10,8,1
2017-05-12,5,1,0
2017-05-13,0,2,7
2017-05-14,0,3,1
2017-05-15,6,19,1
2017-05-16,17,11,0
2017-05-17,11,3,3
2017-05-18,2,4,10
2017-05-19,7,2,4
2017-05-20,5,2,4
2017-05-21,0,3,0
2017-05-22,8,3,10
2017-05-23,10,1,7
2017-05-24,0,0,1
2017-05-25,3,5,2
2017-05-26,8,0,8
2017-05-27,2,8,1
2017-05-28,1,0,1
2017-05-29,2,1,0
2017-05-30,8,2,6
2017-05-31,6,6,5
2017-06-01,4,5,2
2017-06-02,18,5,4
2017-06-03,12,1,6
2017-06-04,0,0,0
2017-06-05,6,8,1
2017-06-06,6,10,3
2017-06-07,8,5,2
2017-06-08,4,5,7
2017-06-09,0,6,1
2017-06-10,4,0,0
2017-06-11,1,1,1
2017-06-12,1,3,10
2017-06-13,13,3,28
2017-06-14,5,1,5
2017-06-15,15,2,0
2017-06-16,16,8,9
2017-06-17,2,0,1
2017-06-18,2,0,1
2017-06-19,5,2,4
2017-06-20,10,3,4
2017-06-21,14,3,9
2017-06-22,9,3,2
2017-06-23,11,8,2
2017-06-24,4,0,2
2017-06-25,0,1,1
2017-06-26,4,5,6
2017-06-27,10,2,6
2017-06-28,9,12,7
2017-06-29,9,7,0
2017-06-30,12,4,0
2017-07-01,16,9,2
2017-07-02,15,7,1
2017-07-03,4,5,4
2017-07-04,13,0,3
2017-07-05,2,2,4
2017-07-06,27,5,7
2017-07-07,7,3,8
2017-07-08,14,10,5
2017-07-09,12,16,0
2017-07-10,7,1,8
2017-07-11,7,1,0
2017-07-12,9,2,0
2017-07-13,12,3,0
2017-07-14,2,2,2
2017-07-15,0,4,1
2017-07-16,3,3,0
2017-07-17,0,5,2
2017-07-18,5,4,6
2017-07-19,25,0,1
2017-07-20,8,6,0
2017-07-21,0,1,8
2017-07-22,0,1,1
2017-07-23,0,2,1
2017-07-24,1,9,0
2017-07-25,14,2,0
2017-07-26,12,4,2
2017-07-27,17,2,2
2017-07-28,4,6,5
2017-07-29,0,1,1
2017-07-30,0,2,0
2017-07-31,0,1,7
2017-08-01,18,1,2
2017-08-02,19,0,1
2017-08-03,5,1,2
2017-08-04,4,0,0
2017-08-05,10,0,0
2017-08-06,0,1,3
2017-08-07,4,3,8
2017-08-08,10,1,1
2017-08-09,7,8,3
2017-08-10,14,3,8
2017-08-11,12,0,5
2017-08-12,0,1,0
2017-08-13,0,3,0
2017-08-14,20,1,2
2017-08-15,10,1,0
2017-08-16,5,6,2
2017-08-17,5,1,3
2017-08-18,7,2,3
2017-08-19,7,2,1
2017-08-20,3,0,0
2017-08-21,1,1,0
2017-08-22,7,0,2
2017-08-23,16,1,0
2017-08-24,15,3,0
2017-08-25,10,0,1
2017-08-26,0,0,0
2017-08-27,0,2,0
2017-08-28,25,2,1
2017-08-29,16,0,0
2017-08-30,10,6,0
2017-08-31,20,3,0
2017-09-01,10,3,0
2017-09-02,9,0,0
2017-09-03,5,0,1
2017-09-04,8,1,0
2017-09-05,5,2,4
2017-09-06,0,0,0
2017-09-07,3,0,1
