,electron/electron,AvaloniaUI/Avalonia,nwjs/nw.js
2022-03-05,1,7.0,2
2022-03-06,0,9.299999999999999,2
2022-03-07,7,9.684999999999999,0
2022-03-08,8,6.250499999999999,0
2022-03-09,5,4.275362499999999,0
2022-03-10,1,53.40705775,1
2022-03-11,3,12.521410912499997,0
2022-03-12,1,3.902139751249998,0
2022-03-13,0,-3.898106291109376,2
2022-03-14,2,9.438560143342192,0
2022-03-15,5,15.907529636468755,0
2022-03-16,9,5.108412502979689,0
2022-03-17,4,6.773117020368751,0
2022-03-18,1,2.899661327675002,0
2022-03-19,2,9.363933396976565,0
2022-03-20,0,0.34918208467656386,1
2022-03-21,13,36.17853198467657,2
2022-03-22,9,11.993799402562498,3
2022-03-23,10,15.645801931021875,0
2022-03-24,4,-2.5389905528234387,0
2022-03-25,5,4.186195619520316,0
2022-03-26,0,-0.6377077959531219,1
2022-03-27,0,18.04211481484688,2
2022-03-28,8,14.572034160521877,0
2022-03-29,13,7.225503461548438,14
2022-03-30,9,11.63584208236875,6
2022-03-31,3,4.598048266576563,1
2022-04-01,2,0.22614642450000177,0
2022-04-02,0,2.0259074613187518,0
2022-04-03,0,7.21305950621719,0
2022-04-04,17,20.874816114615626,0
2022-04-05,5,4.33041096875,0
2022-04-06,4,8.24936741743125,0
2022-04-07,4,4.269922819370313,0
2022-04-08,2,4.668253319085939,0
2022-04-09,0,20.876786093165627,0
2022-04-10,0,21.363239136579686,2
2022-04-11,8,13.463416908965623,0
2022-04-12,12,15.632852670317186,1
2022-04-13,8,10.405560391298438,1
2022-04-14,5,39.857520025290626,1
2022-04-15,5,25.040408519745313,0
2022-04-16,0,21.979173014889064,0
2022-04-17,0,7.980605701639062,0
2022-04-18,7,2.2367905337828162,2
2022-04-19,1,-1.4733420601796823,0
2022-04-20,4,12.70947190029063,0
2022-04-21,4,16.03886796904688,1
2022-04-22,6,0.50376354677344,0
2022-04-23,0,-0.24180440683124793,0
2022-04-24,0,-2.291896152353122,0
2022-04-25,5,1.5360549737234412,0
2022-04-26,2,7.74244991908594,0
2022-04-27,5,9.285793600665626,4
2022-04-28,4,20.895176196642186,2
2022-04-29,3,7.465810080362498,0
2022-04-30,1,-2.9319124545468753,0
2022-05-01,0,-1.6330234892265618,1
2022-05-02,5,2.85704249114219,3
2022-05-03,6,8.728696907203128,0
2022-05-04,5,18.106647429001562,0
2022-05-05,5,16.855221732754686,0
2022-05-06,8,19.29786076399531,1
2022-05-07,0,-3.339517051498439,0
2022-05-08,0,0.5755470721046887,0
2022-05-09,5,10.087920090000003,0
2022-05-10,9,29.426477035437504,0
2022-05-11,10,1.1687595346999995,0
2022-05-12,4,2.739940751828126,0
2022-05-13,2,7.294039412718751,0
2022-05-14,0,-0.734228983828122,1
2022-05-15,0,11.145321839907815,2
2022-05-16,3,8.512911953417188,0
2022-05-17,5,34.38068783120469,0
2022-05-18,2,28.67950100056875,0
2022-05-19,4,2.7962985382562477,0
2022-05-20,1,0.8336307691906244,0
2022-05-21,0,-2.155166550371872,0
2022-05-22,1,-1.2724700901406196,0
2022-05-23,10,0.22835710447500457,0
2022-05-24,4,17.405725037610942,0
2022-05-25,6,36.938195005526566,0
2022-05-26,1,13.24948723488906,0
2022-05-27,1,21.260751952887496,0
2022-05-28,0,16.832492053348435,0
2022-05-29,0,-0.1331985469453114,0
2022-05-30,3,24.44150970444844,11
2022-05-31,3,34.739760542682816,1
2022-06-01,7,21.83146776013125,1
2022-06-02,7,22.948815727442188,1
2022-06-03,3,56.80011382376563,0
2022-06-04,0,0.4275052834109374,0
2022-06-05,0,5.068239616471878,0
2022-06-06,4,2.324018934131254,1
2022-06-07,8,-2.594755739617179,0
2022-06-08,3,13.504762542118758,0
2022-06-09,3,6.76815088360938,2
2022-06-10,2,18.333904188489065,2
2022-06-11,0,3.505928582171876,0
2022-06-12,0,-1.368194460471873,0
2022-06-13,8,-1.010552979082811,0
2022-06-14,5,-1.473133589556247,0
2022-06-15,2,1.958429079931253,2
2022-06-16,3,2.9101870399125023,7
2022-06-17,2,0.814714646217189,0
2022-06-18,0,-0.8995806092390617,0
2022-06-19,0,2.437341835084376,2
2022-06-20,8,2.4145786074312503,0
2022-06-21,8,19.3933559444125,1
2022-06-22,11,25.652938508714062,0
