,d3/d3,highcharts/highcharts,plotly/plotly.js
2012-09-19,13,1,0.0
2012-09-20,3,2,1.0
2012-09-21,0,2,-0.10000000000000009
2012-09-22,2,0,-0.04500000000000003
2012-09-23,1,2,-0.028500000000000022
2012-09-24,10,1,-0.020662499999999924
2012-09-25,15,6,-0.016116749999999947
2012-09-26,24,2,1.9868379875
2012-09-27,10,1,5.78890630375
2012-09-28,8,0,0.3004316869843744
2012-09-29,12,0,-0.4353988525359378
2012-09-30,0,0,0.742675
2012-10-01,1,4,0.7152915000000004
2012-10-02,21,2,0.7113129750000003
2012-10-03,3,1,2.7092237825
2012-10-04,3,8,-0.49302331603124994
2012-10-05,16,5,-0.28558052941562473
2012-10-06,11,0,0.8045973092687503
2012-10-07,0,0,0.7892411887140628
2012-10-08,1,13,0.7728257282343751
2012-10-09,0,2,0.7579531006984376
2012-10-10,0,4,-0.24541075430156242
2012-10-11,4,7,0.8526169584171877
2012-10-12,1,3,2.7963621798921876
2012-10-13,0,1,5.59396504125
2012-10-14,0,0,-0.8134407717656256
2012-10-15,1,9,-0.41838537430156253
2012-10-16,4,6,0.7218348881984378
2012-10-17,2,6,1.6965455719484381
2012-10-18,0,0,-0.40067908628593724
2012-10-19,1,0,0.7596785232343752
2012-10-20,0,0,1.7186715309171876
2012-10-21,0,0,0.6149518142984377
2012-10-22,0,0,1.685711372284375
2012-10-23,0,0,-0.36008022125000005
2012-10-24,0,3,-0.2076974555156248
2012-10-25,2,3,0.8494065089328128
2012-10-26,0,1,1.7883428236781254
2012-10-27,1,0,1.677848781984375
2012-10-28,0,0,0.6165468001828124
2012-10-29,6,5,6.6837840894125
2012-10-30,2,7,0.11302277143281203
2012-10-31,2,8,-0.547018217571875
2012-11-01,0,4,-0.33481372124999986
2012-11-02,2,2,-0.24733398051562427
2012-11-03,1,0,0.8036353664328131
2012-11-04,0,0,-0.2552788648531247
2012-11-05,0,8,-0.16218390433749968
2012-11-06,0,1,-0.1149707398953123
2012-11-07,0,6,2.9109772192328127
2012-11-08,0,4,-0.3245156025359377
2012-11-09,0,5,10.8518379875
2012-11-10,4,0,-1.196593696250001
2012-11-11,6,0,-0.5665558130156252
2012-11-12,0,4,-0.37024910253593757
2012-11-13,5,1,-0.26677353749999905
2012-11-14,7,3,-0.21056533874999933
2012-11-15,3,1,-0.1734870765468745
2012-11-16,2,6,0.8527727836421879
2012-11-17,0,0,-0.20525144317187483
2012-11-18,13,0,-0.1373873778953123
2012-11-19,1,7,0.9715
2012-11-20,1,0,-0.1206625
2012-11-21,5,5,4.93888325
2012-11-22,0,4,-0.5416620125000005
2012-11-23,0,0,-0.25675619625000007
2012-11-24,0,0,-0.16818506301562502
2012-11-25,0,0,0.875126634964063
2012-11-26,1,6,0.8083225537500003
2012-11-27,0,6,3.779621624484375
2012-11-28,0,4,-0.5373673337859377
2012-11-29,0,5,-0.277004065078125
2012-11-30,1,7,1.8072264873203125
2012-12-01,0,0,1.6880712375000002
2012-12-02,0,0,-0.37872270874999997
2012-12-03,0,2,-0.2203100592656249
2012-12-04,2,8,-0.16066695055156222
2012-12-05,13,2,2.879769395401563
2012-12-06,9,7,1.60784706485625
2012-12-07,2,2,-0.3835114175000001
2012-12-08,2,0,2.78317598146875
2012-12-09,6,0,0.545078168896875
2012-12-10,7,4,0.6585270449281252
2012-12-11,8,3,-0.30221953749999997
2012-12-12,34,5,-0.19509261374999967
2012-12-13,28,1,-0.14840508154687465
2012-12-14,5,2,-0.12059847113906214
2012-12-15,10,0,-0.07935755632187476
2012-12-16,0,0,-0.05296064779687485
2012-12-17,3,6,-0.045858566873437374
2012-12-18,4,1,-0.017967165551562456
2012-12-19,71,5,-0.008398852535937478
2012-12-20,26,1,0.0
2012-12-21,3,1,2.0
2012-12-22,0,0,0.7999999999999998
