,apache/groovy,scala/scala,jetbrains/kotlin
2015-08-22,1,0,0
2015-08-23,0,5,10
2015-08-24,0,7,42
2015-08-25,0,0,24
2015-08-26,0,0,29
2015-08-27,5,8,40
2015-08-28,0,9,51
2015-08-29,0,2,9
2015-08-30,2,0,0
2015-08-31,4,8,81
2015-09-01,16,3,31
2015-09-02,0,18,38
2015-09-03,0,4,62
2015-09-04,0,2,54
2015-09-05,0,0,0
2015-09-06,3,3,7
2015-09-07,0,0,150
2015-09-08,3,15,153
2015-09-09,0,8,49
2015-09-10,0,3,52
2015-09-11,0,1,35
2015-09-12,0,1,10
2015-09-13,7,0,1
2015-09-14,0,9,27
2015-09-15,0,5,22
2015-09-16,0,5,18
2015-09-17,0,16,6
2015-09-18,0,13,89
2015-09-19,0,3,9
2015-09-20,0,2,0
2015-09-21,4,21,54
2015-09-22,0,9,38
2015-09-23,0,6,45
2015-09-24,0,7,28
2015-09-25,0,7,170
2015-09-26,5,0,2
2015-09-27,0,0,3
2015-09-28,36,2,19
2015-09-29,0,4,43
2015-09-30,3,8,29
2015-10-01,6,0,88
2015-10-02,0,2,30
2015-10-03,0,1,51
2015-10-04,0,0,2
2015-10-05,3,11,27
2015-10-06,0,5,26
2015-10-07,6,4,123
2015-10-08,1,8,35
2015-10-09,1,4,76
2015-10-10,3,2,9
2015-10-11,5,0,48
2015-10-12,2,1,34
2015-10-13,0,2,46
2015-10-14,0,3,84
2015-10-15,21,3,61
2015-10-16,5,2,97
2015-10-17,1,0,11
2015-10-18,5,0,12
2015-10-19,3,0,172
2015-10-20,1,9,32
2015-10-21,7,5,34
2015-10-22,4,1,41
2015-10-23,8,0,5
2015-10-24,5,0,13
2015-10-25,3,2,1
2015-10-26,1,2,70
2015-10-27,0,19,34
2015-10-28,4,2,53
2015-10-29,2,5,29
2015-10-30,1,1,58
2015-10-31,2,1,9
2015-11-01,8,0,0
2015-11-02,2,4,67
2015-11-03,3,0,40
2015-11-04,1,2,52
2015-11-05,0,3,50
2015-11-06,2,8,46
2015-11-07,1,1,0
2015-11-08,1,0,0
2015-11-09,1,0,43
2015-11-10,2,10,66
2015-11-11,0,9,47
2015-11-12,4,12,30
2015-11-13,0,11,27
2015-11-14,2,1,0
2015-11-15,3,0,0
2015-11-16,0,1,23
2015-11-17,2,2,32
2015-11-18,2,3,60
2015-11-19,3,2,42
2015-11-20,1,3,50
2015-11-21,0,0,4
2015-11-22,1,1,0
2015-11-23,0,11,32
2015-11-24,0,12,28
2015-11-25,3,6,31
2015-11-26,0,3,20
2015-11-27,0,13,56
2015-11-28,2,0,6
2015-11-29,0,0,4
2015-11-30,1,1,50
2015-12-01,2,0,44
2015-12-02,1,0,55
2015-12-03,0,0,10
2015-12-04,1,0,7
2015-12-05,1,2,1
2015-12-06,3,1,0
2015-12-07,0,0,13
2015-12-08,1,0,33
2015-12-09,1,0,54
2015-12-10,0,2,33
2015-12-11,4,3,32
2015-12-12,1,1,7
2015-12-13,1,6,6
2015-12-14,0,0,51
2015-12-15,0,7,50
2015-12-16,1,2,6
2015-12-17,1,1,53
2015-12-18,0,9,52
2015-12-19,0,0,18
2015-12-20,4,0,0
2015-12-21,2,0,20
2015-12-22,1,2,8
2015-12-23,2,0,27
2015-12-24,0,0,6
2015-12-25,1,0,38
2015-12-26,1,0,10
2015-12-27,0,0,0
2015-12-28,5,0,21
2015-12-29,2,0,37
2015-12-30,0,0,17
2015-12-31,2,1,1
2016-01-01,4,0,0
2016-01-02,0,0,0
2016-01-03,0,1,0
2016-01-04,2,3,0
2016-01-05,6,1,1
2016-01-06,5,0,0
2016-01-07,0,1,12
2016-01-08,1,0,4
2016-01-09,0,0,0
2016-01-10,0,0,0
2016-01-11,2,0,7
2016-01-12,1,2,44
2016-01-13,0,7,64
2016-01-14,1,4,56
2016-01-15,5,0,28
2016-01-16,2,1,2
2016-01-17,0,13,15
2016-01-18,0,3,23
2016-01-19,2,5,81
2016-01-20,2,4,18
2016-01-21,1,2,53
2016-01-22,0,0,111
2016-01-23,0,3,2
2016-01-24,2,3,3
2016-01-25,2,23,18
2016-01-26,3,4,37
2016-01-27,2,3,32
2016-01-28,2,3,53
2016-01-29,3,12,17
2016-01-30,1,1,3
2016-01-31,4,1,0
2016-02-01,0,10,46
2016-02-02,0,1,30
2016-02-03,4,14,30
2016-02-04,0,6,17
2016-02-05,8,2,15
2016-02-06,1,7,7
2016-02-07,0,1,1
2016-02-08,1,2,34
2016-02-09,1,5,20
2016-02-10,3,11,24
2016-02-11,3,6,23
2016-02-12,0,5,5
2016-02-13,1,4,10
2016-02-14,0,1,2
2016-02-15,9,8,11
2016-02-16,3,3,21
2016-02-17,1,11,25
2016-02-18,1,6,12
2016-02-19,0,2,17
2016-02-20,1,1,37
2016-02-21,7,1,5
2016-02-22,0,16,1
2016-02-23,2,13,2
2016-02-24,0,2,15
2016-02-25,9,4,20
2016-02-26,0,3,41
2016-02-27,0,1,15
2016-02-28,1,0,1
2016-02-29,3,0,1
2016-03-01,0,4,11
2016-03-02,2,4,55
2016-03-03,10,2,90
2016-03-04,4,9,23
2016-03-05,4,0,0
2016-03-06,4,1,0
2016-03-07,6,3,2
2016-03-08,0,1,12
2016-03-09,1,12,16
2016-03-10,1,0,22
2016-03-11,9,1,15
2016-03-12,2,0,1
2016-03-13,0,2,1
2016-03-14,1,45,28
2016-03-15,7,7,15
2016-03-16,0,5,31
2016-03-17,0,5,3
2016-03-18,2,4,25
2016-03-19,0,0,0
2016-03-20,0,1,0
2016-03-21,0,10,5
2016-03-22,2,6,4
2016-03-23,1,13,8
2016-03-24,1,0,33
2016-03-25,0,5,26
2016-03-26,0,9,0
2016-03-27,0,18,0
2016-03-28,0,3,18
2016-03-29,0,11,40
2016-03-30,0,18,73
2016-03-31,2,7,30
2016-04-01,0,4,13
2016-04-02,0,0,0
2016-04-03,3,4,1
2016-04-04,1,8,77
2016-04-05,0,0,61
2016-04-06,2,1,20
2016-04-07,0,5,7
2016-04-08,0,1,79
2016-04-09,3,1,8
2016-04-10,0,0,0
2016-04-11,0,0,10
2016-04-12,0,3,20
2016-04-13,10,9,7
2016-04-14,0,1,30
2016-04-15,0,2,30
2016-04-16,0,0,0
