,elastic/kibana,getsentry/sentry,grafana/grafana
2021-06-22,60,33.0,10
2021-06-23,62,27.400000000000002,15
2021-06-24,69,15.559999999999999,13
2021-06-25,10,4.695999999999997,6
2021-06-26,1,-7.540800000000003,1
2021-06-27,1,-4.305088000000003,2
2021-06-28,59,17.9456256,13
2021-06-29,81,24.43803904,12
2021-06-30,86,38.201473024,12
2021-07-01,48,15.302158028800001,17
2021-07-02,3,6.9457752064000005,13
2021-07-03,1,-10.795017728000001,0
2021-07-04,0,-6.047991705600003,1
2021-07-05,17,8.817518079999997,14
2021-07-06,46,32.154467328,13
2021-07-07,42,22.716058009600005,24
2021-07-08,51,15.542462361600002,15
2021-07-09,41,23.0505054208,14
2021-07-10,4,-11.142602751999998,2
2021-07-11,0,-7.1717294080000045,2
2021-07-12,33,37.354634239999996,19
2021-07-13,43,22.088157184,20
2021-07-14,39,33.0226905088,19
2021-07-15,36,21.8609543168,17
2021-07-16,35,6.2166933504,18
2021-07-17,1,-12.7494771712,2
2021-07-18,2,-7.321036288000004,0
2021-07-19,31,29.062103859199997,17
2021-07-20,38,24.370914816000003,16
2021-07-21,34,27.1503895552,27
2021-07-22,43,25.389558374400004,23
2021-07-23,4,15.484888985600001,11
2021-07-24,0,-13.154588979200001,1
2021-07-25,2,-7.806664908800005,0
2021-07-26,41,9.776043519999996,18
2021-07-27,38,20.990190592,10
2021-07-28,48,17.9530353664,5
2021-07-29,41,22.092166656,22
2021-07-30,33,10.692560384000002,13
2021-07-31,1,-10.869559807999998,0
2021-08-01,0,-5.787177574400003,0
2021-08-02,40,14.233815449599998,9
2021-08-03,46,17.522741760000002,13
2021-08-04,26,14.434677248000002,26
2021-08-05,29,15.8355580928,15
2021-08-06,5,23.189949132800002,10
2021-08-07,1,-9.7124539392,0
2021-08-08,0,-6.280177459200003,0
2021-08-09,32,0.03369983999999793,15
2021-08-10,56,-2.778282496,16
2021-08-11,46,-0.8996759551999993,11
2021-08-12,45,-1.4505721855999987,12
2021-08-13,47,-1.7883272191999982,18
2021-08-14,9,-0.13212569599999724,2
2021-08-15,4,2.1372848128000013,2
2021-08-16,61,-0.8777463807999999,11
2021-08-17,78,14.571128832,20
2021-08-18,44,13.703852646400001,23
2021-08-19,44,10.2154925056,20
2021-08-20,36,3.783636787199999,11
2021-08-21,2,-4.410682470400001,0
2021-08-22,4,-2.4594078720000017,0
2021-08-23,48,14.2678235136,21
2021-08-24,47,12.4759615488,19
2021-08-25,47,17.280174080000002,15
2021-08-26,55,24.40260864,15
2021-08-27,15,9.8262648832,23
2021-08-28,0,-8.960305664000002,1
2021-08-29,0,-4.781996953600003,2
2021-08-30,38,22.759354879999997,9
2021-08-31,44,34.323027968,16
2021-09-01,47,17.5221431296,25
2021-09-02,26,11.8988726272,17
2021-09-03,46,-9.1753362432,5
2021-09-04,0,-6.521909452800001,0
2021-09-05,1,-4.1730478080000015,0
2021-09-06,19,-2.9665843200000017,12
2021-09-07,41,25.622069248,20
2021-09-08,53,9.422348185600004,19
2021-09-09,43,15.957557043200001,23
2021-09-10,26,7.942760960000001,21
2021-09-11,0,-7.124839833600001,0
2021-09-12,1,-3.6951467008000023,1
2021-09-13,41,28.453081599999997,26
2021-09-14,41,16.85383424,18
2021-09-15,46,19.950951424,25
2021-09-16,31,9.4020917248,17
2021-09-17,6,8.624676147199999,22
2021-09-18,3,-8.7406144512,0
2021-09-19,5,-4.845602406400003,1
2021-09-20,25,27.68800768,23
2021-09-21,31,24.222857728,15
2021-09-22,39,22.8146584576,14
2021-09-23,45,16.636769792,24
2021-09-24,3,5.900353638399999,2
2021-09-25,0,-9.960781824000001,2
2021-09-26,3,-5.6748291072000026,0
2021-09-27,35,22.09449728,17
2021-09-28,39,26.755475968,18
2021-09-29,41,26.431063961600003,26
2021-09-30,32,11.592735948800001,21
2021-10-01,28,6.260517478400001,21
2021-10-02,2,-6.884525977600001,0
2021-10-03,1,-6.166157107200003,0
2021-10-04,58,23.93052928,14
2021-10-05,59,11.269989888000001,12
2021-10-06,61,35.2178436096,22
2021-10-07,51,17.405345280000002,19
2021-10-08,12,39.1797045248,15
2021-10-09,2,-17.000500736,0
2021-10-10,2,-8.476737843200006,0
2021-10-11,42,8.418883788799997,18
2021-10-12,64,26.020926464,27
2021-10-13,57,13.937163468800001,15
2021-10-14,56,14.218527744,23
2021-10-15,51,13.0707400704,15
2021-10-16,6,-10.601014886399998,1
2021-10-17,5,-5.737097420800001,0
2021-10-18,57,30.458475519999997,21
2021-10-19,80,17.484470272000003,22
2021-10-20,69,14.6838825984,27
2021-10-21,68,11.5233594368,22
2021-10-22,5,20.08393216,18
2021-10-23,1,-10.392462848,0
2021-10-24,0,-6.179315609600003,0
2021-10-25,48,15.975313919999998,15
2021-10-26,75,14.925284352000002,26
2021-10-27,33,17.515292262400003,24
2021-10-28,39,14.3728468992,18
2021-10-29,46,18.235506176,21
2021-10-30,8,-10.7408037888,0
2021-10-31,0,-5.624436224000003,0
2021-11-01,38,15.385226649599998,16
2021-11-02,70,9.455045120000001,36
2021-11-03,53,23.068689408,21
2021-11-04,44,31.181346099200002,17
2021-11-05,41,7.8501436416000026,20
2021-11-06,2,-9.6449043456,2
2021-11-07,2,-6.001865011200003,1
2021-11-08,36,14.119851519999997,16
2021-11-09,54,24.442365952000003,28
2021-11-10,43,21.9776405504,25
2021-11-11,69,17.4763227136,27
2021-11-12,8,7.207333376000001,20
2021-11-13,1,-6.9875600384,1
2021-11-14,0,-6.022778470400002,2
2021-11-15,47,27.106004889599998,26
2021-11-16,60,6.839627264000001,23
2021-11-17,35,4.9294583808,36
2021-11-18,39,10.8294132736,31
2021-11-19,40,6.3512430592000015,36
2021-11-20,1,-5.8789738495999995,2
2021-11-21,2,-3.942749593600001,0
2021-11-22,36,16.4222348288,17
2021-11-23,49,25.239531008,25
2021-11-24,45,24.684376985600004,36
2021-11-25,25,2.8052299776,16
2021-11-26,6,0.675116748799999,20
2021-11-27,2,-6.521586995200001,0
2021-11-28,1,-3.9031218176000015,0
2021-11-29,40,18.2620061696,31
2021-11-30,48,19.647421952000002,16
2021-12-01,49,21.345727590400003,25
2021-12-02,38,24.6154346496,21
2021-12-03,40,8.8686736384,14
2021-12-04,3,-10.153916313600003,0
