,python/cpython,rust-lang/rust,JuliaLang/julia
2010-07-16,7,23,2
2010-07-17,17,2,5
2010-07-18,19,6,14
2010-07-19,25,12,7
2010-07-20,7,17,7
2010-07-21,19,9,0
2010-07-22,5,11,0
2010-07-23,49,12,0
2010-07-24,17,0,0
2010-07-25,15,0,3
2010-07-26,16,13,6
2010-07-27,21,1,3
2010-07-28,20,6,1
2010-07-29,25,32,2
2010-07-30,38,0,4
2010-07-31,54,1,4
2010-08-01,133,0,4
2010-08-02,109,1,5
2010-08-03,73,2,10
2010-08-04,44,16,2
2010-08-05,7,9,1
2010-08-06,24,5,1
2010-08-07,22,10,0
2010-08-08,51,1,0
2010-08-09,45,18,7
2010-08-10,14,7,2
2010-08-11,14,12,5
2010-08-12,11,8,8
2010-08-13,23,4,0
2010-08-14,62,0,2
2010-08-15,30,0,0
2010-08-16,35,3,3
2010-08-17,48,3,5
2010-08-18,24,23,6
2010-08-19,26,4,1
2010-08-20,6,22,3
2010-08-21,24,1,1
2010-08-22,22,0,0
2010-08-23,18,0,4
2010-08-24,14,13,3
2010-08-25,13,16,0
2010-08-26,6,12,7
2010-08-27,0,14,8
2010-08-28,13,3,13
2010-08-29,5,0,4
2010-08-30,17,0,6
2010-08-31,8,5,4
2010-09-01,39,1,0
2010-09-02,11,0,0
2010-09-03,39,4,0
2010-09-04,26,0,0
2010-09-05,31,0,4
2010-09-06,29,0,0
2010-09-07,40,4,0
2010-09-08,25,15,0
2010-09-09,20,4,4
2010-09-10,40,3,3
2010-09-11,26,0,1
2010-09-12,28,1,1
2010-09-13,39,1,0
2010-09-14,29,5,2
2010-09-15,19,4,2
2010-09-16,8,16,2
2010-09-17,16,0,1
2010-09-18,19,0,8
2010-09-19,23,0,0
2010-09-20,20,1,0
2010-09-21,32,12,2
2010-09-22,4,8,0
2010-09-23,21,4,1
2010-09-24,13,8,1
2010-09-25,14,0,4
2010-09-26,6,0,9
2010-09-27,16,3,14
2010-09-28,31,5,19
2010-09-29,29,1,16
2010-09-30,3,5,12
2010-10-01,16,2,5
2010-10-02,20,1,8
2010-10-03,15,0,10
2010-10-04,12,1,7
2010-10-05,11,2,7
2010-10-06,51,5,0
2010-10-07,16,3,0
2010-10-08,14,6,4
2010-10-09,12,9,5
2010-10-10,17,2,10
2010-10-11,4,2,9
2010-10-12,18,11,4
2010-10-13,45,7,3
2010-10-14,61,8,1
2010-10-15,43,2,1
2010-10-16,30,1,4
2010-10-17,89,0,10
2010-10-18,30,9,1
2010-10-19,17,5,1
2010-10-20,17,4,0
