,JuliaLang/julia,python/cpython,rust-lang/rust
2010-06-16,1,24,1.0
2010-06-17,0,25,-0.19999999999999996
2010-06-18,1,12,-0.08000000000000007
2010-06-19,0,3,-0.048000000000000036
2010-06-20,0,7,-0.03360000000000001
2010-06-21,1,16,-0.025536000000000014
2010-06-22,2,25,-0.02042880000000001
2010-06-23,1,11,-0.01692672000000001
2010-06-24,2,16,14.985612288
2010-06-25,1,21,14.9875306496
2010-06-26,0,25,8.2
2010-06-27,1,52,-2.7600000000000016
2010-06-28,0,33,3.1919999999999984
2010-06-29,0,28,13.02816
2010-06-30,1,22,19.02112
2010-07-01,0,12,17.611212799999997
2010-07-02,1,29,44.27325696
2010-07-03,1,57,-8.149740032
2010-07-04,5,36,5.377109196799996
2010-07-05,1,26,6.0238379007999985
2010-07-06,7,14,-5.547583692800002
2010-07-07,6,20,-2.0025887744000013
2010-07-08,2,19,3.8681389056000004
2010-07-09,1,34,0.5370210304000018
2010-07-10,0,22,-3.6874767359999963
2010-07-11,0,45,1.7795611648000014
2010-07-12,0,17,7.048046899200001
2010-07-13,2,12,10.036573286400001
2010-07-14,0,30,-2.0572368896000004
2010-07-15,3,2,15.687940403199999
2010-07-16,2,7,17.974312652800002
2010-07-17,5,17,-5.0560325632
2010-07-18,14,19,2.1829191679999975
2010-07-19,7,25,8.404662272
2010-07-20,7,7,12.3512802304
2010-07-21,0,19,2.9966357504000003
2010-07-22,0,5,6.045907660799999
2010-07-23,0,49,6.9934943232
2010-07-24,0,17,-5.301423923199999
2010-07-25,3,15,-2.886788403200001
2010-07-26,6,16,11.1629007872
2010-07-27,3,21,-3.0031780863999993
2010-07-28,1,20,3.6822874112
2010-07-29,2,25,29.3231921152
2010-07-30,4,38,-7.838409625599999
2010-07-31,4,54,-2.5233833984000014
2010-08-01,4,133,-2.378342604800001
2010-08-02,5,109,-0.5488921600000007
2010-08-03,10,73,0.6083082240000002
2010-08-04,2,44,14.5546288128
2010-08-05,1,7,4.926013337600001
2010-08-06,1,24,1.2347483136000017
2010-08-07,0,22,7.0033180672
2010-08-08,0,51,-2.4554885120000005
2010-08-09,7,45,15.9787703296
2010-08-10,2,14,2.0670740480000003
2010-08-11,5,14,8.152388505599998
2010-08-12,8,11,3.3774134272000005
2010-08-13,0,23,-0.1442566143999997
2010-08-14,2,62,-3.0847067136000006
2010-08-15,0,30,-1.8768209920000003
2010-08-16,3,35,1.6460042239999997
2010-08-17,5,48,1.426231193600001
2010-08-18,6,24,21.366142668800002
2010-08-19,1,26,-1.461066956799998
2010-08-20,3,6,18.7827592192
2010-08-21,1,24,-5.158713651199999
2010-08-22,0,22,-3.1125718016000024
2010-08-23,4,18,-1.9697945600000013
2010-08-24,3,14,11.546850304
2010-08-25,0,13,12.253007052800001
2010-08-26,7,6,6.8489980928000005
2010-08-27,8,0,8.9588374528
2010-08-28,13,13,-2.3481337856
2010-08-29,4,5,-3.454281420800001
2010-08-30,6,17,-2.001819750400001
2010-08-31,4,8,3.532259839999999
2010-09-01,0,39,-1.1613173759999995
2010-09-02,0,11,-1.5580367871999992
2010-09-03,0,39,3.009577369600001
2010-09-04,0,26,-1.4178403327999987
2010-09-05,4,31,-0.6990140415999997
2010-09-06,0,29,-0.3570880512000001
2010-09-07,0,40,3.7605375999999997
2010-09-08,0,25,14.00899072
2010-09-09,4,20,0.5215503360000007
2010-09-10,3,40,0.7278237695999987
2010-09-11,1,26,-1.8319508480000006
2010-09-12,1,28,-0.08802140160000049
2010-09-13,0,39,0.056844799999999585
2010-09-14,2,29,4.14291712
2010-09-15,2,19,2.402225152
2010-09-16,2,8,14.323713638400001
2010-09-17,1,16,-4.114507263999999
2010-09-18,8,19,-1.779005337600001
2010-09-19,0,23,-1.1048435712000007
2010-09-20,0,20,0.22679756799999973
2010-09-21,2,32,11.1982181376
2010-09-22,0,4,5.0410244096
2010-09-23,1,21,1.0012748799999995
2010-09-24,1,13,5.6703192064
2010-09-25,4,14,-2.9322456063999995
2010-09-26,9,6,-1.427660800000001
