,openxla/xla,NVIDIA/Megatron-LM,alpa-projects/alpa
2021-02-22,12.0,3,2
2021-02-23,13.200000000000001,6,2
2021-02-24,3.360000000000001,0,0
2021-02-25,7.272000000000001,3,0
2021-02-26,0.9088000000000012,6,3
2021-02-27,-4.676224,1,5
2021-02-28,-3.6738944,0,3
2021-03-01,3.9827916799999996,0,0
2021-03-02,-0.7653770240000002,1,0
2021-03-03,4.0804045824,6,0
2021-03-04,-0.1768817663999993,6,3
2021-03-05,13.8293392384,3,7
2021-03-06,-7.109668351999998,0,2
2021-03-07,-1.0851696640000004,0,0
2021-03-08,1.6863870975999995,3,3
2021-03-09,3.2373640191999997,0,2
2021-03-10,5.3736735744,1,0
2021-03-11,2.9776672768,1,0
2021-03-12,-0.10061629439999997,0,0
2021-03-13,-2.0033843200000003,0,0
2021-03-14,-3.5522699264000006,0,0
2021-03-15,15.258421350399999,0,0
2021-03-16,5.016433049600001,2,0
2021-03-17,-1.104967168,2,1
2021-03-18,-1.0821144575999995,2,1
2021-03-19,3.1773040639999994,7,0
2021-03-20,-2.5592133631999996,2,0
2021-03-21,-3.6732064768000003,0,0
2021-03-22,4.061120409599999,1,0
2021-03-23,12.268233216,1,0
2021-03-24,-0.14241884159999785,3,1
2021-03-25,-1.141880422399999,0,0
2021-03-26,0.3851802624000005,1,0
2021-03-27,-4.19766016,0,0
2021-03-28,-2.0176635904000007,0,0
2021-03-29,0.7163549695999996,0,3
2021-03-30,5.273671168,1,2
2021-03-31,1.2291791872000006,2,0
2021-04-01,2.4993149952000007,1,0
2021-04-02,4.1987833856000005,3,0
2021-04-03,-4.730873344,3,0
2021-04-04,-1.8715811840000005,0,0
2021-04-05,1.8911564799999996,0,0
2021-04-06,1.0137666559999998,0,0
2021-04-07,10.8390657024,0,1
2021-04-08,14.7887053824,2,0
2021-04-09,3.421310464000001,2,0
2021-04-10,-9.364690636799999,0,0
2021-04-11,-2.825930854400001,0,0
2021-04-12,4.317022719999999,3,0
2021-04-13,8.469507583999999,0,2
2021-04-14,4.671765913600001,0,0
2021-04-15,-1.7922852863999985,0,0
2021-04-16,5.265014169600001,2,0
2021-04-17,-4.142368460799999,0,2
2021-04-18,-4.1508631552,0,1
2021-04-19,26.884704768,1,0
2021-04-20,-8.0625758208,3,0
2021-04-21,-1.5791092736000003,4,0
2021-04-22,0.7430808576000008,3,0
2021-04-23,2.9581220863999995,1,1
2021-04-24,-5.6152214528,0,0
2021-04-25,-2.5539396608000002,0,2
2021-04-26,2.4026832895999997,1,0
2021-04-27,4.241303552,0,0
2021-04-28,3.8038268928,0,1
2021-04-29,0.27030169600000065,4,0
2021-04-30,-0.8762895359999998,0,2
2021-05-01,-0.9210426368000002,0,1
2021-05-02,-1.2167020544000002,0,0
2021-05-03,9.48615936,0,0
2021-05-04,-0.29548236799999916,0,1
2021-05-05,4.023880908800001,0,0
2021-05-06,4.0229208064,0,1
2021-05-07,6.3532461056,0,0
2021-05-08,-4.098634239999999,0,0
2021-05-09,-4.0382316544000005,0,0
2021-05-10,5.9003398144,0,3
2021-05-11,1.3841626111999998,2,0
2021-05-12,6.5855844352,4,0
2021-05-13,3.6520140800000016,1,1
2021-05-14,-1.5649229823999988,13,0
2021-05-15,-3.745379635199999,4,2
2021-05-16,-2.6600626176000004,0,0
2021-05-17,2.4913898495999995,1,1
2021-05-18,4.344415744,6,0
2021-05-19,4.9036123136,9,1
2021-05-20,-0.2679753727999987,2,1
2021-05-21,2.8984471552000004,0,0
2021-05-22,-2.609138688,0,0
2021-05-23,-2.7150632960000003,0,1
2021-05-24,8.5874092032,0,0
2021-05-25,3.0351544320000006,1,1
2021-05-26,5.869702348800001,0,0
2021-05-27,0.4615122944000012,0,2
2021-05-28,-2.4134822911999994,0,0
2021-05-29,-3.583141888,0,0
2021-05-30,-1.8547465216000005,0,0
2021-05-31,-0.20567951360000047,0,0
2021-06-01,5.7144192,2,1
2021-06-02,4.378098176000001,0,0
2021-06-03,3.4294183936000007,2,0
2021-06-04,-1.9515813887999993,0,0
2021-06-05,-3.1282062336000003,0,0
2021-06-06,-1.4758216704000007,0,0
2021-06-07,4.05647104,1,0
2021-06-08,2.308128768,1,0
2021-06-09,3.8605857792000005,1,0
2021-06-10,1.8533131264000007,18,0
2021-06-11,3.9532573696,5,0
2021-06-12,-4.8736123904,0,1
2021-06-13,-1.9381704704000005,0,0
2021-06-14,3.8220671999999993,0,1
2021-06-15,8.159114240000001,0,0
2021-06-16,0.35424153600000174,0,0
2021-06-17,5.495990272,0,1
2021-06-18,12.0405141504,0,0
2021-06-19,-6.589394636799998,0,0
2021-06-20,-3.796273254400001,0,0
2021-06-21,2.1478399999999995,0,0
2021-06-22,5.224046079999999,1,1
2021-06-23,6.501505024,2,0
2021-06-24,8.8397868032,2,0
2021-06-25,-1.2818577407999996,0,0
2021-06-26,-3.8910192639999996,0,0
2021-06-27,-4.361788518400001,0,0
2021-06-28,1.7509042175999991,2,0
2021-06-29,9.8664978432,1,0
2021-06-30,10.167333888,3,1
2021-07-01,3.5194574848,0,0
2021-07-02,2.1496766463999997,3,1
2021-07-03,-8.0897358848,0,0
2021-07-04,-3.488281190400001,0,0
2021-07-05,-1.1643823104000006,4,0
2021-07-06,2.0632094719999996,1,0
2021-07-07,6.0914899968,2,0
2021-07-08,0.9405643776000012,1,1
2021-07-09,5.605730918400001,2,0
2021-07-10,-3.8254408703999996,0,1
2021-07-11,-1.0419509248,0,0
2021-07-12,1.6906086399999998,8,0
2021-07-13,4.140981248,1,0
2021-07-14,4.8327447552,2,0
2021-07-15,3.6334466048000014,0,1
2021-07-16,6.2099463168,2,0
2021-07-17,-7.178021580799999,0,0
2021-07-18,-2.8869509120000005,0,0
2021-07-19,6.297899622399999,1,1
2021-07-20,3.6097501184,2,1
2021-07-21,1.9512895488000002,2,0
2021-07-22,4.061118054400001,0,0
2021-07-23,4.243168460800001,0,1
2021-07-24,-2.3974679552,0,0
2021-07-25,-4.2440994816,0,0
2021-07-26,7.965265919999999,1,0
2021-07-27,7.629479424,2,0
2021-07-28,5.575186329600001,0,2
2021-07-29,3.8767497215999995,3,1
2021-07-30,2.8904530944000015,4,0
2021-07-31,-3.8525427711999995,0,0
2021-08-01,-5.036412416000001,0,1
2021-08-02,8.394004172799999,0,0
2021-08-03,0.8380800000000006,0,0
2021-08-04,8.544746496,0,0
2021-08-05,-1.100250214399999,0,0
2021-08-06,0.9722264575999997,0,0
2021-08-07,-3.5504449535999996,0,0
2021-08-08,-3.3340617728000006,0,0
2021-08-09,1.1874608127999995,3,1
2021-08-10,17.554344448,2,0
2021-08-11,-1.3176639487999982,2,0
2021-08-12,6.5569926144,5,0
2021-08-13,-1.0245844991999995,1,1
2021-08-14,-1.0262742015999997,0,1
2021-08-15,-3.7926281216,0,0
2021-08-16,5.231612006399999,5,0
2021-08-17,6.082840064,14,0
2021-08-18,4.3713412096000015,7,4
2021-08-19,4.799871488000002,9,4
2021-08-20,1.2704285696000008,0,2
2021-08-21,-4.8284980224,5,1
2021-08-22,-3.8025138176000004,0,0
2021-08-23,4.876621823999999,7,0
2021-08-24,5.7494607872,1,0
2021-08-25,1.060499353600001,0,3
2021-08-26,1.7574879232000011,4,0
2021-08-27,-0.10510970879999881,7,0
2021-08-28,-2.2403844096000007,0,0
2021-08-29,-2.7449572352000002,1,0
2021-08-30,5.555313766399999,0,1
2021-08-31,3.2037980160000004,3,2
2021-09-01,1.5965594624000001,2,1
2021-09-02,-0.22538547199999925,5,0
2021-09-03,4.6073437184,3,0
2021-09-04,-1.7669707775999992,0,0
2021-09-05,-3.130308608,0,1
2021-09-06,1.4669553663999997,0,3
2021-09-07,6.782928896,2,0
2021-09-08,0.2778307584000004,2,0
2021-09-09,11.2004347904,0,0
2021-09-10,0.3459341312000017,1,2
2021-09-11,-4.011806003199999,0,0
2021-09-12,-3.4143099904,0,1
2021-09-13,8.1740650496,1,1
2021-09-14,1.7643018240000004,5,3
2021-09-15,0.06608732160000041,0,2
2021-09-16,4.809870028800001,0,0
2021-09-17,-0.5482173439999993,3,5
2021-09-18,-2.3406791679999994,0,0
2021-09-19,-2.7559926784,0,1
2021-09-20,2.5457956863999995,5,1
2021-09-21,9.39946496,4,2
2021-09-22,3.954446848000001,3,1
2021-09-23,18.7985793024,6,0
2021-09-24,-8.472571391999999,1,0
2021-09-25,-3.0867110911999998,0,0
2021-09-26,-3.2415790080000004,0,1
2021-09-27,3.269843046399999,1,0
2021-09-28,3.862098432,0,2
2021-09-29,2.7805452288000003,5,2
2021-09-30,0.46829219840000036,5,1
2021-10-01,2.199201792,3,0
2021-10-02,-1.0031636479999992,1,0
2021-10-03,-3.6492255232,0,2
2021-10-04,4.235304857599999,0,0
2021-10-05,7.4386854912,1,0
2021-10-06,2.021157683200001,3,0
2021-10-07,0.4815952896000013,3,0
2021-10-08,0.27263375360000097,4,1
2021-10-09,2.8743268351999998,3,1
2021-10-10,-4.7342611456,1,0
2021-10-11,2.9367728127999997,2,2
2021-10-12,9.687571968,4,0
2021-10-13,-1.7692054527999996,3,1
2021-10-14,7.4232712192,1,0
2021-10-15,85.1140852736,5,2
2021-10-16,-35.53172142079999,3,0
2021-10-17,-13.290272768,0,0
2021-10-18,-0.8969214976000011,3,0
2021-10-19,7.207964159999996,1,2
2021-10-20,32.54558976,2,2
2021-10-21,26.815376281600003,0,0
2021-10-22,-24.068955647999992,2,0
