,sveltejs/svelte,facebook/react,angular/angular
2020-11-16,1,2.0,20.0
2020-11-17,1,1.6,12.0
2020-11-18,5,2.44,28.0
2020-11-19,2,-0.8560000000000001,23.0
2020-11-20,0,3.5967999999999996,19.0
2020-11-21,0,-1.062272,1.0
2020-11-22,0,-0.5127296000000003,0.0
2020-11-23,8,-0.34331904000000024,13.0
2020-11-24,4,-0.258315264,26.0
2020-11-25,0,-0.2066382847999999,16.0
2020-11-26,0,-0.1498170367999998,0.0
2020-11-27,1,-0.10511493119999993,0.0
2020-11-28,1,-0.05755084799999976,0.0
2020-11-29,0,-0.04987740159999986,0.0
2020-11-30,3,2.0,15.0
2020-12-01,1,3.6,11.0
2020-12-02,3,0.040000000000000036,26.0
2020-12-03,0,1.3839999999999997,14.0
2020-12-04,0,5.2608,7.0
2020-12-05,0,-0.593472,4.0
2020-12-06,1,0.0473983999999994,2.0
2020-12-07,1,5.22369536,7.0
2020-12-08,0,6.302416896,34.0
2020-12-09,2,5.5449101312,17.0
2020-12-10,0,2.1921726463999995,23.0
2020-12-11,1,-0.41436989440000094,3.0
2020-12-12,0,-1.7546364928000002,1.0
2020-12-13,0,-0.10179133440000032,2.0
2020-12-14,3,1.0398642175999997,19.0
2020-12-15,0,-0.07251978239999968,11.0
2020-12-16,1,0.11345244160000045,6.0
2020-12-17,0,1.2500523008000006,6.0
2020-12-18,0,8.1737171968,1.0
2020-12-19,0,-2.2042229759999996,0.0
2020-12-20,1,-0.9578590208000006,0.0
2020-12-21,0,0.40659404799999965,15.0
2020-12-22,0,1.3679277056,7.0
2020-12-23,0,-0.8069347328,5.0
2020-12-24,3,-0.4525697024000002,0.0
2020-12-25,0,-0.3231852544,2.0
2020-12-26,0,-0.2471641087999994,0.0
2020-12-27,0,-0.1837249535999997,0.0
2020-12-28,0,-0.05778432000000003,0.0
2020-12-29,1,-0.04824115199999996,0.0
2020-12-30,1,-0.041244774399999844,0.0
2020-12-31,1,-0.02493870079999993,0.0
2021-01-01,0,0.0,0.0
2021-01-02,13,0.0,0.0
2021-01-03,0,0.0,0.0
2021-01-04,6,3.0,0.0
2021-01-05,0,-0.5999999999999999,24.0
2021-01-06,0,-0.2400000000000002,26.0
2021-01-07,0,-0.1440000000000001,26.0
2021-01-08,0,-0.10080000000000003,18.0
2021-01-09,0,-0.07660800000000004,1.0
2021-01-10,0,-0.06128640000000003,1.0
2021-01-11,0,0.9492198399999999,36.0
2021-01-12,0,2.7568368640000003,0.0
2021-01-13,0,1.2825919488000002,14.0
2021-01-14,0,2.312,12.0
2021-01-15,0,1.0623999999999998,8.0
2021-01-16,0,-0.8623360000000002,1.0
2021-01-17,0,-0.46823680000000034,0.0
2021-01-18,3,0.6739148799999999,1.0
2021-01-19,1,8.550166528,12.0
2021-01-20,1,1.9181556736000003,3.0
2021-01-21,0,-0.7258212352000002,23.0
2021-01-22,1,2.9124447231999997,6.0
2021-01-23,1,-1.4661194752,2.0
2021-01-24,0,-0.7775915008000004,2.0
2021-01-25,6,4.47147008,17.0
2021-01-26,3,0.5916206079999999,8.0
2021-01-27,1,3.8677615616,18.0
2021-01-28,1,-0.6684169215999995,18.0
2021-01-29,13,1.0040280063999996,8.0
2021-01-30,1,-0.9849001984,0.0
2021-01-31,0,-0.5790934016000002,0.0
2021-02-01,1,2.6172288,0.0
2021-02-02,0,3.0993280000000003,12.0
2021-02-03,0,7.712743424,11.0
2021-02-04,1,4.581338419200001,5.0
2021-02-05,0,0.47661209599999976,3.0
2021-02-06,0,-0.8442527744000006,0.0
2021-02-07,0,-1.2667691008000006,0.0
2021-02-08,5,4.178480639999999,1.0
2021-02-09,0,3.3777187840000003,65.0
2021-02-10,0,3.0994910208,15.0
2021-02-11,2,7.9753237504,21.0
2021-02-12,0,-2.0921470975999994,9.0
2021-02-13,0,-1.6830553088000004,12.0
2021-02-14,0,-1.0096197632000004,4.0
2021-02-15,3,-0.7109269504000003,0.0
