,python/cpython,ruby/ruby,php/php-src
2000-01-05,0,2.0,6
2000-01-06,0,-0.20000000000000018,2
2000-01-07,2,0.9099999999999999,5
2000-01-08,0,1.843,1
2000-01-09,4,-0.28632500000000005,2
2000-01-10,0,-0.15073349999999996,4
2000-01-11,0,-0.10398652499999989,0
2000-01-12,3,-0.07962914249999972,8
2000-01-13,4,-0.06453213853124981,4
2000-01-14,1,-0.05421542632187484,1
2000-01-15,0,-0.03175570551562491,19
2000-01-16,0,-0.02753547856718743,11
2000-01-17,10,0.983202294928125,5
2000-01-18,1,0.8999999999999999,5
2000-01-19,1,-0.14500000000000013,10
2000-01-20,6,-0.07350000000000005,2
2000-01-21,1,0.9508375,0
2000-01-22,0,-0.13677924999999996,1
2000-01-23,0,-0.07427876249999994,0
2000-01-24,4,-0.05275570874999995,5
2000-01-25,0,-0.041324509265624865,1
2000-01-26,0,-0.0340839155515624,5
2000-01-27,0,-0.02156086503593744,3
2000-01-28,0,-0.011093696249999967,16
2000-01-29,0,-0.009568313015624975,12
2000-01-30,6,-0.008398852535937478,8
2000-01-31,1,0.0,9
2000-02-01,2,2.0,17
2000-02-02,6,0.7999999999999998,17
2000-02-03,8,-0.19000000000000017,10
2000-02-04,9,-0.10200000000000008,4
2000-02-05,4,-0.06982499999999987,19
2000-02-06,0,-0.05289599999999982,9
2000-02-07,3,-0.04244077499999987,7
2000-02-08,9,2.964650595,10
2000-02-09,5,-0.33023032228125015,11
2000-02-10,16,-0.16136601808750003,36
2000-02-11,5,-0.09389885253593754,14
2000-02-12,1,-0.06198749999999977,11
2000-02-13,0,-0.048350249999999845,17
2000-02-14,12,-0.03948603749999988,9
2000-02-15,23,-0.0332810887499999,12
2000-02-16,8,-0.028704939046874926,20
2000-02-17,14,1.9748034423921876,15
2000-02-18,11,0.7999999999999998,13
2000-02-19,1,-0.19000000000000017,20
2000-02-20,0,-0.10200000000000008,10
2000-02-21,6,1.9301750000000002,15
2000-02-22,2,-0.252896,17
2000-02-23,10,2.867559225,30
2000-02-24,7,-0.3923494050000002,33
2000-02-25,10,0.7934446777187502,14
2000-02-26,4,0.7559004819125,28
2000-02-27,3,-0.2417103775359373,15
2000-02-28,10,-0.14403764249999984,11
2000-02-29,8,0.8922148364687502,11
2000-03-01,10,-0.18685804382187482,14
2000-03-02,8,-0.10298370154687486,14
2000-03-03,11,-0.07795226635781238,15
2000-03-04,0,-0.041324509265624865,10
2000-03-05,0,0.9659160844484376,13
2000-03-06,20,1.8784391349640626,26
2000-03-07,17,0.7439063037499998,23
2000-03-08,2,1.7719316869843749,5
2000-03-09,3,0.6689386474640624,13
2000-03-10,38,-0.27594175,17
2000-03-11,1,-0.16805801249999985,14
2000-03-12,0,-0.12335947124999971,15
2000-03-13,9,0.9021862819843753,18
2000-03-14,2,-0.18106994981718735,11
2000-03-15,1,1.8932845769125002,15
2000-03-16,4,-0.26712917481718756,19
2000-03-17,5,0.8629714819125001,5
2000-03-18,9,-0.18151560253593757,13
2000-03-19,0,-0.09948701249999983,15
2000-03-20,2,-0.07182719624999988,5
2000-03-21,3,-0.056554838015624824,6
2000-03-22,13,-0.04670299503593736,4
2000-03-23,4,0.9677013614687501,5
2000-03-24,6,-0.12789140132187501,4
2000-03-25,1,-0.05456831301562501,13
2000-03-26,7,1.9631011474640625,22
2000-03-27,4,0.7793374999999999,14
2000-03-28,21,-0.2061167500000001,7
2000-03-29,29,-0.11516201250000005,15
2000-03-30,20,-0.08091869624999984,28
2000-03-31,77,0.9375356869843752,14
2000-04-01,1,-0.15083962753593744,22
2000-04-02,2,-0.08034940499999993,6
2000-04-03,11,-0.05873032228124994,9
2000-04-04,16,-0.04702851808749986,16
2000-04-05,12,-0.024515602535937424,22
2000-04-06,25,-0.01316201249999996,10
2000-04-07,14,-0.011093696249999967,19
2000-04-08,3,-0.009568313015624975,3
2000-04-09,17,-0.008398852535937478,3
2000-04-10,50,3.0,11
2000-04-11,19,-0.30000000000000027,10
2000-04-12,5,0.8649999999999999,8
2000-04-13,13,-0.18550000000000016,9
2000-04-14,8,0.8930125000000002,7
2000-04-15,2,-0.17685024999999996,22
2000-04-16,0,-0.10514853749999983,9
2000-04-17,2,0.9221021612500001,10
2000-04-18,1,1.837470548453125,9
2000-04-19,12,-0.29740700385781255,23
2000-04-20,0,-0.14123032551562503,33
2000-04-21,23,0.9028449512140626,15
