,apache/mxnet,tensorflow/tensorflow,pytorch/pytorch
2020-12-25,0.0,6,1
2020-12-26,0.0,2,0
2020-12-27,0.0,6,0
2020-12-28,0.0,48,7
2020-12-29,0.0,42,8
2020-12-30,1.0,54,13
2020-12-31,0.8,20,5
2021-01-01,0.72,5,1
2021-01-02,-0.32800000000000007,7,0
2021-01-03,-0.16160000000000013,7,1
2021-01-04,0.8928639999999999,27,21
2021-01-05,1.7204352,86,40
2021-01-06,-0.54289152,85,46
2021-01-07,-0.25974323200000016,79,28
2021-01-08,-0.17338378240000002,91,43
2021-01-09,-0.11959306239999994,15,8
2021-01-10,-0.0839701504,8,4
2021-01-11,-0.05778432000000003,82,28
2021-01-12,0.951758848,112,43
2021-01-13,-0.2412447743999998,107,33
2021-01-14,-0.1049387008,74,27
2021-01-15,1.952,73,23
2021-01-16,0.5664,21,11
2021-01-17,-0.3855360000000001,8,1
2021-01-18,-0.19642880000000015,28,7
2021-01-19,-0.13212672000000006,62,30
2021-01-20,1.9009402880000001,100,44
2021-01-21,-0.47886295039999993,95,28
2021-01-22,-0.21428224000000018,104,45
2021-01-23,-0.14170214399999997,24,13
2021-01-24,-0.10652641279999989,17,2
2021-01-25,-0.06354135039999999,98,20
2021-01-26,-0.04085760000000002,75,30
2021-01-27,-0.03385344000000002,109,35
2021-01-28,0.9712245760000001,90,49
2021-01-29,0.7750612992000001,73,37
2021-01-30,-0.28,44,9
2021-01-31,0.8719999999999999,4,3
2021-02-01,-0.2816,74,23
2021-02-02,0.8608639999999999,100,61
2021-02-03,2.7060352,86,44
2021-02-04,-0.75095552,95,68
2021-02-05,1.6551495679999997,78,37
2021-02-06,-0.6248858624,27,13
2021-02-07,1.6842679295999998,6,3
2021-02-08,0.3925754880000001,72,25
2021-02-09,-0.5178824704000001,79,28
2021-02-10,-0.2922398720000001,93,37
2021-02-11,-0.21169008639999987,71,42
2021-02-12,-0.15593349119999997,82,17
2021-02-13,-0.09516902399999992,38,11
2021-02-14,-0.07922094079999996,4,12
2021-02-15,1.9542978560000002,48,3
2021-02-16,2.5606735872,54,10
2021-02-17,-0.7724693504,92,40
2021-02-18,1.6639999999999997,68,47
2021-02-19,0.38880000000000003,41,47
2021-02-20,-0.5118720000000001,38,12
2021-02-21,1.7065343999999998,15,3
2021-02-22,0.38966016000000003,91,29
2021-02-23,-0.524227584,113,30
2021-02-24,1.6895045632,99,26
2021-02-25,-0.6068902911999999,114,40
2021-02-26,0.7096258559999999,115,33
2021-02-27,0.5982799872000001,33,8
2021-02-28,-0.41395159040000007,11,6
2021-03-01,1.775225856,66,38
2021-03-02,-0.5617840127999999,77,74
2021-03-03,-0.26545879040000014,98,59
2021-03-04,-0.170740224,98,31
2021-03-05,-0.12949422079999998,133,48
2021-03-06,0.917613568,23,7
2021-03-07,-0.26771466239999986,12,3
2021-03-08,-0.12632279040000005,60,28
2021-03-09,1.9232245760000002,79,44
2021-03-10,0.5414612992000001,116,48
2021-03-11,0.6144639999999999,93,47
2021-03-12,3.6035711999999998,105,73
2021-03-13,-1.01212672,43,10
2021-03-14,0.5329402879999997,22,7
2021-03-15,1.4955370495999998,75,30
2021-03-16,1.30578176,135,27
2021-03-17,-0.7762749440000001,89,35
2021-03-18,0.5724316671999998,107,41
2021-03-19,0.5167000576,132,28
2021-03-20,-0.48872099839999983,41,7
2021-03-21,1.7132662784,17,3
2021-03-22,0.429301248,71,28
2021-03-23,-0.4942342144,113,43
2021-03-24,2.7243210751999998,89,31
2021-03-25,-0.7774942207999999,91,30
2021-03-26,2.6440135679999996,33,33
2021-03-27,-0.8372506623999999,6,29
2021-03-28,-0.4075515904000002,8,6
2021-03-29,-0.266310144,62,46
2021-03-30,0.7985871872000001,80,42
2021-03-31,0.6601424896,101,46
2021-04-01,-0.38444953599999987,75,64
2021-04-02,0.7838117888,81,53
2021-04-03,1.6752368640000002,15,10
2021-04-04,-0.5765440512,12,1
2021-04-05,0.7460351999999998,61,33
2021-04-06,0.6330444799999999,52,56
2021-04-07,1.595949568,89,51
