,mui/material-ui,ant-design/ant-design,twbs/bootstrap
2015-08-07,5.0,16,0
2015-08-08,1.0000000000000002,3,8
2015-08-09,1.1999999999999997,5,1
2015-08-10,4.199999999999999,15,44
2015-08-11,0.5760000000000001,8,13
2015-08-12,3.9091199999999997,19,0
2015-08-13,13.379584,3,32
2015-08-14,9.1594368,14,9
2015-08-15,-0.38152960000000036,4,5
2015-08-16,-3.006191616000001,3,0
2015-08-17,5.245114675199999,31,14
2015-08-18,8.3552852992,51,37
2015-08-19,3.291444224,43,72
2015-08-20,-0.3344964608000005,41,44
2015-08-21,12.496875008,28,43
2015-08-22,-4.566139391999998,16,7
2015-08-23,-2.2227500032000007,11,45
2015-08-24,11.6073667584,36,25
2015-08-25,-2.6105175039999997,30,27
2015-08-26,-1.0483637248000006,12,25
2015-08-27,-0.49908899839999976,25,15
2015-08-28,-1.1491493888,10,2
2015-08-29,1.2532082688000008,1,10
2015-08-30,6.040249344,0,2
2015-08-31,-1.85961216,27,3
2015-09-01,2.094068224,39,6
2015-09-02,1.7829552128000004,2,36
2015-09-03,-0.17005578239999997,0,9
2015-09-04,-0.8304666624000003,0,0
2015-09-05,0.48587560959999976,0,14
2015-09-06,0.427329536,0,17
2015-09-07,1.4228529152000005,21,3
2015-09-08,2.2471119872000003,20,9
2015-09-09,-0.9559720959999999,14,4
2015-09-10,8.5073660928,14,10
2015-09-11,-2.1089605631999997,30,3
2015-09-12,0.0783031295999993,4,2
2015-09-13,-0.7807800320000002,8,1
2015-09-14,0.4956030975999999,13,1
2015-09-15,4.4301510656000005,18,2
2015-09-16,2.6344389632,27,6
2015-09-17,-0.46328453120000024,18,1
2015-09-18,-0.9435182079999999,7,0
2015-09-19,0.40531312640000006,2,3
2015-09-20,1.4551034879999998,1,3
2015-09-21,1.2527159295999999,2,1
2015-09-22,10.185727488,7,5
2015-09-23,12.3378564096,20,4
2015-09-24,19.79443968,8,7
2015-09-25,0.2690340863999996,4,9
2015-09-26,-1.530925670400002,0,2
2015-09-27,-3.185994752000002,0,6
2015-09-28,7.934744985599999,0,6
2015-09-29,15.4615959552,0,5
2015-09-30,5.193052467200001,0,0
2015-10-01,-3.1788294144,0,10
2015-10-02,3.759881216,17,2
2015-10-03,-3.4325185535999996,0,0
2015-10-04,-1.8455205888000008,0,3
2015-10-05,9.721081548799999,1,0
2015-10-06,10.8235264,3,2
2015-10-07,16.516136448,0,7
2015-10-08,-4.420037529599999,1,4
2015-10-09,0.5939746815999984,14,3
2015-10-10,1.1550513151999997,2,3
2015-10-11,-1.5911062528000004,3,5
2015-10-12,-1.7876531200000008,4,5
2015-10-13,1.718284288,3,11
2015-10-14,19.3805464576,13,2
2015-10-15,1.8319745024000023,9,3
2015-10-16,-0.6895898624000001,3,5
2015-10-17,-1.4394252288000011,0,4
2015-10-18,0.3174370303999996,0,0
2015-10-19,23.4789924864,32,4
2015-10-20,15.0201936896,8,3
2015-10-21,18.052166143999997,18,2
2015-10-22,-2.4920594432000005,23,1
